,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
1668,24旁 文化宫边 三房两厅 户型方正 楼层优,228万,29386,天宁区茶山,桃园路住宅,3室1厅1厨1卫,低楼层 (共6层),77.59㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年，温馨三居，方正户型。近地铁一号线同济桥,,,,桃园路小区位于一号地铁同济桥站东侧，整体居住氛围好，邻里关系融洽。,目前在常州首房首贷首付2成，二贷首付5成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,两房南一房北，楼层中间，采光充足。房子户型规整，便于家俱的摆放，生活舒适,,,,,,,,,
1669,富强周家村 精装地暖空调净水系统双开间朝南 联排别墅,550万,20993,天宁区茶山,富强周家村,5室2厅1厨2卫,低楼层 (共4层),262㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,无,暂无数据,2021-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满两年，精装五房，双开间朝南户型方正联排别墅，全天采光,,,,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,
1670,华润中吴府大面积毛坯四房 中间楼层采光充足 配套齐全,360万,21819,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,中楼层 (共34层),165㎡,暂无数据,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-07-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，采光好，全明户型，户型方正，格局分布合理,光华菜场，清凉菜场，大润发，瑞和泰，武进万达，湖塘吾悦，宋庆龄幼儿园，红黄蓝幼儿园,,距离地铁1号线茶山站，步行大概1公里左右。距离6路公交车华润站，步行大概600米左右。,中吴府是华润国际6期，2020年交付的。物业是华润置业，共有13幢。小区配有地下停车场，小区有儿童乐园、健身器材、跑道、休闲区。,此房是90平以上的，首套房成交价的1.5% 。二套是成交价的2% 。三套都是3% 个人所得税：不满5年或不唯一成交价的1%,,,,,,,此房毛坯，可以根据自己喜好来装饰，布局改动灵活，适合当代有想法的人,,,
1671,丽华二村精装复式3层 全新装修保养好 满五唯一省税,78万,8479,天宁区茶山,丽华二村,2室2厅1厨1卫,高楼层 (共7层),92㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-07-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,丽华二村精装复式3层 全新装修保养好 满五唯一省税,朝阳综合市场，大润发卖场，弘阳广场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
1672,御翠园别墅， 藏林、枕河、携儒、博古 双园相拥,999.8万,43282,天宁区茶山,御翠园,5室3厅1厨4卫,低楼层 (共3层),231㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2020-09-16,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,御翠园别墅， 藏林、枕河、携儒、博古 双园相拥,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便。,,小区门口有公交站台，可以乘坐11，19，Y2，17，25，303，7等公交车，公共交通方便，位处市区繁华街道，打车也很方便。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,联排,,,,
1673,市区别墅好宅，好品质，好地段，欢迎咨询,750万,35400,天宁区茶山,银河湾明苑二期,5室2厅1厨3卫,低楼层 (共3层),211.87㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-05-22,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,产权清晰 诚心出售 使用造面积大 毛坯别墅 看房方便,交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。价格可商量，房子保养好,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,,联排,,,,
1674,华润精装三房，精装修，采光无遮挡 户型方正,197.9万,17670,天宁区茶山,华润国际社区剑桥澜湾,3室2厅1厨1卫,高楼层 (共18层),112㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 业主自还,未上传房本照片,地铁口 精装 户型好采光好 央企开发有保障,兰陵大润发，丽华大润发，，华润万象城，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应,,,小区是华润自带物业安保和服务态度好，新小区环境好，配套齐，适合改善需求。 2、小区地理位置优越，交通便捷，旁边就是地铁1号线。小区内道路人车分流，设有滑滑梯，跷跷板等，儿童娱乐设施。老人休闲设施。生活配套齐全，万象城在建,首套 90平以下1% 。2，首套 90平及以上1.5% 。3，二套90平以下1% 。4，二套90平及以上2% 。5，三套都是3% 个人所得税：不是满五唯一年1%,,,,,,,,,,
1675,同济花园，地铁口，中间楼层，采光充足。,150万,15091,天宁区茶山,同济花园,2室2厅1厨1卫,中楼层 (共6层),99.4㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,采光好，两房朝南，中等装修，古运河旁，即将加装电梯,朝阳综合市场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,小区近地铁，交通便利，综合商场：万都广场、德信影城等，人民医院，中国银行，配套设施成熟，交通绿化很好，便于老年人居住。,,契税； a 首套90平以下1% b 首套90平以上1.5% c 二套90平以下1% d 二套90平以上2% e 三套都是3%增值税 ；满两年免征 不满两年征收5.3%个人所得税 不满五年征1%。,,,,,,,,,,
1676,桃园公寓，精装修，设施齐全，采光充足。,350万,28774,天宁区茶山,桃园公寓,3室2厅1厨1卫,高楼层 (共5层),121.64㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2019-09-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年 格局好 视野开阔 采光充足 配套设施齐全 交通便利,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
1677,桃园物资楼 顶楼复式实际面积 地铁口户型方正采光充足,280万,41698,天宁区茶山,桃园路物资楼,4室2厅1厨2卫,高楼层 (共6层),67.15㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,2023-03-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,022441781163,地铁口 顶楼复式 满二，采光好，户型方正，楼层好，房东诚意..,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,
1678,元丰苑，4房3卫，户型方正，采光好,360万,28025,天宁区茶山,元丰苑,4室2厅1厨3卫,高楼层 (共6层),128.46㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2023-09-29,商品房,2018-01-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子位置好，采光充足，实木地板，顶楼复式，欢迎带看,常州市中医院、常州市第二人民医院 购物：世纪华联市(麻巷店)、常购连锁市NO.093、物美..,,"交通出行： 公交：BRT2、BRT12、BRT21、Y1、220路、903路等地铁一号线已通车，2号线在建中

房主自荐(业主对房源的描述)",小区地理位置佳，绿化好，环境整洁，居民素质高，成熟小区生活配套齐全,,,,,,,,,,,
1679,翠堤半岛花园 3室2厅 南,175万,14052,天宁区茶山,翠堤半岛花园,3室2厅1厨2卫,高楼层 (共17层),124.54㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1680,同济花园 3房朝南 双阳台 采光充足,198万,14278,天宁区茶山,同济花园,3室2厅1厨2卫,高楼层 (共6层),138.68㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-08-08,商品房,2003-04-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,3房朝南 双阳台 采光充足，此房满五年，楼栋位置好，交通便利..,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,契税； a 首套90平以下1% b 首套90平以上1.5% c 二套90平以下1% d 二套90平以上2% e 三套都是3%增值税 ；满两年免征 不满两年征收5.3%个人所得税 不满五年征1%。,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，，，,,,,,,,,
1681,清凉新村5楼有外阁楼自住装修保养可以诚意出售,98万,13378,天宁区茶山,清凉新村,4室2厅1厨2卫,高楼层 (共5层),73.26㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二 位置好配套设施齐全 中高楼层全天采光,,,,小区生活设施齐，商场、市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型 户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，..,,,,,,,,,
1682,朗诗兢业园两房1清爽楼层好户型正采光视野好,170万,19768,天宁区茶山,兢业园,2室2厅1厨1卫,低楼层 (共33层),86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-01-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元 业主自还,未上传房本照片,新小区，楼层好，全天采光；小区绿化高,距离朝阳菜场只有300米的距离； 距离常州德安医院800米的距离； 距离大润发天鹅湖店1公里； 距离东坡公园1公里； 距离红梅公园1.5公里； 3公里内有天宁吾悦商圈、九洲新世界商圈和文化宫商圈,,,"小区介绍：
开 发 商：常州桑麻置业有限公司 建筑年代：2017年建成 房屋总数：1259户 楼栋总数：7栋 容 积 率：3.88 绿 化 率：32% 物 业 费：2.50元/平米·月 停 车 位：总计1320，地下停车位1195，地上车位125",,两房两厅，南北通风，户型方正，楼栋位置也不错。两梯三户，此房为西边户，两房朝南，客厅朝西，客厅外就能看到天宁宝塔,,,,,,,,,
1683,二十四，桃园公寓，两室两厅一厨一卫，采光充足,300万,30613,天宁区茶山,桃园公寓,2室1厅1厨1卫,中楼层 (共6层),98㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，户型方正，采光无遮挡，看房方便,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,双地铁口，小区门口就有共享单车停放点，100米处就有公交站台，可以乘坐220，903，B2，25路等等，交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
1684,此房楼层好，户型方正，采光无遮挡，看房方便,305万,29327,天宁区茶山,桃园公寓,2室2厅1厨1卫,中楼层 (共5层),104㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,无,暂无数据,2022-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，户型方正，采光无遮挡，看房方便,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,社区门口有公用电动自行车租赁、归还点，400M处元丰桥BRT站台有多路公交 地铁红梅公园站距社区300M，出行是相当的便利,桃园公寓位于红梅公园南方向，社区24H物业服务，绿化高，社区里有水景公园（现在水池没有注水），紫藤、绿树很多 社区东侧1KM有东坡公园、儿童医院，一院、中医院、二院都在2KM范围内，医疗配套优秀,,,,,,,,,,,
1685,朝阳四村南区 3室1厅 南,92.8万,12037,天宁区茶山,朝阳四村南区,3室1厅1厨1卫,中楼层 (共5层),77.1㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-06-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1686,市区别墅好宅，好品质，好地段，欢迎咨询,750万,35400,天宁区茶山,银河湾明苑二期,5室2厅1厨3卫,低楼层 (共3层),211.87㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-05-22,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,产权清晰 诚心出售 使用造面积大 毛坯别墅 看房方便,交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。价格可商量，房子保养好,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,,联排,,,,
1687,朝阳三村 户型方正 南北通透 顶楼复式,92万,10953,天宁区茶山,朝阳三村,4室2厅1厨2卫,高楼层 (共6层),84㎡,暂无数据,暂无数据,平房,南 北,框架结构,简装,暂无数据,无,暂无数据,2020-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五，户型方正，南北通透，采光良好，顶楼带阁楼。,京杭运河从小区边经过，小区旁有朝阳中 学，出了小区就是红星*市，400米处是德安医院，隔着一条河就是东坡园。,,小区门口有共享单车停车点，出小区一百米有公交站台，可以乘坐16路，55路，出行方便。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
1688,天宁区 空置   元丰苑带阁楼  全天采光 方便看房,450万,35157,天宁区茶山,元丰苑,3室2厅1厨2卫,高楼层 (共6层),128㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2021-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子采光好，通透，东边户，三开间朝南，户型方正，看房方便...,医院：常州市中医院、常州市第二人民医院 购物：世纪华联(麻巷店)、常购连锁、物美(红梅南路)、瑞和泰，元丰菜场 其他：红梅公园、东坡公园、天宁寺,,公交：BRT2、BRT12、BRT21、Y1、220路、903路等地铁一号线已通车，2号线在建中,小区地理位置佳，绿化好，环境整洁，居民素质高，成熟小区生活配套齐全,,,,,,,,,,,
1689,府河名居 2室2厅 南,155万,19136,天宁区茶山,府河名居,2室2厅1厨1卫,高楼层 (共33层),81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1690,弘阳天下锦 3室2厅 南,238万,18031,天宁区茶山,弘阳天下锦,3室2厅1厨2卫,低楼层 (共33层),132㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
1691,桃园公寓 3房朝南，户型方正 采光充足。,380万,29231,天宁区茶山,桃园公寓,3室1厅1厨2卫,低楼层 (共6层),130㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，户型方正，采光无遮挡，看房方便,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,双地铁口，小区门口就有共享单车停放点，100米处就有公交站台，可以乘坐220，903，B2，25路等等，交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
1692,府河名居    楼层好  产权清晰  满五唯一,198万,16880,天宁区茶山,府河名居,3室2厅1厨1卫,高楼层 (共20层),117.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 客户偿还,未上传房本照片,此房位置好，全天采光，产权清晰，房东诚心出售，,医院：常春村社区卫生服务站、常州市中医院、德安医院、常州协和医院 银行：江南银行、中国邮政储蓄、中国工商银行、中国建设银行、中国银行、中国农业银行、招商银行 商场：仟亿家购物广场、常州购物 公园：东坡公园，红梅公园，天宁寺，青果巷古街,,114米同济桥东：16路 D7 175米德安桥站：25路、D6路 258米通济桥东站：55路、D7路 317米劳动路龙游路站：16路、55路 1千米地铁口,,此房满五不唯一，产权明晰，无抵押。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
1693,天鹅湖花园 5室3厅 南,1288万,26503,天宁区茶山,天鹅湖花园,5室3厅1厨4卫,低楼层 (共2层),486㎡,,暂无数据,,南,混合结构,毛坯,,,暂无数据,2023-05-28,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,联排,,,,
1694,香梅花园精装三房楼层好采光充足,206万,16519,天宁区茶山,香梅花园,3室2厅1厨2卫,高楼层 (共11层),124.71㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，户型方正，产权清晰，房东诚心出售。,"：
朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.",,,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,此房权属清晰，房东诚心出售的，看房方便，过户过程都全程陪同。,,,,,,,,
1695,24旁 文化宫边 三房两厅 户型方正 楼层优,228万,29386,天宁区茶山,桃园路住宅,3室1厅1厨1卫,低楼层 (共6层),77.59㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年，温馨三居，方正户型。近地铁一号线同济桥,,,,桃园路小区位于一号地铁同济桥站东侧，整体居住氛围好，邻里关系融洽。,目前在常州首房首贷首付2成，二贷首付5成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,两房南一房北，楼层中间，采光充足。房子户型规整，便于家俱的摆放，生活舒适,,,,,,,,,
1696,桃园物资楼 顶楼复式实际面积 地铁口户型方正采光充足,280万,41698,天宁区茶山,桃园路物资楼,4室2厅1厨2卫,高楼层 (共6层),67.15㎡,暂无数据,暂无数据,板塔结合,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,2023-03-16,普通住宅,未满两年,非共有,无抵押,已上传房本照片,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,022441781163,地铁口 顶楼复式 满二，采光好，户型方正，楼层好，房东诚意..,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,
1697,4房 毛坯  华润中吴府 130平 含车位,235万,18077,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,高楼层 (共34层),130㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,四梯四户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,房型方正，明厨明卫采光好，通透敞亮，三房朝南,,,,环境优美，小区内部环境好，绿化高，休闲设施齐全，儿童游乐场所，健身器材。24小时安保服务，管家式服务,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,,,,,此房为毛坯房，可以根据自己的喜好设计喜欢的风格。随时看房如果你考虑毛坯房，这套房很适合,,,
1698,顶楼复式，视眼好，采光好，带大露台，精装大三房,180万,13910,天宁区茶山,瑞景华庭,3室1厅1厨2卫,高楼层 (共6层),129.41㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-01-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,顶楼复式，视眼好，采光好，带大露台，精装大三房，房子满5年,,此房产权清晰，没有抵押，业主诚心出售，看房方便，提前联系房东即可,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,房子装修很好，买过来就可以入住，家具家电齐全，小区人车分流，生活也比较方便，比较适宜 中老年居住，改善性的人群也是比较合适的。,,,,,
1699,红梅公园旁精装3房 户型方正 满窗采光时间长 诚意出售,234万,18000,天宁区茶山,香梅花园,3室2厅1厨1卫,高楼层 (共25层),130㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2019-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,红梅公园旁精装3房 户型方正 满窗采光时间长 诚意出售 看中可谈,商场：文化宫广场医院：第六儿童医院邮局：朝阳邮政银行：建设银行牌楼弄分理处、天松·健康银行、中国银行红梅西村分理处、工商银行朝阳分理处、农业银行朝阳支行、交通银行红梅西村支行、江苏银行常州分行其他：天宁寺、红梅公园、东坡公园,,【公交】 红梅公园东门 （11路; 19路; y2路）	571米 【公交】 朝阳新村 （16路; 55路）	1011米 【公交】 红梅西村 （232路）	1021米 【公交】 朝阳桥 （7路; 8路; 17路; 25路; 220a路; 220b路; 303路; 903路; b12路; d6路; d6路区间）	549米,小区地址：天宁关河东路香梅花园商铺69号(武青路以...所属区域：天宁 天宁街道邮 编：213000产权描述：70年物业类别：住宅建筑年代：2007年建成开 发 商：常州金泰房地产发展有限公司建筑结构：钢筋混凝土、砖混建筑类型：板塔结合,,,,,,,,,,,
1700,元丰宜家  地铁口 户型方正 前无遮挡  采光充足。,280万,38803,天宁区茶山,元丰宜家,2室1厅1厨1卫,低楼层 (共22层),72.16㎡,暂无数据,58.98㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-23,商品房,2009-02-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,元丰宜家 精装 急售 电梯房 房龄新 全天采光,,,社区门口有公用电动自行车租赁、归还点，400M处元丰桥BRT站台有多路公交 地铁红梅公园站距社区300M，出行是相当的便,园新村位于红梅公园南方向，社区24H物业服务，绿化高，社区里有水景公园（现在水池没有注水），紫藤、绿树很多 社区东侧1KM有东坡公园、儿童医院，一院、中医院、二院都在2KM范围内，医疗配套优秀,套房屋买受方首套1.5%，2套2%，3套及以上3%的契税 出让方个税1%。 产证工本费80元/本,,,,,,,,,,
1701,纯毛坯中上楼层全天采光，河景房，配套设施齐全。,180万,15381,天宁区茶山,府河名居,3室2厅1厨1卫,高楼层 (共20层),117.03㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-07-17,商品房,2018-10-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,纯毛坯中上楼层全天采光，河景房，配套设施齐全。,医院：常春村社区卫生服务站、常州市中医院、德安医院、常州协和医院 银行：江南银行、中国邮政储蓄、中国工商银行、中国建设银行、中国银行、中国农业银行、招商银行 商场：仟亿家购物广场、常州购物 公园：东坡公园，红梅公园，天宁寺，青果巷古街,,114米同济桥东：16路  175米德安桥站：25路、 258米通济桥东站：55路、317米劳动路龙游路站：16路、55路 1千米地铁口,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
1702,丽华二村毛坯两房，全天采光，配套齐全,50万,9843,天宁区茶山,丽华二村,2室1厅1厨1卫,高楼层 (共7层),50.8㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,无,暂无数据,2019-07-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野宽阔，采光充足，配套设施齐全。,商场：信特*市（丽华店）医院：中医院南院邮局：丽华邮电支局银行：交通银行、建设银行、农业银行其他：丽华二村新建的菜场、华润苏果*市、KFC,,,丽华该小区位于常州市天宁区中吴大道。商场有：沿街商铺，医院、邮局、银行等配套齐全，属于成熟小区，适宜居住！,,,房东改善居住环境，诚心出售，价格可以再谈，欢迎大家看房，随时恭候。,,,,,,,,
