,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
326,公园旁 次新小区 小区中间位置 采光足 诚心出售,135万,13161,钟楼区新闸,光明光樾华庭,3室2厅1厨2卫,中楼层 (共26层),102.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-16,商品房,2023-01-11,普通住宅,未满两年,非共有,有抵押,已上传房本照片,1.开发商：国企-光明地产2.物业公司；光明-旺都物业（国家一级资质物业） 物业费：2.2元/月/平3.容积：2.24.总户数：1000户5.楼栋数：10栋6.车位配比：1:1.27.绿化：35%,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,042425879533,公园旁 次新小区 小区中间位置 采光足 诚心出售,1医疗配套:常州妇幼保健院、新闸社区卫生服务2购物广场:自带近约6000平商铺、宝龙城市广场、龙湖天街、新北万达3城市公园:常州荷园,,,,,,
327,绿地二区别墅 东边户 院子三百多平 有钥匙,900万,23685,钟楼区新闸,绿地世纪城c区,5室2厅1厨4卫,低楼层 (共2层),380㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-10-21,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,双拼东边户别墅  门口可停3辆汽车  院子三百多平 有钥匙可看,,,绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,一楼独立餐客厅带老人房  二楼二个大套房带大露台  三楼大套房,小区环境优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,双拼,
328,荷园旁光樾华庭三房，户型方正，采光好，诚心出售,165万,15137,钟楼区新闸,光明光樾华庭,3室2厅1厨2卫,中楼层 (共27层),109.01㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-25,商品房,2022-12-19,普通住宅,未满两年,共有,有抵押 40万元 银行 客户偿还,已上传房本照片,荷园公园旁 客厅宽敞舒适，使用率高 ，小区中间位..,"小区介绍：
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐","税费解析：
90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%",,,,"户型介绍：
户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明",,,,,,
329,绿地世纪城联排别墅 环境优雅 前后院子带车位,526万,17831,钟楼区新闸,绿地世纪城c区,5室3厅1厨3卫,低楼层 (共3层),295㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2020-11-12,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,绿地世纪城联排别墅 通透户型 南入户  地下1层全明 地上3层,"位置：小区地理位置佳，绿化，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24保安巡逻",".契税：首套房＜90平1％、 ＞90平 1.5％ 
2.二套房 ＜90平1％、 ＞90平2％ 
3.三套房不论面积统一3％. 
4.满二年不论面积全免、不满二年收全额的5.6％、 
5.个人所得税：满二1％、 满五且wei一免个人所得税",,,,,小区配置齐全 公交、地铁、*市、银行、医院、、健身房、大小娱乐项目让您尽情享受,,,,联排,
330,荷园旁光樾华庭三房，户型方正，采光好，诚心出售,165万,15137,钟楼区新闸,光明光樾华庭,3室2厅1厨2卫,中楼层 (共27层),109.01㎡,暂无数据,暂无数据,板塔结合,西南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-25,商品房,2022-12-19,普通住宅,未满两年,共有,有抵押 40万元 银行 客户偿还,已上传房本照片,荷园公园旁 客厅宽敞舒适，使用率高 ，小区中间位..,"小区介绍：
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐","税费解析：
90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%",,,,"户型介绍：
户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明",,,,,,
331,此房满五唯一，非顶楼，全天采光，毛坯方便改造,90万,10137,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共33层),88.79㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，非顶楼，全天采光，毛坯方便改造,1、小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
332,诚心出售的（实体比照片好）看房提前联系,750万,24510,钟楼区新闸,绿地世纪城B区,6室2厅1厨4卫,低楼层 (共3层),306㎡,,暂无数据,,南,钢混结构,其他,,,暂无数据,2023-08-02,商品房,暂无数据,别墅,暂无数据,非共有,暂无数据,未上传房本照片,精装别墅，房屋保养好，房东城心出售，方便看房，社区配套全,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,联排,
333,新上，三房两卫，边户，看中还能谈,170万,16889,钟楼区新闸,光明当代拾光里,3室2厅1厨2卫,高楼层 (共16层),100.66㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 客户偿还,未上传房本照片,边户，全天采光，三房，北边就是公园，两个卫生间,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,
334,钟楼新城 次新小区 远离铁路 边户三面采光 房东诚售,130万,10436,钟楼区新闸,新瑞金苑,3室2厅1厨2卫,高楼层 (共18层),124.58㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,小区环境优美，与飞龙公园、飞龙吾悦广场近，为社区居民提供了优美的生活环境。绿都社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,"1.	税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，..,,,,,,,,,
335,绿地边户大三房 精装自住 明厨明卫 品牌家具家电全留,178万,13683,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共27层),130.09㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，..,,,,,,,,,
336,光明光樾华庭 3室1厅 南,170万,16191,钟楼区新闸,光明光樾华庭,3室1厅1厨2卫,中楼层 (共25层),105㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-02-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,
337,光明光樾华庭 3室2厅 南,148万,14096,钟楼区新闸,光明光樾华庭,3室2厅1厨2卫,高楼层 (共24层),105㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-07-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
338,户型格局通透，前面是河景及别墅区，全天采光无遮挡,105万,9500,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共27层),110.53㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-12-05,商品房,2014-11-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型格局通透，前面是河景及别墅区，全天采光无遮挡,,,【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,此房户型方正，卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,小区配有2000平米的农贸综合市场，1900平米的chao 市及其他连锁便利店，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
339,绿地世纪城B区经典三居，好楼层，三面采光，看房方便,108万,12273,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,中楼层 (共9层),88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,绿地世纪城B区经典三居，好楼层，三面采光，看房方便,,,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,小区配有2000平米的农贸综合市场，1900平米的市及其他连锁市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
340,次新小区，人车分流，车位充足，景瑞物业服务好,128万,10262,钟楼区新闸,新瑞金苑,3室2厅1厨2卫,中楼层 (共18层),124.74㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,本小区为新交付次新小区，人车分流，车位充足，景瑞物业服务好,,1.税费信息 A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套或以上3% 2.增值税：满2年免征，不满2年全额征收5.6% 3.个人所得税：不满5年征1%，满5且家庭 住房，省个税,,,,,区配有2000平米的农贸综合市场，1900平米的潮市及其他连锁潮市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,售房原因：房东名下多套房产在售，准备置换精装交付大平层小区 房源详细：此房源所在楼栋为两梯四户，总高18层小高层
341,光明拾光里 毛坯3房 中间楼层 采光好 配套齐全,138万,15592,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,中楼层 (共16层),88.51㎡,暂无数据,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-04,商品房,2023-01-19,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房户型方正，三室两厅一厨一卫 中间楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,
342,光明当代拾光里 3室2厅 南,129万,14592,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,高楼层 (共18层),88.41㎡,暂无数据,暂无数据,板楼,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-07,商品房,2023-04-28,普通住宅,未满两年,共有,有抵押,已上传房本照片,,,,,,,,,,,,,
343,光樾华庭纯毛坯小三房前排中间楼层税费可谈有钥匙看房,160万,16330,钟楼区新闸,光明光樾华庭,3室2厅1厨1卫,低楼层 (共24层),97.98㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 55万元,未上传房本照片,前排视野好，楼层好，有钥匙看房，随时预约看房,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
344,光明当代拾光里 3室2厅 南 北,122万,13708,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,低楼层 (共16层),89㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 45万元,未上传房本照片,,,,,,,,,,,,,
345,光明科技住宅拾光里小三房有钥匙看房业主诚售,129.8万,14669,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,低楼层 (共16层),88.49㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-10,商品房,2023-04-27,普通住宅,未满两年,非共有,有抵押,已上传房本照片,此房楼层好，视野好，纯毛坯，业主诚心出售,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
346,光明当代拾光里 3室2厅 南 北,110万,12428,钟楼区新闸,光明当代拾光里,3室2厅1厨1卫,低楼层 (共16层),88.51㎡,暂无数据,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-06,商品房,2023-09-06,普通住宅,未满两年,共有,有抵押 30万元 光大,已上传房本照片,,,,,,,,,,,,,
347,双阳台 保利九里路劲铂悦云庭旁,128万,13062,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,低楼层 (共27层),98㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 四室两厅一厨两卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,
348,不靠铁路 户型方正 楼层佳视野开阔,155万,15649,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,高楼层 (共27层),99.05㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,2022-04-01,普通住宅,未满两年,非共有,有抵押 83万元 客户偿还,已上传房本照片,不靠铁路 户型方正 楼层佳视野开阔,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,1.税费信息 A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套或以上3% 2.增值税：满2年免征，不满2年全额征收5.3% 3.个人所得税：不满5年征1%，满5且家庭 住房，省个税,,,,,,,,,,
349,光明荷樾府 毛坯三房 高楼层采光好 有钥匙看房方便,149万,15205,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共27层),98㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
350,次新小区 小区中间位置 户型方正 视野采光好,153万,14861,钟楼区新闸,光明荷樾府,3室2厅1厨2卫,中楼层 (共17层),102.96㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-24,商品房,2022-04-06,普通住宅,未满两年,非共有,有抵押 交通银行 业主自还,已上传房本照片,次新小区 小区中间位置 户型方正 视野采光好,小户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,,,,
351,荷园旁 次新小区 远离铁路 全天采光无遮挡 房东诚售,149万,14800,钟楼区新闸,光明荷樾府,3室2厅1厨1卫,中楼层 (共18层),100.68㎡,暂无数据,78.11㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-17,商品房,2022-07-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,不靠铁路 户型方正 楼层佳视野开阔,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",,,,,,,,,,
352,绿地二期 不靠高架 边户 配套全 诚心出售,109万,10721,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),101.67㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-07-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年 绿地二期 不靠高架 边户 配套全 诚心出售,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
353,绿地三期 不靠高架 中间层边户 诚心出售,140万,11327,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共33层),123.6㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五 不靠高架 中间层边户 小区生活配套齐全,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
354,荷园新城：商铺集聚地，宜居新标杆,176万,17967,钟楼区新闸,光明光樾华庭,3室2厅1厨1卫,低楼层 (共25层),97.96㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,荷园公园 客厅宽敞舒适，使用率高 ，朝南户型,小区景观按美国曼哈顿钟央公园的形式塑景，空间感与艺术感互映，人车分流，保证居者安全性,,龙城高架和龙江路高架，沟通南北，贯穿东西，交通便利，出行无忧,,,户型 朝南舒适，三开间朝南 全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,
355,绿地三期 小三房 户型方正 诚心出售,103万,11821,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共33层),87.14㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,绿地三期 小三房 户型方正 诚心出售,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
356,绿地世纪城小高层东边户小高层3房 精装精装 前排别墅,96万,11195,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,中楼层 (共11层),85.76㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房为小高层，全天采光，视野好，精装小三房，业主诚心出售,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
