,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
2747,君宸府三室两厅两卫毛坯全天采光诚意出售,217万,18976,天宁区红梅,德信佳源君宸府,3室2厅1厨2卫,中楼层 (共16层),114.36㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,君宸府三室两厅两卫毛坯全天采光诚意出售,房东诚心出售，产权清晰。房东对付款无要求，按照正常首付就可以。,,,红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站,,小区绿化面积大，楼间距宽，格局分明采光好，小区东靠红星美凯龙，南靠红梅小吃一条街大润发，很繁华热闹,,,,,,,,,
2748,金新鼎邦 小三房 精装修 业主诚心出售,358万,35237,天宁区红梅,金新鼎邦,3室1厅1厨1卫,高楼层 (共32层),101.6㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-07-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年，业主诚心出售，精装修，看房方便,业主诚心出售，自住房，一直爱惜，产权清晰，无纠纷，随时看房。,,,此小区出小区大门既是沿街底商，有精品水果店，小吃店，童装店，棋牌室，宠物店等，生活便利。小区旁边既是农业银行网点，步行1000米既是建设银行网点，步行800米可到BRT车站，BRT可到新北万达和市吾悦商场。,,小区是金新置业，目前常州的楼盘也很多，小区环境优美，人车分流模式，小区24小时保安巡逻，物业服务很好。,,,,,,,,,
2749,金新鼎邦，南北格局，楼层好， 采光充足， 配套设施全,2300万,48242,天宁区红梅,金新鼎邦,6室3厅1厨3卫,低楼层 (共3层),476.77㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-08-07,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,金新鼎邦，南北格局，楼层好， 采光充足， 配套设施全,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,此小区出小区大门既是沿街底商，有精品水果店，小吃店，童装店，棋牌室，宠物店等，生活便利。小区旁边既是农业银行网点，步行1000米既是建设银行网点，步行800米可到BRT车站，BRT可到新北万达和市吾悦商场。,,,,,,适合年轻人，老年人居住，小区人车分流闹中取静的环境优美，小区居住外国人多，人文环境优越，老少皆宜,,,,暂无数据,
2750,新天地商业广场交通便利采光好诚心出,238万,24828,天宁区红梅,新天地商业广场,3室1厅1厨1卫,低楼层 (共32层),95.86㎡,暂无数据,暂无数据,板塔结合,南 东,钢混结构,精装,四梯十户,有,暂无数据,2022-01-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层不错光线好，随时看房,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
2751,小区环境优雅，配套成熟，交通便利，居住舒适。,460万,25456,新北区红梅,中央花园（新北区） ,4室2厅1厨2卫,高楼层 (共22层),180.71㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-06-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,该房屋目前还有部分贷款，但是不影响交易，我们德佑地产会在签约之前帮您审核该房屋的真实有效性。,小区生活设施齐全，文化广场，菜市场、银行、，交通便捷； 2、小区内有健身器材，小孩游乐场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,,,,,
2752,建材新村。地理位置佳。价拎包住。价格美丽。看房方便,100万,14706,天宁区红梅,建材新村,2室1厅1厨1卫,低楼层 (共6层),68㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,暂无数据,无,暂无数据,2022-09-16,商品房,2021-12-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房楼层好，采光充足，交通便利，配套设施齐全。,,"1、 契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,菜场：西新桥菜场 ，锦绣菜场：2公里内有大润发 欧尚。 医院：2公里内有青山湾社区医院，武进医院。,此房位于通江路旁，交通便利，有BRT站台，公交车站台 。开车可以直接上龙城高架。,,,,,,,,,,
2753,尚东区北区小三房边户，精装修，凤凰层！,170万,17259,天宁区红梅,新城尚东区花园北区,3室1厅1厨1卫,高楼层 (共17层),98.5㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套设施齐全，交通便利。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,世纪联华、大润发、欧尚、国美家电、九龙小商品城、小东门商城，成熟型社区 配套齐全，菜场，娱乐场所，红星美凯龙，红梅公园，紫荆公园都很方便，适宜居住,1111路可到紫荆公园火车站 11路可到火车站新北区万达 231路可到市区南大街、B2、H2、高铁北广场,,,,,,,,,,
2754,鼎邦精装 视野开阔 采光好 配套齐全 交通便利,330万,32462,天宁区红梅,金新鼎邦,3室2厅1厨1卫,高楼层 (共32层),101.66㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,金新鼎邦精装房 视野开阔 采光好 配套齐全 交通便利,业主2015年初买入，精装入住，小三房结构，由于新房交付，搬家出售。博爱路和北郊，诚意出售，价格可谈。,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,业主之前是全款买房，没有房贷没有抵押，安全交易。博爱路和北郊。,,,,,,,,,,,,
2755,中央花园（新北区）  2室1厅 东南,230万,24702,新北区红梅,中央花园（新北区） ,2室1厅1厨1卫,高楼层 (共18层),93.11㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2756,楼层高 采光好 小区安静舒怡 配套齐全 交通便利,468万,32852,天宁区红梅,金新鼎邦,4室2厅1厨2卫,低楼层 (共19层),142.46㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-11-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层高 采光好 小区安静舒怡 配套齐全 交通便利,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,配套：此小区出小区大门既是沿街底商，有精品水果店，小吃店，童装店，棋牌室，宠物店等，生活便利。小区旁边既是农业银行网点，步行1000米既是建设银行网点，步行800米可到BRT车站，BRT可到新北万达和市吾悦商场。,小区2016年交付，高层加别墅共35栋，共1435户，高品质住宅，管家式服务，小区人车分流，环境优美，白天一片葱绿，夜晚一片浓荫，休闲安静，居住舒适又安全,,,,,,,,,
2757,顶复景观房 全天采光视野佳 带空中花园 交通便利！,310万,18273,新北区红梅,聚博花园,4室2厅1厨2卫,高楼层 (共11层),169.65㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2022-12-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,顶复 景观房 全天采光 视野佳 带空中花园 阳光房 交通便利！,,,,,地铁一号线市民广场站距离450米 公交有：19路32路33路42路等,小区2004年交付使用，共32栋，946户，由别墅，小高层和高层组成，物业费0.45，设施齐全，交通便利,,,,,,,,,
2758,北环武进小区，户型好，采光好，诚意出售,75万,8721,天宁区红梅,北环南村,3室1厅1厨1卫,高楼层 (共6层),86㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,地铁1号旁，北环武进小区中间楼层，位置好，户型佳，采光好,,,,距离大润发卖场仅1000米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便 小区门口自带中型生活市场,,,,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光，,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,,
2759,尚东区尚东区北区，小区环境好，楼层好，光线好,150万,15310,天宁区红梅,新城尚东区花园北区,3室2厅1厨1卫,低楼层 (共17层),97.98㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，3房2卫，得房高，地段繁华，交通便利,,,此房无抵押，无贷款，无查封，产权清晰，诚心出售，可以立即过户。,小区绿化面积大，楼间距宽，格局分明采光好，小区东靠红星美凯龙，南靠红梅小吃一条街大润发，很繁华热闹,红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站,,,,,,,,,,
2760,地理位置佳。网红打卡地隔壁。交通便利。看房方便。,59.8万,7899,天宁区红梅,建材新村,3室1厅1厨1卫,中楼层 (共5层),75.71㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，采光充足，交通便利，配套设施齐全。,,"1、 契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,菜场：西新桥菜场 ，锦绣菜场：2公里内有大润发 欧尚。 医院：2公里内有青山湾社区医院，武进医院。,此房位于通江路旁，交通便利，有BRT站台，公交车站台 。开车可以直接上龙城高架。,,,,,,,,,,
2761,青山湾南区 人车分流 边户 三面 采光 精装 拎包入住,380万,27378,天宁区红梅,青山湾南区,3室2厅1厨2卫,中楼层 (共30层),138.8㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,三梯八户,有,暂无数据,2022-12-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青山湾南区 人车分流 边户 三面 采光 精装 拎包入住,,"1、契税:90平方以下的首套跟二套都是1%，90平米以上首套房成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税 3、个税:产证满五年但不是唯一套住房, 成交价的1%；满5唯一无个税",,"2公里内有红梅公园菜场:怡康小河沿菜场,锦绣菜场， 2公里内有大润发，欧尚 医院: 2公里内有青山湾社区医院,武进医院，一院,二院",,小区有东门和北门两个门，汽车电动车直接入库，小区环境优美 人车分流 ，孩子老人玩耍散步安全放心。,,,,,,,,,
2762,红梅新村 带阁楼  外楼梯 价格可议,75万,11719,天宁区红梅,红梅新村,2室1厅1厨1卫,高楼层 (共5层),64㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房采光视野好，带阁楼，可住人，外楼梯进入，互不影响。,,房子满五，契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,红梅商场、、红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,,,,,,,,,,,
2763,主城区 竹林一号旁凯旋城  精装四房 户型方正 采光好,205万,14683,天宁区红梅,凯旋城,4室2厅1厨2卫,高楼层 (共14层),139.62㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野好 采光好 商圈配套成熟，交通出行方便,,,,"商场：红梅菜市场、竹林菜场、红东菜场、时代c市、大润发c市、信特、联华医院：红梅医院银行：中国工商银行,中国建设银行,中国银行其他：翠竹公园",位于竹林北路和龙城大道的交汇处， 公交较为便捷， 212路、218路、208、216路、H1等都可选乘到交通信息大厦（董头村）下车，B23到终点站下车即可,,,,,,,,,,
2764,环境好，交通方便，房东诚心出售.,200万,18812,天宁区红梅,盛世名门,3室2厅1厨1卫,低楼层 (共15层),106.32㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,,
2765,锦绣东苑顶楼复式自带空中花园居住舒适,220万,12223,天宁区红梅,锦绣东苑,5室2厅1厨2卫,中楼层 (共7层),179.99㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房在五楼复式空中别墅，户型方正，装修好，大金空调,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,小区内停车位充足，建有地上停车场和地下车库、小区内24小时保安巡逻,,,房龄二十多年，三开间朝南，双阳台，户型通透 精装修 全明户型，通风透气。,,,,,,
2766,新上 梅亭佳园 位置楼层好  龙湖物业  小区环境优美,155万,16937,天宁区红梅,梅亭佳园,3室2厅1厨1卫,中楼层 (共18层),91.52㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房已经交付，好交易，房子无贷款，户型方正 小区环境好 龙..,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场,,,,,,,,,
2767,怡康花园博小北郊，三房两卫精装，,280万,22293,天宁区红梅,怡康花园,3室2厅1厨2卫,中楼层 (共9层),125.6㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,怡康花园博小北郊，三房两卫精装,,"1、契税:90平方以下的首套跟二套都是1%，90平米以上首套房成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税 3、个税:产证满五年但不是唯一套住房, 成交价的1%；满5唯一无个税。",此房无贷款 无抵押 无查封，产权清晰，房东诚意出售，欢迎找我带看。,"红梅公园、天宁寺、市民广场、规划馆、博物馆，图书馆，八角井菜场,锦绣菜场， 大润发， 医院: 青山湾社区医院,武进医院，一院,二院",,,,,,,,,,,
2768,红梅西村 三室两厅一厨一卫 楼层好 采光充足,110万,10000,天宁区红梅,红梅西村,3室2厅1厨1卫,中楼层 (共7层),110㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房中间楼层，采光好，房东诚心出售，看房方便！,,,,红梅商场、金叶连锁(林园商场东南)、大润发、红星家具装饰城、金太阳家电北环商场、九龙小商品批发市场、世纪联华，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,9路、10路、11路、15路、24路、29路、208路、216路，地铁2号线500米,,,,,,,,,,
2769,嘉盛苑  看房方便 诚心出售 价格好谈,66万,12942,天宁区红梅,嘉盛苑,1室1厅1厨1卫,低楼层 (共19层),51㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,精装,四梯十户,有,暂无数据,2023-07-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修 可拎包入住，近天宁吾悦，生活方便,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.3%。 个税：不满5年征收1%,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
2770,润德半岛 看房方便  房东诚心出售 有车位,125万,12853,天宁区红梅,润德半岛,2室2厅1厨1卫,中楼层 (共5层),97.26㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房视野开阔，精装修，交通便利，配套设施齐全,,"1、契税:首套房，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",,"2公里内有红梅公园菜场:锦绣菜场，2公里内有大润发，欧尚 医院: 2公里内有青山湾社区医院,武进医院，一院,二院",,小区位于飞龙路，环境优美，临河而居，内部整洁，管理到位，适合居住,,,,,,,,,
2771,县北新村 满二年 诚心出售 看房方便,220万,33334,天宁区红梅,县北新村,3室1厅1厨1卫,低楼层 (共5层),66㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2022-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满2可出售，一楼带院子，看房方便。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,2公里内有红梅公园 菜场：西新桥公寓菜场 ，锦绣菜场：2公里内有大润发欧尚。 医院：2公里内有青山湾社区医院，武进医院，一院 ，二院,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
2772,通济新村 顶楼复式 通江路旁 看房方便,198万,30000,天宁区红梅,通济新村,2室1厅1厨1卫,高楼层 (共5层),66㎡,暂无数据,暂无数据,板楼,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,通济新村 顶楼复式 通江路旁 看房方便,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
2773,新天地花苑 3室 双阳台 南北通风 诚心出售,300万,24538,天宁区红梅,新天地花苑,3室2厅1厨2卫,中楼层 (共14层),122.26㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯六户,有,暂无数据,2023-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新天地花苑 3室 双阳台 南北通风 诚心出售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,新天地花苑位于关河路与晋陵路交汇处东北侧，向东直线距离500米是怡康菜市场。我们对应的是 博， 小 北 ，郊 。向南900米是常州市三甲医院，人民医院。 小区南门向东1.2公里左右是地铁一号线火车站站 和博爱路站,,小区地址：天宁关河中路88-9号(青山桥北边) 所属区域：天宁 天宁街道 邮 编：213000 产权描述：70年 物业类别：住宅 建筑年代：2000年建成 建筑结构：钢筋混凝土、砖混,,,,,,,,,
2774,房东诚心出售， 车站， 红梅公园，,65万,10452,天宁区红梅,北环新村,2室1厅1厨1卫,高楼层 (共5层),62.19㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2022-07-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,： 业主现诚心出售，欢迎看房，随时恭候，如看中房子，..,： 业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子。 车站， 。。。。。。。。,"： 税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
2775,凯纳华侨城精装二室二厅采光好南北通风,240万,21266,钟楼区红梅,凯纳华侨城,3室2厅1厨1卫,中楼层 (共24层),112.86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满二，没住过。开发商精装交付。中.央空调，地暖，全天热水。,,,产权清晰，无抵押，无贷款，房东诚意出售。看房方便，提前电话联系。,到泰富百货500米，到吾悦国际500米，到新北万达1500米。到市民广场1000米。,,,,,,,,,,,
2776,顶楼二层，户型通透，干净清爽，满五唯一,73万,11775,天宁区红梅,翠竹新村南区,4室2厅2厨2卫,高楼层 (共6层),62㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,无,暂无数据,2023-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,装修新，实际使用面积大，交通便捷，生活方便。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,小区地理位置好，交通、生活、健身、娱乐，都很方便。小区绿化多，物业管理严格，居住舒适。,,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,,,
2777,火车站旁 精装修 满五年 配套全 出行方便,168万,14262,天宁区红梅,东方明珠花园,3室2厅1厨1卫,低楼层 (共30层),117.8㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修，楼层好 采光足 满五年 配套设施齐全 出行方便,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,商场：大润发，时代chao市、小东门商城，国美家电，红星美凯龙，九龙小商品城等 医院：红梅医院 邮局：邮电局(延陵东路 银行：农商银行、中国银行、建设银行、工商银行 其他：翠竹公园,有13条公交线路经过 9，10，11，15，29。30，208，212，216，232，255，310等,,,,,,,,,,
2778,楼层好，户型好，全天采光，价格优惠，配套齐全,140万,10770,天宁区红梅,锦绣花园西区,3室2厅1厨1卫,低楼层 (共6层),130㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,暂无数据,无,暂无数据,2022-08-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好，户型好，全天采光，价格优惠，配套齐全,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,商场：金百国际商 业广场医院：天宁区锦绣社区卫生服务站邮局：中国邮政翠竹邮政支局银行：工商银行、中国银行、建设银行其他：福建千里香馄饨王、优香蛋糕坊、常来餐馆小区内部配套：小区靠 近市政府，市中 心地段，处在交通要道上面，交通便利,公交车出行可以选择 11路; 13路; 18路; 32a路; 32路; 36路; 40路; 53路; b12路; k2路 向东五百米 地鉄一号线,,,,,,,,,,
2779,红梅东村68.6平81万顶楼复式四房二卫,81万,11808,天宁区红梅,红梅东村,4室2厅1厨2卫,中楼层 (共5层),68.6㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 17万元,未上传房本照片,业主诚心出售，证件齐，欢迎看房，随时恭候，四楼，楼层好,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,商场：红梅商场、金叶连锁(林园商场东南)、大润发C市、红星家具装饰城、金太阳家电北环商场、九龙小商品批发市场、世纪联华C市医院：红梅医院、青龙医院九龙门诊部邮局：红梅邮政支局银行：江苏银行红梅支行、农业银行九龙支行,,,,,,,,,,,
