,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
2238,四开间朝南洋房！D密品质社区！G端改善住宅！,395万,27817,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共6层),142㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,四开间朝南洋房！三阳台设计！D密品质社区！G端改善住宅！,雅居乐地产控股有限公司1992年成立，做家具出身，2005年香港交易所上市，是以房地产开发、物业管理及室内装修、酒店管理为主线业务。棠颂是雅居乐联合路劲打造的品质住宅社区，主要产品包括洋房+高层，低密度，高绿化，品质物业服务，优质教配资源。,棠颂2021年中旬交付，是雅居乐在北港片区打造的低密度品质社区，闹中取静。该户型是小区主要终端改善产品---洋房，具有宽四开间设计，三阳台高窗墙比，阳光进深充足，南北通透，动静分离的优点。,,,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,
2239,申达林与城 3室2厅 南,200万,18182,钟楼区北港,申达林与城,3室2厅1厨1卫,中楼层 (共24层),110㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
2240,次新小区 采光视野好 业主诚心出售 冠英 明德,85万,11334,钟楼区北港,清云澜湾A区,2室1厅1厨1卫,低楼层 (共27层),75㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 目前产证已到手 采光视野好 业主诚心出售 冠英 明德,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻 配套很齐 宝龙广场 中吴广场 青枫公园 医院,,商场：新建的中吴广场与小区一河之隔，骑车到龙湖天街，到宝龙广场都近 医院：妇幼保健院近在咫尺 公园:小区南边就是靠河的一个景观带，夏天晚上可以和家里人散散步，到青枫公园也很短的路程、 教育：常州觅小集团分校，初中是明德,,,,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
2241,中间楼层 三开间朝南明厨明卫户型方正,226万,20734,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,中楼层 (共17层),109㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 高楼层 采光充足 配套齐全,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！三公里内公园地铁医院商场齐全,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2242,次新小区  采光视野好 业主诚心出售 冠英 明德,83万,11067,钟楼区北港,清云澜湾A区,2室2厅1厨1卫,中楼层 (共27层),75㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 目前产证已到手 采光视野好 业主诚心出售 冠英 明德,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻 配套很齐 宝龙广场 中吴广场 青枫公园 医院,,商场：新建的中吴广场与小区一河之隔，骑车到龙湖天街，到宝龙广场都近 医院：妇幼保健院近在咫尺 公园:小区南边就是靠河的一个景观带，夏天晚上可以和家里人散散步，到青枫公园也很短的路程、 教育：常州觅小集团分校，初中是明德,,,,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
2243,清枫公园！次新房小区，双阳台三开间朝南，高楼层,162万,14310,钟楼区北港,港悦府,3室2厅1厨2卫,高楼层 (共28层),113.21㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正，采光好，视野宽阔，配套设施齐全，交通方便。,,,,,,,契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴； 3.个人所得税： 满两年1%；满五唯一免缴。,,"地铁二号线离小区大约700米
公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米",,,,,
2244,中间楼层，视野宽阔，毛坯未入住,65万,10866,钟楼区北港,丁香苑小区二期,1室1厅1厨1卫,中楼层 (共34层),59.82㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此楼层中间，毛坯未入住，实用性强，户型通透,小区是21年交付，户型很讲究幽静雅致，小区整体布局合理。z z,,南边BRT，东边龙江路高架，北边景观河，南边是怀德路，交通很方便，妇幼医院，公园,,,,,,,,,,,
2245,雅乐花园。境优美。物业佳。户型佳。,208万,18408,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,低楼层 (共20层),113㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,房东诚心卖的。看房提前联系房东。,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，,,配套南北通风，视野开阔，配套设施齐全，交通便利。小区环境优美。,,,,,,：交通方便，步行到地铁快，自驾出行国道高架，公交站牌就在小区门。,,,,,
2246,冠英明德空置 四开间朝南 双阳台 南北通透,220万,17002,钟楼区北港,保利和光晨樾西区,4室2厅1厨2卫,高楼层 (共17层),129.4㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,冠英明德空置 四开间朝南 双阳台 南北通透,保利控股集团于1992年成立，2006年在上海证券交易所上市，是最早上市的房地产公司。保利和光晨樾是2022年交付，板楼、连廊板楼设计，小高层住宅。一梯一户，两梯四户两种梯户比。,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，故缴税成交价的1%。",,,,,,,
2247,次新小区 户型方正 三开间朝南双阳台,248万,16987,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共17层),146㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,次新小区 户型方正 三开间朝南双阳台,生活便利：小区外有商铺，合理分布，购买生活用品及买菜十分便利，北边新建的商场,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施游乐园，跑道，老人小孩可在小区花园游玩,,,,,,,,
2248,青枫公园旁金茂府，精装三房，房东诚心出售,230万,22773,钟楼区北港,金茂府东区,3室2厅1厨2卫,中楼层 (共18层),101㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三室两厅一厨两卫 高楼层 采光充足 配套完善,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,
2249,清云澜湾92.82平毛坯三房，楼栋位置好,128万,13791,钟楼区北港,清云澜湾A区,3室2厅1厨1卫,中楼层 (共27层),92.82㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-12-20,商品房,2023-10-31,普通住宅,未满两年,非共有,无抵押,已上传房本照片,冠英+明德 中吴广场旁 次新房 3房 诚心出售,"位于龙江中路与棕榈路交汇处。容积2%。绿化35%。毛坯交付。 2023年1月底交付。清云澜湾共1520户。主力户型为90平-120平3居。项目为小高层,高层。小高层：16F~18F；高层：24F/27F。",,妇幼保健院，中吴广场，龙湖天街，青枫公园，宝龙广场，钟楼汽车城,,,,,房子无抵押，无贷款，无查封，产权清晰，有钥匙，随时看房。诚心出售，一对一全程陪同看房至过户。,,,,,,
2250,四开间朝南洋房！D密品质社区！G端改善住宅！,395万,27817,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共6层),142㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,四开间朝南洋房！三阳台设计！D密品质社区！G端改善住宅！,雅居乐地产控股有限公司1992年成立，做家具出身，2005年香港交易所上市，是以房地产开发、物业管理及室内装修、酒店管理为主线业务。棠颂是雅居乐联合路劲打造的品质住宅社区，主要产品包括洋房+高层，低密度，高绿化，品质物业服务，优质教配资源。,棠颂2021年中旬交付，是雅居乐在北港片区打造的低密度品质社区，闹中取静。该户型是小区主要终端改善产品---洋房，具有宽四开间设计，三阳台高窗墙比，阳光进深充足，南北通透，动静分离的优点。,,,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,
2251,雅居乐·路劲棠颂 4室2厅 南 北,418万,29437,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共6层),142㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
2252,诚心出售 央企保利和光晨樾 一梯一户 看中可谈,206万,18208,钟楼区北港,保利和光晨樾东区,3室2厅1厨2卫,低楼层 (共17层),113.14㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房户型方正，三室两厅一厨两卫 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2253,冠英明德空置 四开间朝南 双阳台 南北通透,220万,17002,钟楼区北港,保利和光晨樾西区,4室2厅1厨2卫,高楼层 (共17层),129.4㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,冠英明德空置 四开间朝南 双阳台 南北通透,保利控股集团于1992年成立，2006年在上海证券交易所上市，是最早上市的房地产公司。保利和光晨樾是2022年交付，板楼、连廊板楼设计，小高层住宅。一梯一户，两梯四户两种梯户比。,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，故缴税成交价的1%。",,,,,,,
2254,次新小区 采光视野好 业主诚心出售 冠英 明德,85万,11334,钟楼区北港,清云澜湾A区,2室1厅1厨1卫,低楼层 (共27层),75㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 目前产证已到手 采光视野好 业主诚心出售 冠英 明德,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻 配套很齐 宝龙广场 中吴广场 青枫公园 医院,,商场：新建的中吴广场与小区一河之隔，骑车到龙湖天街，到宝龙广场都近 医院：妇幼保健院近在咫尺 公园:小区南边就是靠河的一个景观带，夏天晚上可以和家里人散散步，到青枫公园也很短的路程、 教育：常州觅小集团分校，初中是明德,,,,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
2255,清枫公园！次新房小区，双阳台三开间朝南，高楼层,162万,14310,钟楼区北港,港悦府,3室2厅1厨2卫,高楼层 (共28层),113.21㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正，采光好，视野宽阔，配套设施齐全，交通方便。,,,,,,,契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴； 3.个人所得税： 满两年1%；满五唯一免缴。,,"地铁二号线离小区大约700米
公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米",,,,,
2256,次新小区  采光视野好 业主诚心出售 冠英 明德,83万,11067,钟楼区北港,清云澜湾A区,2室2厅1厨1卫,中楼层 (共27层),75㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区 目前产证已到手 采光视野好 业主诚心出售 冠英 明德,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻 配套很齐 宝龙广场 中吴广场 青枫公园 医院,,商场：新建的中吴广场与小区一河之隔，骑车到龙湖天街，到宝龙广场都近 医院：妇幼保健院近在咫尺 公园:小区南边就是靠河的一个景观带，夏天晚上可以和家里人散散步，到青枫公园也很短的路程、 教育：常州觅小集团分校，初中是明德,,,,1.契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
2257,中间楼层 三开间朝南明厨明卫户型方正,226万,20734,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,中楼层 (共17层),109㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 高楼层 采光充足 配套齐全,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！三公里内公园地铁医院商场齐全,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2258,次新小区 户型方正 三开间朝南双阳台,248万,16987,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共17层),146㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,次新小区 户型方正 三开间朝南双阳台,生活便利：小区外有商铺，合理分布，购买生活用品及买菜十分便利，北边新建的商场,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施游乐园，跑道，老人小孩可在小区花园游玩,,,,,,,,
2259,青枫公园旁金茂府，精装三房，房东诚心出售,230万,22773,钟楼区北港,金茂府东区,3室2厅1厨2卫,中楼层 (共18层),101㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 三室两厅一厨两卫 高楼层 采光充足 配套完善,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,
2260,次新小区，中间楼层 前面商场后面公园,260万,20313,钟楼区北港,宝龙三期,3室2厅1厨2卫,中楼层 (共16层),128㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 四室两厅一厨两卫 中间楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2261,雅居乐·路劲棠颂 4室2厅 南 北,225万,17579,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共17层),128㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
2262,青枫公园宝龙二期在售房源83平精装修好楼层看房方便,119万,14338,钟楼区北港,宝龙国际花园二期,2室2厅1厨1卫,低楼层 (共32层),83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 45万元 银行 客户偿还,未上传房本照片,此房户型方正 两室两厅一厨一卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2263,保利和光晨越毛坯3房2卫 双阳台小高层中层冠英北郊,188万,18637,钟楼区北港,保利和光晨樾西区,3室2厅1厨2卫,中楼层 (共17层),100.88㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,冠英明德空置 三开间朝南 双阳台 纯毛坯,保利控股集团于1992年成立，2006年在上海证券交易所上市，是最早上市的房地产公司。保利和光晨樾是2022年交付，板楼、连廊板楼设计，小高层住宅。一梯一户，两梯四户两种梯户比。,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，故缴税成交价的1%。",,,,,,,
2264,清云澜湾A区 2室2厅 南 北,98万,13071,钟楼区北港,清云澜湾A区,2室2厅1厨1卫,中楼层 (共22层),74.98㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,2023-06-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
2265,雅乐花园环境优美。物业佳。户型佳。,210万,18585,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨1卫,低楼层 (共20层),113㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,房东诚心出售。看房。。。有密码钥匙。,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，,,配套南北通风，视野开阔，配套设施齐全，交通便利。小区环境优美。,,,,,,交通方便，步行到地铁快，自驾出行国道高架，公交站牌就在小区门口。,,,,,
2266,雅居乐棠颂 洋房毛坯3房 次顶楼 采光好 配套齐全,285万,20956,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,高楼层 (共8层),136㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正 四室两厅一厨两卫 低楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2267,保利和光晨樾西区 4室2厅 南,240万,18605,钟楼区北港,保利和光晨樾西区,4室2厅1厨2卫,中楼层 (共17层),129㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 35万元,未上传房本照片,,,,,,,,,,,,,,,
2268,诚心出售，随时看房，看房方便，价格可谈,128万,14293,钟楼区北港,清云澜湾A区,3室2厅1厨1卫,中楼层 (共27层),89.56㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,三梯六户,有,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。,,,,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,
2269,雅居乐棠颂 冠英明德 全明户型 次新小区有钥匙随时看,200万,17700,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,高楼层 (共20层),113㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正 次新小区 全明户型 商场医疗配套好,,客厅朝南带阳台，主卧朝南。主卧带小阳台 厨房卫生间都带窗，采光好无遮挡,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,,,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
2270,中间楼层，视野宽阔，毛坯未入住,65万,10866,钟楼区北港,丁香苑小区二期,1室1厅1厨1卫,中楼层 (共34层),59.82㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此楼层中间，毛坯未入住，实用性强，户型通透,小区是21年交付，户型很讲究幽静雅致，小区整体布局合理。z z,,南边BRT，东边龙江路高架，北边景观河，南边是怀德路，交通很方便，妇幼医院，公园,,,,,,,,,,,
2271,雅乐花园。境优美。物业佳。户型佳。,208万,18408,钟楼区北港,雅居乐·路劲棠颂,3室2厅1厨2卫,低楼层 (共20层),113㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,房东诚心卖的。看房提前联系房东。,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，,,配套南北通风，视野开阔，配套设施齐全，交通便利。小区环境优美。,,,,,,：交通方便，步行到地铁快，自驾出行国道高架，公交站牌就在小区门。,,,,,
