,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
2207,天宁吾悦旁，地铁2号线，次新小区，精装修,138万,14728,天宁区青龙,豪郡花园,3室2厅1厨1卫,中楼层 (共34层),93.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦旁，地铁2号线，次新小区，精装修,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
2208,阳光城禹洲开发商精装交付未入住业主诚心出售,235万,21963,天宁区青龙,阳光城禹洲·宸悦,3室2厅1厨2卫,高楼层 (共18层),107㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,紫荆公园和横塘河双公园围绕，书香气息浓,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,小区以小高层和洋房为主，低密社区，环境优美，居住环境舒适，小区内配备儿童游乐场，健身设施，环形跑道~~,,,,,,,,,
2209,天宁吾悦地铁2号线旁水晶城，双阳台东边户，视眼好,105万,12323,天宁区青龙,水晶城,2室1厅1厨1卫,高楼层 (共18层),85.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-10,商品房,2012-04-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,水晶城双阳台边户 采光好 看房方便 天宁吾悦旁,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,,,,,小区门口有30路直到市里，地铁2号，出小区就能上环城高架直通高速，出行方便,,,,
2210,万科新都会 3室2厅 南 北,250万,21627,天宁区青龙,万科新都会,3室2厅1厨2卫,中楼层 (共27层),115.6㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,2023-10-01,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
2211,景秀世家 小两房 看房提前联系 户型方正 采光好,93万,11887,天宁区青龙,景秀世家,2室1厅1厨1卫,低楼层 (共24层),78.24㎡,暂无数据,暂无数据,板塔结合,西北,钢混结构,精装,一梯六户,有,暂无数据,2022-10-11,商品房,2018-10-15,普通住宅,满五年,非共有,有抵押,已上传房本照片,景秀世家 小两房 看房提前联系 户型方正 采光好,业主现诚心出售，证件齐，欢迎看房，提前预约，如看中房子，价格可议,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
2212,业主诚心急售 马上拿房了   看房提前联系我,200万,20698,天宁区青龙,万科新都会,3室2厅1厨0卫,中楼层 (共24层),96.63㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 120万元 120 业主自还,未上传房本照片,价格好，楼层好，三朝南，精装，可以根据自己的喜爱布置,,,"：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,万科精装修，三朝南户型，方方正正，采光佳，可以根据自己的喜爱重新布置。,,,,,
2213,天宁吾悦旁、次新小区、地铁2号线、适合首套房,145万,13426,天宁区青龙,豪郡花园,3室1厅1厨1卫,低楼层 (共34层),108㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,天宁吾悦旁，地铁2号线，次新小区、户型方正 看房方便 诚心出售,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
2214,纯毛坯三房两厅两卫，有钥匙随时看房房东愿意看房,170万,13077,天宁区青龙,海华花园,3室2厅1厨2卫,中楼层 (共27层),130㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,次新小区，楼层好无遮挡，采光足，交通方便,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,小区生活实施齐全，商场，菜市场，银行等。 2：小区停车位充足，建有地面临时停车位以及底下停车位。绿化也不错，地铁走过去就行,房子满二，个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
2215,：次新小区，精装大三房未入住，诚心出售,210万,17074,天宁区青龙,中海云樾里,3室2厅1厨2卫,低楼层 (共17层),123㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,次新小区，精装大三房未入住，环境好，物业好,房子全款无抵押，产权清晰。房东诚心出售，看房方便，按照正常首付就可以,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，九龙夜市，地铁口,此房不满2年，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
2216,中海云樾里精装大平层 采光好 诚心出售,460万,25556,天宁区青龙,中海云樾里,4室2厅1厨3卫,中楼层 (共17层),180㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,暂无数据,2023-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,云樾里精装四房，全天采光无遮挡，诚心出售,房目前是有贷款，产权清晰。房东诚心出售，按照正常首付就可以。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，九龙夜市，地铁口,此房不满2年，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,,,
2217,小区景观 采光全天 户型方正  精装修 业主诚售,138万,15550,天宁区青龙,永宁雅苑,2室2厅1厨1卫,低楼层 (共30层),88.75㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。javascript:;,,,,,,,,,,,,
2218,天宁吾悦广场旁，次新小区，环境好，户型方正,169万,13000,天宁区青龙,海华花园,3室2厅1厨2卫,中楼层 (共26层),130㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-05-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦广场旁，次新小区，环境好，户型方正,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,小区生活实施齐全，商场，菜市场，银行等。 2：小区停车位充足，建有地面临时停车位以及底下停车位。绿化也不错，地铁走过去就行,房子满二，个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,,,
2219,火车站大润发边，小高层.环境优美，全天采光！,129万,13871,天宁区青龙,青竹苑B区,2室2厅1厨1卫,中楼层 (共21层),93㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,火车站大润发边，小高层.环境优美，全天采光！,,生活设施齐，银行，市场，商城，菜场，饮食近在咫尺 生活起居很方便,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,小区介绍：小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场,,,,,,,,,
2220,地铁二号线 天宁吾悦旁 香溢紫郡 三房 业主诚心出售,130万,11904,天宁区青龙,香溢紫郡,3室2厅1厨1卫,高楼层 (共34层),109.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好，采光佳，户型方正，看房方便~,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,商天宁吾悦商圈近在咫尺，工商银行，江南银行，5大购物C市家门口，小区前菜场!成熟小区繁华 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
2221,紫荆公园旁 阳光龙庭好楼层 拎包入住,115万,13451,天宁区青龙,阳光龙庭,2室1厅1厨1卫,低楼层 (共33层),85.5㎡,平层,68.97㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-06,商品房,2014-04-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,阳光龙庭大两房 视野采光好 业主诚心出售,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
2222,龙湖香题漫步类独栋边户 精装修带大花园 房东诚心出售,1680万,43697,天宁区青龙,龙湖香醍漫步南区,5室2厅1厨4卫,低楼层 (共4层),384.47㎡,,暂无数据,,南 北,钢混结构,精装,,,暂无数据,2023-09-22,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,类独栋的边户 拎包即住 品牌家电,业主诚心出售，随时可以看房，业主产权清晰，全程配套签约过户.,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,联排,,,
2223,动静分离，红梅公园，生活配套齐全,120万,10000,天宁区青龙,五角场东村东区,3室2厅1厨2卫,高楼层 (共7层),120㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30,未上传房本照片,动静分离，红梅公园，生活配套齐全,,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,小区边有BRT快速公交，即将通行的地铁2号线，有高架，畅通常州各个地方,,,,
2224,月馨苑精装2房 装修好房东诚售 随时看房,148万,15745,天宁区青龙,月馨苑,2室1厅1厨1卫,高楼层 (共15层),94㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,月馨苑精装2房 装修好 房东诚售 随时看房 地铁口,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,目前毛坯买家可按自己的喜欢的装修风格装修，装自己喜欢的样子！！！！！！！！！,,,,,,
2225,此房凤凰楼层，采光没影响。户型方正 两开间朝南。,120万,13260,经开区青龙,龙东花园,3室2厅1厨1卫,高楼层 (共34层),90.5㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,两梯三户,有,暂无数据,2023-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修。中间楼层，采光没影响。户型方正 两开间朝南。,好几家大型购物商场（永辉，好又多），综合菜场，药店，银行配套齐全，还有天宁吾悦购物广场，丁塘河湿地公园，爱琴海购物广场，相望九龙小商品城,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,交通十分方便，多路公交经过，高架旁，门口地铁2号线，可抵达常州东南新北，还有BRT2号线,,,,
2226,视野开阔，阳光充足，门口就是地铁口，天宁吾悦,110万,12421,天宁区青龙,水晶城,2室2厅1厨1卫,高楼层 (共18层),88.56㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野开阔，阳光充足，门口就是地铁口，天宁吾悦,,青洋路高架，天宁吾悦，交通银行，中国工商银行，邮政储蓄，永辉 ，金新御园菜场,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,小区生活实施齐全，商场，菜市场，银行等。2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻,,,,,,,,,
2227,地铁口 东坡公园 红梅公园旁 配套齐全 采光好,64.8万,9970,天宁区青龙,五角场东村东区,2室1厅1厨1卫,中楼层 (共4层),65㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地铁口 东坡公园 红梅公园旁 配套齐全 采光好 生活方便,,小区边上有精品水果店以及多种美食店，离小区700米是东坡公园，1000米有常州儿童医院，距小区北门300米是小东门商场，配套设施一应俱全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,小区门口有共享单车停车点，小区西南门150米就有公交站台，还有地铁2号线，交通十分便利,,,,
2228,次新房，前排，采光视野好，看房方便,160万,15924,经开区青龙,旭辉.都会里,3室2厅1厨1卫,中楼层 (共18层),100.48㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-11-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房毛坯 三开间朝南 位置好采光佳 看房方便诚心出售,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,
2229,吾悦—蔚蓝天地3房2厅精装好房诚心售,143.8万,14099,经开区青龙,蔚蓝天地,3室2厅1厨1卫,高楼层 (共32层),102㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房通透格局方正楼层佳视野开阔阳光充足价格小刀,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,权属抵押： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,适合年轻人结婚或者一家几口人居住，设施齐全，3个房间。小区安静舒适，上，学方便,,,出门就是主路，有公交，共享大单车后续还会有地铁，高架出行也方便，无论步行，骑车，开车，或者后续地铁都方便,,,,
2230,龙洲伊都经典两房户型 双公园 业主诚心出售,280万,31310,天宁区青龙,龙洲伊都,2室2厅1厨1卫,低楼层 (共24层),89.43㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙洲伊都经典两房户型 双公园 业主诚心出售,,,"个人所得税：1%（满五且唯一住房的免征）
契税：首套房面积≥90平方（1.5%）
         首套房面积≤90平方（1%）
         二套房（2%）
         三套房及以上（3%）",,,"日本大和开发商，龙洲伊都是大和来常州的第1个项目，精工产品。
小区总共9栋住宅，2栋商 业。
物业也是大和自己的物业，住宅及公寓物业费为3元/m²，商铺物业费6元/m²",,,房子为大和开发商精装修交付，业主添置家具家电，用的都是比较好的材料。,,,,,,
2231,阳光龙庭，精装两房，随时可以看房。,168万,19398,天宁区青龙,阳光龙庭,2室2厅1厨1卫,高楼层 (共32层),86.61㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,阳光龙庭户型房主，精致装修，采光视野无任何遮挡,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,,,,,"近龙城大道高架、青洋高架，自驾出行方便。小区南门永宁北路上有公交枢纽。有10、14、31、47、H1等多条公交，,李火车站，长途汽车站较近，出行方便",,,,
2232,次新小区，楼层好无遮挡，采光足，交通方便,120万,13334,天宁区青龙,海华花园,2室2厅1厨1卫,中楼层 (共27层),90㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天宁吾悦广场旁，次新小区，楼层好无遮挡，采光足，交通方便,,小区生活实施齐全，商场，菜市场，银行等。 2：小区停车位充足，建有地面临时停车位以及底下停车位。绿化也不错，地铁走过去就行％,房子满二，个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3,,,,,,,户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,
2233,月馨苑 简装三房 中层采光好 房东诚心出售,100万,10238,天宁区青龙,月馨苑,3室2厅1厨1卫,中楼层 (共32层),97.68㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-06,商品房,2017-03-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,月馨苑 简装3房 中间楼层采光好 房东诚售 随时看房,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄。红梅公园，东坡公园,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
2234,环境优雅 人车分流 地暖新风精装好房,220万,22975,天宁区青龙,万科新都会,3室2厅1厨1卫,中楼层 (共26层),95.76㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,环境优雅 人车分流 地暖新风精装好房,,公园景观环伺，紫荆公园，丁塘河湿地公园，横塘河、丁塘河、北塘河环伺。,,,,全新交付小区，人车分流，绿化景观做的不错，散步、跑步都有塑胶跑道。楼下还有羽毛球场等运动场所。儿童游乐场就在小区中间位置。,,,万科品质，精装修包含了地暖、新风和空调，空间利用合理。 卧室有实木地板，品牌为圣象或不低于此的；厨电为方太或不低于此的，厨盆为摩恩或不低于此的；卫生间瓷砖为欧神诺或不低于此的；洁具、五金为科勒或不低于此的。,,,,,,
2235,月馨苑地铁2号线旁 毛坯房，采光好，楼层佳！,125万,13158,天宁区青龙,月馨苑,2室1厅1厨1卫,中楼层 (共32层),95㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,月馨苑地铁2号线旁 毛坯房，采光好，楼层佳！,,红梅公园，东坡公园，儿童医院，大润发，火车站，朝阳菜场，生活便利,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,2号线地铁口 小区有共享单车停放点，有公交站台，可以乘坐10，25，60，203路等公交车，地处繁华，打车也方便，交通十分便利,,,,
2236,香溢俊园三室二厅二卫精装修，视线阳光充足，地铁,230万,18821,天宁区青龙,香溢俊园,3室2厅1厨2卫,中楼层 (共33层),122.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,香溢俊园三室精装修，阳光充足视野开阔配套设施齐全，地铁,,到菜场100米。到红梅公园500米，上高架500米。小区生活实施齐全，商场，菜市场，银行等。 小区停车位充足，建有地面临时停车位以及地下停车位,契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,,"11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路,H2,B2,火车站，高铁站",,,,
2237,景秀世家 2室1厅 南,102万,11059,天宁区青龙,景秀世家,2室1厅1厨1卫,中楼层 (共22层),92.24㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-12-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2238,天宁吾悦广场 香溢紫郡旁 三房 单价低 房东诚心出售,101万,13117,天宁区青龙,豪郡花园,2室2厅1厨1卫,高楼层 (共34层),77㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,简装,两梯四户,有,暂无数据,2023-12-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好视野开阔采光好配套齐全满五诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,次新小区 小区游玩设施多 物业管理优秀 小区到吾悦广场菜场很久 交通便利 配套齐全,,,,,小区步行800米到达地铁二号线紫云居站 步行200米公交站30路  步行800米63路公交车站,,,,
2239,兆丰花苑精装3房  全天采光 房东诚售 看房方便,160万,12778,天宁区青龙,兆丰花苑,3室2厅1厨2卫,高楼层 (共6层),125.22㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,暂无数据,无,暂无数据,2024-01-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,兆丰花苑精装3房  全天采光 房东诚售 看房方便,,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
