,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
2782,公园大厦南楼51平，楼层好，视野真的不错,150万,29229,钟楼区南大街,公园大厦,1室1厅1厨1卫,高楼层 (共31层),51.32㎡,暂无数据,39.19㎡,板塔结合,北,钢混结构,简装,四梯二十户,有,暂无数据,2023-08-22,商品房,2009-10-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,此房满五年，地理位置好，楼层好,此小区分为南楼和北楼，，其中南楼是70年产权住宅房，紧靠着青果巷，人文荟萃,,,,常州老城区板块，生活设施还是较齐全的，银行，菜场，商场等，生活比较便捷,,,此小区地段位置比较好，配套完善，生活也会很方便，适合年轻人居住,,,,,
2783,新丰街西楼 一楼开店生意， 小面积低总价,135万,44133,天宁区南大街,新丰街西楼,2室1厅1厨1卫,低楼层 (共6层),30.59㎡,暂无数据,暂无数据,板楼,东南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-16,商品房,2020-09-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,一楼开店生意， 小面积低总价，看房方便，诚意出售,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，户口可随时迁走，一楼方便看房，随时恭候,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2784,此房带电梯70年产权口产权清晰,185万,17321,钟楼区南大街,中南大厦激光医院宿舍,2室2厅1厨1卫,高楼层 (共15层),106.81㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,两梯七户,有,暂无数据,2023-05-04,商品房,2015-07-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,此房带电梯70年产权产权清晰装修清爽,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税",小区楼下有共享单车和公交站台，门口公交有多条线路、交通四通八达（19路、24路、302路、32路、33路、42路），小区门口即是环城主干道，可通往常州各个区域,,到八角井菜场100米，到火车站300米，到吾悦国际300米，到市一院300米。,,,,,,,,
2785,房东诚心出售，看房方便，提前预约,125万,31487,钟楼区南大街,东头村,1室1厅1厨1卫,中楼层 (共7层),39.7㎡,暂无数据,暂无数据,板楼,东南,混合结构,简装,暂无数据,无,暂无数据,2023-03-29,商品房,2019-11-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,房东诚心出售，看房方便，提前预约,小区建成于1987年，70年产权住宅，银行，商场，菜场都在1公里内，生活配套便利，交通方便,1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％；二套： 90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：个税1%。产证满五年而且是唯一套住房，免收个税,小区位于吊桥路85号，距离南大街地铁4号口（2号线）步行1.1公里，距离同济桥地铁站（1号线）步行2.5公里左右。配套的公交线路有：25路，55路，219路，23路，42路，52路，56路，205路，210路，220路，距离东头村公交站大概200米左右，小区出行还是比较方便的,,,,,,,,,,
2786,满五唯一省税，双地铁，小面积低总价,155万,33880,天宁区南大街,斜桥巷,1室1厅1厨1卫,低楼层 (共14层),45.75㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,两梯七户,有,暂无数据,2023-04-13,商品房,2017-03-16,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,满五唯一省税，双地铁，小面积低总价,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2787,河景花园 小户型低总价 楼层好 房东诚意出售,138万,17250,钟楼区南大街,河景花园,2室2厅1厨1卫,高楼层 (共28层),80㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,简装,两梯六户,有,暂无数据,2023-03-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,此房满五，成熟小区，配套全，教育资源丰富，交通便捷。,,房子为商品房，满五年 ，面积小于90平，首套房契税为1% ，二套房的契税为1% 三套及以上为3%,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光， 3，2个卧室朝南，一卧室带大阳台，客厅带阳台显客厅宽敞 全屋主功能间都带有窗户，明厨明卫。,距离兰园仅1000米，距离钟楼吾悦直线距离仅600米，距离大润发大卖场仅1000米，出行方便,,,1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，内有幼儿园，接娃方便。 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。,,,,,
2788,新上莱蒙小时代，精装一居室，随时看房，位置好。,69万,12778,钟楼区南大街,莱蒙小时代,1室1厅1厨1卫,高楼层 (共15层),54㎡,暂无数据,暂无数据,板楼,东北,钢混结构,精装,四梯三十一户,有,暂无数据,2022-01-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,新上莱蒙小时代，精装一居室，随时看房，位置好。,小区位于早科坊与民园里交界处，小区内部环境优雅，人车分流，市区繁华地段，交通便利，居住舒适,满两年免增值税 首套：90㎡以下1%的契税，90㎡以上1.5%的契税； 二套：90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税； 个税：满五唯一免个税，不满五年收取1%的个税,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,
2789,小玉带桥两房朝南带阳台南北通风房型方正,158万,24308,钟楼区南大街,小玉带桥,2室1厅1厨1卫,中楼层 (共7层),65㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 6万元 公积金 业主自还,未上传房本照片,,,满二，二房朝南，前排无遮挡，采光好，户型方正，在用初一。,小玉带桥，已完成老城厢改造，整个小区焕然一下。欢迎来小区参观。,,,,到八角井菜场20米，到口腔医院50米，到火车站350米。到泰富百货300米。,,,,,,,,
2790,房户型格局好、學空置采光充足、配套设施，有钥匙,230万,26745,钟楼区南大街,嘉宏盛世,2室2厅1厨1卫,低楼层 (共33层),86㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-05-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,房户型格局好，觅 田、采光充足、配套设施齐,沿街商铺、金鹰国际购物中 心、易买得市医院：中医院南院邮局：浦前邮政支局银行：中国银行同济花园分理处、工商银行其他：张太雷故居、人民公园,,6路、2路、20路、33路经过 嘉宏盛世本身配套商 业，集购物、娱乐、餐饮、休闲于一身：中国银行嘉宏盛世支行、中国建行嘉宏盛世支行、蔚蓝卡地亚私人名流会所、美丽莎时尚广场、南京知音琴行、艾都婚纱、民族鱼舫、顺旺基,,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,,,,,,,
2791,吴家场公寓 2室1厅 南,180万,25353,钟楼区南大街,吴家场公寓,2室1厅1厨1卫,中楼层 (共6层),71㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2792,置信商务广场精装二室一厅设施全头排采光好,260万,33334,钟楼区南大街,置信商务广场,2室1厅1厨1卫,低楼层 (共30层),78㎡,暂无数据,暂无数据,塔楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,满二，电梯房二房，朝南，采光好，70年产权民用水电气。,,,,南北二房，独立卫生间，独立厨房，明厨明卫。头排采光好。70年产权。,到泰富百货200米，到吾悦国际500米，到八角井菜场300米。到市一院300米。,,,,,,,,
2793,置信商务广场精装二房朝南70年产权民用水电,213万,29051,钟楼区南大街,置信商务广场,1室1厅1厨1卫,低楼层 (共30层),73.32㎡,暂无数据,暂无数据,塔楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,满二，电梯房二房，采光好，精装，70年产权民用水电气。,,,,精装南北二房，独立卫生间，独立厨房，明厨明卫。头排采光好。70年产权。没小孩读书,到泰富百货200米，到吾悦国际500米，到八角井菜场300米。到市一院300米。,,,,,,,,
2794,运河天地 1室1厅 南,48万,10213,钟楼区南大街,运河天地,1室1厅1厨1卫,中楼层 (共25层),47㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,四梯三十六户,有,暂无数据,2023-08-25,商品房,暂无数据,商业办公类,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,未知,未知,2.73元/m3
2795,出行方便，交通方便，靠市区，适宜居住,188万,22326,钟楼区南大街,杨柳巷小区,3室1厅1厨1卫,低楼层 (共7层),84.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,2023-08-07,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,户型周正，格局分布合理，空间感好，通透性强。,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。",1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
2796,方正大厦挑高5.4米婚装，两房两厅两厅拎包入住有暖气,56万,12445,钟楼区南大街,方正大厦,2室2厅1厨2卫,高楼层 (共13层),45㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,三梯三十五户,有,暂无数据,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,此房土地年限40年，通透格局，楼层好，视野宽，采光好。,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,契税3%，个税0.025%， 非居住宅算税，以实际成交价格，按评估价格实际计算。 房主自荐(业主对房源的描述),,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
2797,方正大厦，复式电梯房，5.4米的挑高,52万,10789,钟楼区南大街,方正大厦,1室1厅1厨1卫,中楼层 (共13层),48.2㎡,暂无数据,暂无数据,暂无数据,东,钢混结构,精装,三梯三十五户,有,暂无数据,2023-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,靠大润发边上方正大厦，复式电梯房，5.4米的挑高,,,离此房直线200米距离的怀德中路有B 2 路快速公交，东边50米有24路公交车站台，离地铁2号线怀德桥站出口也只有800米的距离，出行方便。,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
2798,邮电公寓边户，二楼，位置佳，有钥匙,102万,11744,钟楼区南大街,邮电公寓,2室1厅1厨1卫,低楼层 (共6层),86.86㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,位置佳，楼层好，边户三面采光，明厨明卫,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,
2799,交通便利  位置佳  采光透亮,140万,21075,钟楼区南大街,凯悦中心花园,2室1厅1厨1卫,高楼层 (共32层),66.43㎡,暂无数据,49.47㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-28,商品房,2022-08-17,普通住宅,未满两年,共有,有抵押,已上传房本照片,,,交通便利、菜市场、公交车站、大小商场、生活比较方便,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1",,户型方正，格局分布合理， 楼层佳，朝向南，采光透亮，使用率高。,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,,,,,,,,
2800,南广场九州玺 三开间朝南 户型方正 中间楼层 有车位,420万,41177,天宁区南大街,南广场花园西,3室2厅1厨2卫,高楼层 (共34层),102㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,南广场九州玺 三开间朝南 户型方正 中间楼层 有车位.,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2801,新上新上 东头村 两房空置 房东有两套随便卖,140万,26556,钟楼区南大街,东头村,2室1厅1厨1卫,中楼层 (共7层),52.72㎡,暂无数据,暂无数据,板楼,东南,砖混结构,简装,暂无数据,无,暂无数据,2023-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,房东诚心出售，看房方便，提前预约,小区建成于1987年，70年产权住宅，银行，商场，菜场都在1公里内，生活配套便利，交通方便,1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％；二套： 90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：个税1%。产证满五年而且是唯一套住房，免收个税,小区位于吊桥路85号，距离南大街地铁4号口（2号线）步行1.1公里，距离同济桥地铁站（1号线）步行2.5公里左右。配套的公交线路有：25路，55路，219路，23路，42路，52路，56路，205路，210路，220路，距离东头村公交站大概200米左右，小区出行还是比较方便的,,,,,,,,,,
2802,简单装修    随时看房    有小三房,70万,10018,钟楼区南大街,普济街小区,2室1厅1厨1卫,高楼层 (共6层),69.88㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,2024-03-16,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,精装房基本全新，配套齐全。拎包入住。....,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
2803,此房通透，采光好，户型方正，无抵押，适合陪读,190万,26989,钟楼区南大街,荷花池公寓,2室1厅1厨1卫,中楼层 (共5层),70.4㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-28,商品房,2022-07-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,此房通透，采光好，户型方正，无抵押，适合陪读,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,有医院，吾悦国际，新世纪商场，银行，酒店等配套齐全，公交出行方便,售房原因：房主置换房子，满五非唯一，诚心卖，看房方便。。。。。。。,,,,,,,
2804,急售凯悦中心花园精装，户型方正，明厨明卫。,165万,18334,钟楼区南大街,凯悦中心花园,2室2厅1厨1卫,低楼层 (共33层),90㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,凯悦花园精装房，配套齐全，保养新，拎包入住。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
2805,业主诚意出，通风好，两房朝南生活便利，,114.8万,27019,钟楼区南大街,硝皮尖,1室1厅1厨1卫,中楼层 (共6层),42.49㎡,暂无数据,42.49㎡,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-12,商品房,2023-09-04,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,业主诚意出，通风好，两房朝南生活便利，,,1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％；二套： 90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：个税1%。产证满五年而且是唯一套住房，免收个税。,,,硝皮尖，位于青山桥逸，生活设施，银行，农贸菜场，小吃店，快捷酒店，多线路公交线路，配套齐全。,空置房产变现，多余资产卖了改善生活。房东诚意出售，随时签约。,,,,,,,
2806,急售运河天地开发商全新精装，中高层，有钥匙,52万,9528,钟楼区南大街,运河天地,1室1厅1厨1卫,高楼层 (共25层),54.58㎡,暂无数据,暂无数据,板塔结合,西,钢混结构,精装,四梯三十六户,有,暂无数据,2023-07-31,商品房,暂无数据,商业办公类,暂无数据,非共有,无抵押,未上传房本照片,,,楼层好，采光佳，户型方正，看房方便，房东诚心出售,,契税首套房，90平米以下成交价的1％，90平米以上成交价的1.5％二套房90平以上成交价的2%2、增值税产证满2年免收增值税未满2年征收5.6％3、个税产证满五年名下唯一的可以免个税未满5年的成交价的1%,到吾悦国际300米，到兰园100米，到长江路500米。到一号地铁站口500米,,运河天地自带商，业综合体，有菜场，银行，餐饮等配套齐全。到九洲新世界300米,,,,,,未知,未知,2.73元/m3
2807,吴家场公寓 2室1厅 南,145万,22579,钟楼区南大街,吴家场公寓,2室1厅1厨1卫,高楼层 (共6层),64.22㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-26,商品房,2022-08-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
2808,新上中山路，空置好楼层，地铁1号线博爱路站,208万,27547,天宁区南大街,中山路,2室2厅1厨1卫,中楼层 (共5层),75.51㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-06-14,商品房,2023-06-09,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,新上中山路，空置好楼层，地铁1号线博爱路站,,,距火车站800米！地铁一号。二号线交汇点100米！还有BRT等多路公交线路！出行方便,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2809,南广场九州玺 精装修 红梅公园旁 看房方便,280万,49123,天宁区南大街,南广场花园西,2室1厅1厨1卫,高楼层 (共21层),57㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,三梯五户,有,暂无数据,2023-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,南广场九州玺 精装修 红梅公园旁  地铁一号线 生活配套齐全,,"税费解析：1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,售房详情：房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2810,香江华庭精装两房 成熟社区 配套齐全  欢迎咨询,158万,16543,钟楼区南大街,香江华廷花园,2室2厅1厨1卫,低楼层 (共10层),95.51㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,香江华庭精装两房 成熟社区 配套齐全 业主诚售 欢迎咨询,小区品牌物业，管理好，保安日夜巡逻，安保可靠，绿化很好，有健身器材，活动场地。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年名下唯一的住宅，可以免个税，未满5年的成交价的1%",,,大润发，联华、好又多大卖场、家家爱家具装饰城 中国银行、工商银行、农业银行、交通银行、建设银行、会馆浜菜场,,,,,,,,
2811,晋陵文锦 无遮挡 全天采光 纯毛坯,200万,22772,钟楼区南大街,晋陵文锦,2室2厅1厨1卫,中楼层 (共34层),87.83㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,北郊旁 视野开阔，采光充足，小区环境好,,,,新房商品房高，毛坯2房，户型经典，利用率高 楼层，无遮挡采光好，,近北郊，位置好，近BRT，公交车站，离市里地铁站近，出行方便,,,人文环境好，适合老人养老，做婚房，适合大家庭居住，安全性高。,,,,,
2812,小区中间位置，楼间距大，采光很好，诚心出售,158万,17421,钟楼区南大街,香江华廷花园,2室1厅1厨1卫,低楼层 (共22层),90.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,小区中间位置，楼间距大，采光很好，诚心出售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",出行方便，门口有brt，公交车可以直达吾悦广场，莱蒙都会街，有共享单车。,,四周配套齐全，有大润发，吾悦国际，南大街，金鹰再建中，公交出行有普通公交，,,,,,,,,
2813,南广场九州玺 三开间朝南 户型方正 好楼层,360万,39139,天宁区南大街,南广场花园西,2室2厅1厨1卫,低楼层 (共34层),91.98㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,2022-03-11,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,南广场九州玺 三开间朝南 户型方正 好楼层,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,房子空置，户型方正，业主现诚心出售，证件齐，手续全，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2814,天王堂新寓精装一室一厅朝南家电家具全,140万,35000,钟楼区南大街,天王堂新寓,1室1厅1厨1卫,中楼层 (共20层),40㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2022-07-07,商品房,2017-01-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,满二，朝南，精装一室一厅，北郊，没小孩读书,天王堂新寓，地处青山桥。封闭式小区，小区里有花园，小桥流水，美不胜收。物业管理好，物业费低0.60元/平。,,,,到北郊300米。到八角井菜场50米。到口腔医院50米，到医院500米。到火车站800米。,,产权清晰，无抵押，无贷款。房东诚意出售，随时签约。北郊，没小孩读书。,,,,,,
2815,莱蒙都会沿街旺铺层高4米有稳定租客直接收租原价出售,285万,50062,钟楼区南大街,双子星座公寓,1室0厅0厨0卫,低楼层 (共1层),56.93㎡,暂无数据,35.06㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-15,商品房,2010-04-23,商业,暂无数据,共有,无抵押,已上传房本照片,,,莱蒙都会沿街旺铺层高4米有稳定租客可直接收租原价出售,,契税3个点，个税和增值税算税，按评估公司评估价格减成本价来计算。,,,市区繁华地段，交通四通八达，百货大楼，泰富，新世纪商城，美食街3个，都在百米距离之内。,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户。,,,,,,,
2816,清潭院街 1室1厅 南,78万,17560,钟楼区南大街,清潭院街,1室1厅1厨1卫,低楼层 (共15层),44.42㎡,暂无数据,暂无数据,塔楼,南,框架结构,精装,两梯十六户,有,暂无数据,2023-03-20,商品房,2020-06-19,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
2817,房东诚心出售小面积低总价精装修拎包入住,338万,81940,钟楼区南大街,京城豪苑北区,1室1厅1厨1卫,高楼层 (共9层),41.25㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三十五户,有,暂无数据,2021-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房楼层好，采光好，空置总价低，交通便利设施齐全,,此房为商品房 交易时需缴纳契税小于90平米：首套：1%。 二套：1%。三套3% 。个税：1%。,,,"1、 环境优美，物业好， ！
2、 经典户型，采光好，稀有房源！
3、 配套设施齐全，成熟社区！",,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
2818,新上 公园大厦复式毛坏 诚心出售外地资产,36.2万,8845,钟楼区南大街,公园大厦,1室1厅1厨1卫,低楼层 (共31层),40.93㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,毛坯,两梯二十六户,有,暂无数据,2023-08-31,商品房,2023-08-31,普通住宅,未满两年,非共有,无抵押,已上传房本照片,,,青果巷旁 复式民用水电有天然气 北楼 毛坯 看房方便,公园大厦的北楼，产权是40年的，生活成本是按照民用的，有天然气，民用水电，复式调高的，实际使用面积大,,,此房户型方正，采光充足位置好，闹中取静，出入方便 ，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,生活设施齐 银行 supermarket 菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,
