,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
190,文鑫苑 3室2厅 南,95万,9794,新北区璜土,文鑫苑,3室2厅1厨1卫,低楼层 (共34层),97㎡,暂无数据,暂无数据,板楼,南,砖混结构,毛坯,两梯四户,有,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,
191,五洲国际旁  龙城福第纯毛坯两房 好楼层 视野好,66万,7918,新北区璜土,龙城福第,2室1厅1厨1卫,高楼层 (共32层),83.36㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区位置方便 交通便利 房子好楼层 户型好 视野棒,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%,小区交通方便 出门公交车站 生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便,,,,纯毛坯 业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,
192,金梅林花园精装修三房另带储藏室，房东诚心出售,97万,8435,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共11层),115㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-11-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元 业主自还,未上传房本照片,金梅林花园精装修三房另带储藏室，房东诚心出售,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
193,近龙虎塘，五洲国际对，面纯毛坯住宅诚意出售,75万,7673,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共18层),97.75㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,临环球港，五洲国际，户型方正，采光好,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,纯住宅房社区，比较适合在附 近上班而且购房预算不是很高的一类人群，出行方便，配套齐全，民生保障完善,,本居是纯毛坯，适合新业主个性化的装修设计，可以拓展更大的空间,,,
194,龙城福第 纯毛坯大三房 户型方正 诚心出售,108万,8948,新北区璜土,龙城福第,3室2厅1厨2卫,中楼层 (共18层),120.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%..,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,纯毛坯  业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,
195,龙城福第 93平方 精装修 110万出租中,90万,9678,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共18层),93㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙城福第，精装修，两室两厅一卫，楼层好，采光佳，交通便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，契税为：1%。90㎡以上契税：1.5%。 二套房90㎡及以下依旧：1%，若90㎡以上将2%。三套房不论面积大小契税均按照3%,近有五洲国际商场，春潮购物广场，小湖市场，基本的生活设施都有。,,小区龙城福第，属于江阴产权，和常州一路之隔，地理位置优越，交通便利,,,,,,
196,龙城福第 54平方 精装 70年产权 看房方便,53万,9815,新北区璜土,龙城福第,1室2厅1厨1卫,中楼层 (共18层),54㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区位置安静 房子精装修 户型好 看房随时,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,,
197,毛胚房 户型方正  位置佳  楼层好,88万,7861,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共28层),111.95㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2024-01-22,商品房,2021-07-12,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
198,龙城福第，小户型，毛坯房，看房方便,69万,8384,新北区璜土,龙城福第,2室1厅1厨1卫,高楼层 (共33层),82.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-28,商品房,2020-03-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好通透性强。,,基本设施齐全，银行菜场商场饮食公交地铁近在咫尺，起居很方便。,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,龙虎塘旁，业主因换城市发展此房，用不到此房，诚心出售热情接待看房。,,,,
199,百兴澜庭 三房两卫 好楼层 有钥匙看房方便,108万,9558,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,中楼层 (共33层),113㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境好 位置安静 房子通风好 采光好 居住舒适,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交  近在咫尺 生活起居很方便,,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户。,,,,
200,中间楼层，采光好，房东诚心 价格好谈，看房提前约,93万,8338,新北区璜土,龙城福第,3室2厅1厨1卫,高楼层 (共24层),111.54㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
201,户型周正，格局分布合理，空间感好 居住舒适,78万,8211,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共18层),95㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
202,中间楼层，采光好，房东诚心 价格好谈，看房提前约,53.8万,9963,新北区璜土,龙城福第,1室1厅1厨1卫,高楼层 (共33层),54㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
203,好楼层  房东诚心出售   价格好谈,82万,9214,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共24层),89㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
204,中间楼层 采光好 房东诚心 出售  价格好谈 看房提前约,80万,8603,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共18层),93㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
205,金美林花园南区毛坯四房 配套齐全急售  看房有钥匙,95万,6932,新北区璜土,金美林花园,4室2厅1厨2卫,高楼层 (共11层),137.06㎡,暂无数据,暂无数据,板塔结合,南 西南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-13,商品房,2017-06-30,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,房东急售 ，价格可谈 小高层，采光无遮挡，房东诚心.,存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%。,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利,,,此房总价比较低，很适合首付不够，总房价预算低的，适合一家三代人居住,,,,,
206,龙城福第 2室2厅 南,70万,8506,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共33层),82.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-02-29,商品房,2021-03-26,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,
207,单价便宜  中间楼层  采光刺眼,80万,8000,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共33层),100㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
208,单价便宜  中间楼层  采光刺眼,85万,7523,新北区璜土,龙城福第,3室2厅1厨1卫,高楼层 (共18层),113㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正格局分布合理空间感好通透性强居住舒适,契税首套房，90平米以下成交价的1，90平米以上成交价的1.5二套房90平以上成交价的22增值税产证满2年免收增值税未满2年征收5.63个税产证满五年而且是一套住房免收个税未满5年成交价的1,生活设施齐全银行菜场商场饮食公交地铁近在咫尺生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
209,百兴澜庭 联排别墅 户型好 位置安静 看房方便,320万,13914,新北区璜土,碧桂园百兴澜庭,4室1厅1厨3卫,低楼层 (共3层),230㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2024-02-29,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,小区位置安静 房子联排别墅 户型好 配套全 生活方便,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",生活设施齐全  菜场 商场 饮食 公交 近在咫尺 生活起居很方便,,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，有钥匙看房方便,,,暂无数据,
210,米兰阳光三房 房东诚心卖 随时可以看房,90万,7982,新北区璜土,米兰阳光花苑,3室2厅1厨1卫,高楼层 (共6层),112.76㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
211,中间楼层 采光好 房东诚心 出售 价格好谈 看房提前约,90万,9575,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共18层),94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
212,中间楼层，采光好，房东诚心 出售，价格好谈，看房,73万,8796,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共33层),83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
213,单价便宜  中间楼层  采光刺眼,80万,8000,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共33层),100㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
214,百兴澜庭 联排别墅 户型好 位置安静 看房方便,320万,13914,新北区璜土,碧桂园百兴澜庭,4室1厅1厨3卫,低楼层 (共3层),230㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2024-02-29,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,小区位置安静 房子联排别墅 户型好 配套全 生活方便,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",生活设施齐全  菜场 商场 饮食 公交 近在咫尺 生活起居很方便,,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，有钥匙看房方便,,,暂无数据,
215,精装修   好楼层  房东诚心出售   价格好谈,80万,8248,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共28层),97㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
216,房子是房东自己 装修的 真材实料 保养的好，诚心出售,89万,10723,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共33层),83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
217,单价便宜  中间楼层  采光刺眼  拎包入住,145万,11984,新北区璜土,龙城福第,4室2厅1厨1卫,高楼层 (共6层),121㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 建设银行 客户偿还,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
218,米兰阳光 精装2房 户型舒适 看房随时,65万,6785,新北区璜土,米兰阳光花苑,2室2厅1厨1卫,中楼层 (共15层),95.8㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房精装2房，通透敞亮，全天采光，有钥匙房东诚心卖,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,业主房子用不到，忍痛熙售，房东人很友好、热情，成熟小区管理，生活便利，随时签约，,,,,
219,米兰阳光花苑 3室1厅 南,120万,10345,新北区璜土,米兰阳光花苑,3室1厅1厨1卫,中楼层 (共16层),116㎡,平层,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,
220,纯毛坯  中间楼层  采光刺眼 房东急售,85万,7025,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共27层),121㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
221,中间楼层，采光好，房东诚心 价格好谈，看房提前约,105万,12651,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共33层),83㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
222,文鑫苑 3室2厅 南,63万,6518,新北区璜土,文鑫苑,3室2厅1厨1卫,高楼层 (共30层),96.67㎡,暂无数据,暂无数据,平房,南,钢混结构,毛坯,三梯六户,有,暂无数据,2024-03-05,商品房,2020-08-17,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,
223,龙城福第双拼别墅 320.27平方 毛坯 大花园,608万,18984,新北区璜土,龙城福第,4室2厅1厨3卫,低楼层 (共2层),320.27㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2024-03-08,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,暂无数据,
224,纯毛坯   好楼层  房东诚心出售   价格好谈,80万,8248,新北区璜土,龙城福第,2室2厅1厨1卫,低楼层 (共9层),97㎡,暂无数据,暂无数据,塔楼,南,未知结构,毛坯,一梯两户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
225,龙城福第 120.74平方 毛坯 东边户 位置好,82万,6792,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共18层),120.74㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,2020-04-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,,
226,碧桂园纯毛坯三房  有钥匙看房方便,80万,8360,新北区璜土,碧桂园百兴澜庭,3室2厅1厨1卫,高楼层 (共33层),95.7㎡,暂无数据,暂无数据,板楼,东,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区新 绿化高 房子南北通风好 楼层好,房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%,小区出行方便 交通便利 生活舒适 出小区就有菜场和商场 很有生活气息,生活设施齐全 ，银行 菜场 商场 饮食 公交 地铁 近在咫尺， 生活起居很方便,,,,,,,
