,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
677,正衡旁锦凤合鸣毛坯三房，看房方便的，有钥匙,298万,21439,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共11层),139㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正价格可谈房东诚售，客厅开间很大,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
678,正衡旁锦凤合鸣毛坯大三房，洋房，看房方便的，有钥匙,250万,17986,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,高楼层 (共11层),139㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,采光没有遮挡户型方正价格可谈房东诚售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
679,竹韵名苑 3室2厅 南,165万,12693,天宁区雕庄,竹韵名苑,3室2厅1厨2卫,高楼层 (共20层),130㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
680,靠正衡学府！锦凤合鸣小区临凤凰公园！弘阳广场,267万,20553,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,高楼层 (共9层),129.91㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明格局，生活交通配套便利，户型方正，采光充足，看房方便,1.小区生活设施齐，商场、菜市场等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
681,新上好房房东诚心出售！！！！！！,123万,12840,经开区雕庄,锦艺旭辉·都会江来,3室2厅1厨1卫,高楼层 (共27层),95.8㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区背考运河 商圈完善，适合居住和生活.,,一、契税 1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。 2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。 3）三套一律按3%缴纳契税。,遥观大润发 出门紧靠公园，运河边风景采光很好，小区是绿城物业,,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利,,,,,,
682,采光无遮挡户型方正价格可谈房东诚售,205万,17827,天宁区雕庄,锦凤合鸣,3室2厅1厨2卫,中楼层 (共27层),115㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光无遮挡户型方正价格可谈房东诚售,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,
683,高楼层，采光充足，观景舒适、房东诚心出售,150万,14901,天宁区雕庄,水岸花语,3室2厅1厨1卫,高楼层 (共34层),100.67㎡,暂无数据,75.38㎡,板塔结合,南,钢混结构,精装,三梯三户,有,暂无数据,2023-04-10,商品房,2023-05-29,普通住宅,未满两年,非共有,无抵押,已上传房本照片,高楼层，采光充足，观景舒适、房东诚心出售,,此房满五，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,,
684,锦凤合鸣毛坯三房 洋房 房东诚心出售 看中价格可谈,197万,17086,天宁区雕庄,锦凤合鸣,3室2厅1厨2卫,中楼层 (共27层),115.3㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,锦凤合鸣毛坯三房 洋房 房东诚心出售 看中价格可谈,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,"：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,
685,采光无遮挡户型方正价格可谈房东诚售,153万,15723,天宁区雕庄,锦凤合鸣,3室2厅1厨1卫,高楼层 (共26层),97.31㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,2022-10-19,普通住宅,未满两年,共有,有抵押,已上传房本照片,采光无遮挡户型方正价格可谈房东诚售,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,
686,采光无遮挡户型方正价格可谈房东诚售,219万,16847,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共9层),130㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,采光无遮挡户型方正价格可谈房东诚售,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,
687,毛坯，户型方正 三开间朝南 ，阳光从早晒到晚。,160万,17780,天宁区雕庄,中海凤凰熙岸,3室2厅1厨1卫,中楼层 (共34层),89.99㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,十二梯四户,有,暂无数据,2023-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 35万元 客户偿还,未上传房本照片,毛坯，户型方正 三开间朝南 ，阳光从早晒到晚。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，有钥匙随时看房的,,,,,,,,
688,中海铂悦公馆 底复 带花园  交付未入住 随时看房,400万,24243,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),165㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯两户,有,暂无数据,2023-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房四开间朝南 动静分离 有花园 有地下室 房东诚心出售,小区总高17层，楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",优质天宁板块内中吴大道旁 购物就在家门口 局小分校区 正衡 配套齐全，资源充足,,,,,,,,,
689,锦凤合鸣 楼层好 业主诚心出售 随时看房,200万,17392,天宁区雕庄,锦凤合鸣,3室2厅1厨2卫,高楼层 (共27层),115㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,锦凤合鸣 楼层好 业主诚心出售 随时看房,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足，建有地上停车场和地下车库,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,
690,锦凤合鸣洋房130平楼层好毛坯,234万,17919,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共9层),130.59㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区生活设施齐，商场、菜市场、银行等，交通便捷； 小区内有健身器材，小型篮球场，可供小区居民使用； 小区内停车位充足,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,南边就是中吴大道有公交，很方便。楼下有共享单车。东边大概1公里就是高价入口，出行还是很方便的,,,,,,022428243510,采光无遮挡户型方正价格可谈房东诚售,,,
691,和山三室两房，房东诚心出售，采光好楼层佳。,210万,19627,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,中楼层 (共11层),107㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，采光充足，观景舒适，楼层好,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
692,新城物业，璞樾和山中间楼层，毛坯，诚意出,295万,20659,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),142.8㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中间楼层。采光没影响。有钥匙 可随时看房。,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格见面谈。,,,,,,,,
693,新城招商·璞樾和山 4室2厅 南,330万,19187,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),172㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,
694,全天采光 中间楼层 有钥匙随时看房 诚心出售,250万,17483,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),143㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 业主自还,未上传房本照片,全天采光 中间楼层 有钥匙随时看房 诚心出售,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
695,朝阳花园简装三房 业主诚心出售 随时看房,89万,9896,天宁区雕庄,朝阳花园,3室2厅1厨1卫,中楼层 (共5层),89.94㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-10-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房简装，楼层好，小区地理位置优越，生活交通便利.,小区生活实施齐全，商场，，菜市场，银行等。 生活方便，交通便捷，小区环境优美，配套诚熟。,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,雕庄菜市场，凤凰公园，蔷薇公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应,,,,,,,,,
696,正衡未用！好楼层衡麓世家好位置！靠学v校！儿童医院,170万,17599,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨1卫,低楼层 (共20层),96.6㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-02,商品房,2023-04-04,普通住宅,未满两年,非共有,无抵押,已上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
697,全天采光 中间楼层 有钥匙随时看房 诚心出售,275万,15661,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨2卫,低楼层 (共18层),175.6㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全天采光 中间楼层 有钥匙随时看房 诚心出售,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮 3.楼上楼下动静分离,,,,,
698,宽景大横厅 毛坯3房2卫 楼层好采光佳 有钥匙,220万,17188,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,中楼层 (共18层),128㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 150万元 客户偿还,未上传房本照片,宽景大横厅 毛坯3房2卫 楼层好采光佳 有钥匙,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析1、契税:首套房，90平方以下的首套跟二套都是1%，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税，; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",,,,,1、三开间朝南，户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
699,新城璞樾和山！古运河景观带！跃层毛坯好户型！,234万,16683,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),140.27㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻 税费解析,"首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
700,正衡旁锦凤合鸣毛坯大三房洋房，看房方便的，有钥匙！,248万,17840,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共11层),139.02㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,客厅开间大户型方正价格可谈房东诚k,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
701,璞樾和山 此房毛坯交付 未入住 得房率高 户型方正,350万,20213,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),173.16㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房毛坯交付 未入住 三开间朝南 实用面积大 得房率高 户型方正,小区是本土房地产新城控股开发 自带公园景观，北向运河景观带 绿化环境很好 安静静谧 适合居住 分布了好几个儿童游乐区，门口生活便利店也很多，居住舒适。新城物业给您品质的享受！,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄 凤凰世纪广场 儿童医院 菜市场,,,,,,,,,
702,新城璞樾和山  毛坯跃层 诚心出售,280万,19311,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),145㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子楼层好 上下跃层复式 得房率高 多享面积多 一梯一户,小区是本土房地产新城控股开发 自带公园景观，北向运河景观带 绿化环境很好 安静静谧 适合居住 分布了好几个儿童游乐区，门口生活便利店也很多，居住舒适。新城物业给您品质的享受！,,综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄 凤凰世纪广场 儿童医院 菜市场,业主现诚心出售，证件齐，欢迎看房，随时恭候 看房方便有钥匙 看中好商量,,,,,,,,
703,格局好，采光好，户型方正 ，配套全，交通便利。,162万,14274,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,中楼层 (共34层),113.5㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区环境优美，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应，还有在建的华润万象城，地铁一号线,,,,,,,,,
704,凤凰公园旁锦凤和鸣次新小区户型方正三房双阳台采光好,195万,14886,天宁区雕庄,锦凤合鸣,3室2厅1厨2卫,中楼层 (共27层),131㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正 三开间朝南 双阳台 业主诚心出售,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
705,金科中梁衡麓世家 3室2厅 南,185万,19024,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨1卫,中楼层 (共20层),97.25㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
706,南北通风格局、 可用面积增多 ，采光好，交通便利,200万,18090,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨2卫,低楼层 (共20层),110.56㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-14,商品房,2021-10-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南北通风格局、 可用面积增多 ，采光好，交通便利,小区纯小高层，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,,,,,,,
707,此房格局通透，户型方正，阳光充足，居住舒适,90万,10000,经开区雕庄,福成上城,2室2厅1厨1卫,低楼层 (共30层),90㎡,暂无数据,90㎡,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-03,商品房,2020-11-13,普通住宅,满两年,非共有,无抵押,已上传房本照片,此房格局通透，户型方正，阳光充足，居住舒适,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,,
708,福成上成104平3房，生活方便。,118万,11347,经开区雕庄,福成上城,3室2厅1厨1卫,低楼层 (共33层),104㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-11,商品房,2021-04-13,普通住宅,满两年,共有,无抵押,已上传房本照片,此小区配套齐全有菜场，物业品质有保障。,,"一、契税

1）如果是首套房，且住宅面积不大于90㎡的，契税缴纳比例1%；住宅面积大于90㎡，契税缴纳为1.5%。

2）如果是二套房，且住宅面积不大于90㎡，契税为1%；大于90㎡，契税为2%。

3）三套一律按3%缴纳契税。",,,,有城市环保自行车、多方向的公交车，很多主路，咱们出行都很便利 房主自荐(业主对房源的描述),,,,,该房源配套齐全，有菜场小区内停车方便有新能源充电桩。邻里关系融洽治安好，适合上班族。,
