,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
2950,户型方正楼层好，诚意出售随时看房，成熟小区配套齐全,125万,14265,新北区三井,玉龙湾花园,2室2厅1厨1卫,中楼层 (共8层),87.63㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正楼层好，诚意出售随时看房，成熟小区配套齐全,小区环境优美，舒适安静，物业好，价格便宜还服务好，是很适合居住。,,,,,幼儿园: 三之三双语幼儿园、大风车幼儿园、阿兰贝尔国际幼儿园 医院: 华山医院、三井医院、武进医院银行,,玉龙湾花园位于飞龙居住区东南角，西侧为飞龙路，距金色新城直线距离1.7公里，45路、43路等公交车经过,,,,,,,
2951,美式田园风格，房东自住精致装修，面积紧凑,152万,26321,新北区三井,新城府翰苑西区,1室1厅1厨1卫,高楼层 (共17层),57.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-09-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,南北通风 采光都不错 新北万达边上 商圈边衣食住行都有,,,,适合个人自住 精致美式装修 很多原木风格的设计， 采光通风都不错，尤其适合女孩子居住,房间和客厅朝南，采光很好，中高楼层，南向无遮挡，进门左手边是半开放式厨房，田园风格,,,交通出行方便 商圈边上 衣食住行都有 新北万达边上 可以直接走路到万达 丰臣国际,,,,,,,
2952,高楼层 采光视野好 房东急售 产权清晰 随时交易,120万,17565,新北区三井,大名城西区,2室1厅1厨1卫,高楼层 (共33层),68.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高楼层 采光视野好 房东急售 产权清晰 随时交易,小区新北飞龙吾悦旁，绿化好，人车分流，楼间距大，整体采光，飞龙中 小 学，公交，菜场，大型综合体,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同！,,,旁边就是体育公园，飞龙中 小 学，公交，菜场，大型综合体，小区新北飞龙吾悦旁，绿化好，人车分流，楼间距大,,,,,,,,,
2953,吾悦旁，精装两房，看房方便，诚心出售,125万,13632,新北区三井,飞龙新苑,2室1厅1厨1卫,高楼层 (共18层),91.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,干净整洁，小区中间位置，中高层，全天采光好设施齐全,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。, 2，小区成熟，购物交通便利，上学近，步行就可到达 3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层位置不影响采光， 3，2个卧室朝南，客厅带阳台显客厅宽敞 4，全屋主功能间都带有窗户，明厨明卫，更响亮。,距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便 小区门口自带中型生活市场,,,,,,,,,
2954,绿都万和城，玉龙湾旁金地格林郡2室出售,142万,18129,新北区三井,金地格林郡,2室1厅1厨1卫,高楼层 (共26层),78.33㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
2955,小高层户型好，得房率高业主诚心出售,135万,16266,新北区三井,飞龙新苑,2室2厅1厨1卫,中楼层 (共18层),83㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层户型好，得房率高业主诚心出售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，无抵押 房源真实，业主诚心出售，看房方便，过户全程陪同,,,,业主现诚心出售，证件齐，产权清晰，欢迎看房，看房方便，随时恭候,,,,,,,,
2956,好房诚售！飞龙新苑精装修2房 户型方正 采光好 满两年,125万,14391,新北区三井,飞龙新苑,2室2厅1厨1卫,中楼层 (共24层),86.86㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,暂无数据,2023-06-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 3万元,未上传房本照片,新市府飞龙吾悦万和城旁，飞龙新苑，位置好中间装修好,,首套房90平以下1％、90平以上1.5％； 2、 二套房90平以下1％、90平以上2％； 3、 三套房不论面积统一3％. 4、个税：满二年不满5年1％,,,房源位于小区内，全天采光，视野无遮挡。 2、户型方正、朝南采光好 3、此房源为本小区为数不多的好房，产权明晰,小区生活设施齐全，各大银行、市场、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房间每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点。,,,,,,,,,
2957,大名城北区 毛坯两室 房东急售 看房方便  价格可谈,120万,13484,新北区三井,大名城北区,2室2厅1厨1卫,低楼层 (共29层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼栋位置好，楼层好，，房东诚心出售，价格可谈,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,"：
小区门口自带中型生活市，烟酒店等，小区南边是耶鲁双语幼儿园和飞龙实验小 学和飞龙实验中 学，新北吾悦广场，往东太湖路上有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等",,小区出门向南200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,,,,,
2958,新城府翰苑，好房源，好地段，不要错过哦,50万,8348,新北区三井,新城府翰苑东区,1室1厅1厨1卫,中楼层 (共8层),59.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五十七户,有,暂无数据,2022-07-29,商品房,2022-07-29,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房常发广场旁 府翰苑环境优雅，配套成熟，交通便利。,,契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,"：
配套成熟，常发广场旁 府翰苑环境优雅，交通便利，居住舒适。适合各界人士居住",,,,东边晋陵路100米左右，西边通江中路，BRT200米左右，地铁1号线400米，畅达全城,,,,,,,
2959,新城府翰苑东区四间打通的朝南工作室诚心出售,300万,12500,新北区三井,新城府翰苑东区,4室0厅0厨0卫,中楼层 (共8层),240㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四十一户,有,暂无数据,2021-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足.交通便利.配套齐全,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
2960,绿都万和城，大名城旁，玉龙湾1室出售,86万,12704,新北区三井,玉龙湾花园,1室2厅1厨1卫,低楼层 (共17层),67.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
2961,房东诚售，提前约方便看房，欢迎咨询,45万,9000,新北区三井,新城府翰苑东区,1室1厅1厨1卫,中楼层 (共8层),50㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯五十七户,有,暂无数据,2022-02-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚售，提前约方便看房，欢迎咨询,小区环境优美 配套成熟 交通便利 居住舒适 人文素养好 乐于助人 相处和谐,,目前房子没有抵押，可以直接交易，房东诚心出售，提前联系， 方便看房,,,有地铁、公交，河海菜场也离得近，到新北万达一公里，万达南边还有三井医院,,,,,,,,,
2962,银河湾第一城二期  两房 房东诚心出售,90万,14063,新北区三井,银河湾第一城二期,2室2厅1厨1卫,中楼层 (共18层),64㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2022-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,公园旁，通透边户，两房，好楼层，精装修，全天采光，拎包入.,,契税：首套房1.5%，二套房2%，三套房3%，个税1% 契税：首套房1.5%，二套房2%，三套房3%，个税1%,,小区环境优雅，配套成熟，交通便利，居住舒适 老少皆宜。小夫妻,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利商店，生活用品及买菜十分便利，生活轻松,,,,,,,,,
2963,天山花园  精装修  位置佳 视野开阔 关键装修好,135万,14424,新北区三井,天山花园,2室2厅1厨1卫,中楼层 (共21层),93.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 95万，,未上传房本照片,小区环境环境优美，绿化丰盛，适合居住，,,"： 契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便，多条公交路线 小区门口自带中型生活市场常，多种品牌小吃，购物和生活都.,,小区北门有商场，方便业主日常生活，小孩上学比较方便，公交有98路，111路，1111路多条公交路线，小区门口还有共享单车,,,,,,,
2964,新城府翰苑东区精装小公寓带租约出售业主诚心卖,39万,7734,新北区三井,新城府翰苑东区,1室1厅1厨1卫,中楼层 (共8层),50.43㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯五十七户,有,暂无数据,2022-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,晋陵路主干道，楼下就有共享单车，走几百米可以到地铁1号线奥体站，上高架方便。,,,,,,,
2965,飞龙吾悦旁，大名城西区西边户，不靠高架，环境好,118万,17102,新北区三井,大名城西区,2室1厅1厨1卫,高楼层 (共33层),69㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,飞龙吾悦旁，大名城西区西边户，不靠高架，环境好,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下,,,,,,,
2966,飞龙万和城七区  新装修 价格可谈 诚售,170万,14783,新北区三井,绿都万和城七区,2室2厅1厨2卫,低楼层 (共27层),115㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税,业主现诚心出售，证件齐全，产权清晰，欢迎看房，随时恭候，看房提前联系,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
2967,飞龙银河湾 远离铁路  精装2房 随时看房,120万,14212,新北区三井,银河湾第一城一期,2室2厅1厨1卫,中楼层 (共26层),84.44㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,飞龙吾悦万和城旁，银一城一期，2房南全明装修,,二手房交易所需税费】 1、 首套房90M以下1％、90M以上1.5％； 2、 二套房90M以下1％、90M以上2％； 3、 三套房不论面积统一3％. 4、个税：满二年不满5年1％,,,1、本房源位于小区内，全天采光，视野无遮挡。 2、户型方正、朝南采光好 3、此房源为本小区为数不多的好房，产权明晰,小区区生活设施齐全各大银行市场菜场商场饮食近在咫尺生活方便，绿化面积大，楼间距开房间格局分明采光足使得房间每个角落都能享受阳光3地理位置优越交通便利出门就有公交站点,,,,,,,,,
2968,天山花园  不靠铁路  中高楼层  看房方便,110万,11858,新北区三井,天山花园,2室2厅1厨1卫,高楼层 (共24层),92.77㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-08-24,商品房,2023-11-28,普通住宅,未满两年,共有,无抵押,已上传房本照片,小区环境环境优美，绿化丰盛，适合居住,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,距离飞龙公园仅800米，距离飞龙吾悦直线距离仅1000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便，多条公交路线 小区门口自带中型生活市场常，多种品牌小吃，购物和生活都,,小区北门有商场，方便业主日常生活，小孩上学比较方便，公交有98路，111路，1111路多条公交路线，小区门口还有共享单车,,,,,,,
2969,雅居乐星河湾出售采光无忧，两套打通,46万,8519,新北区三井,雅居乐星河湾,1室1厅1厨1卫,中楼层 (共29层),54㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯二十四户,有,暂无数据,2023-03-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 百米楼间距,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,,,
2970,飞龙万和城七区  新装修 价格可谈 诚售,170万,14783,新北区三井,绿都万和城七区,2室2厅1厨2卫,低楼层 (共27层),115㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税,业主现诚心出售，证件齐全，产权清晰，欢迎看房，随时恭候，看房提前联系,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
2971,银河湾第一城二期  两房 房东诚心出售,90万,14063,新北区三井,银河湾第一城二期,2室2厅1厨1卫,中楼层 (共18层),64㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2022-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,公园旁，通透边户，两房，好楼层，精装修，全天采光，拎包入.,,契税：首套房1.5%，二套房2%，三套房3%，个税1% 契税：首套房1.5%，二套房2%，三套房3%，个税1%,,小区环境优雅，配套成熟，交通便利，居住舒适 老少皆宜。小夫妻,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利商店，生活用品及买菜十分便利，生活轻松,,,,,,,,,
2972,万达广场70年产权、民用水电气,80万,14376,新北区三井,新北万达广场,1室1厅1厨1卫,低楼层 (共31层),55.65㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2023-08-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,精装、朝南无设施、70年产权、民用水电气、满2年。,24小时安保、楼下就是万达广场综合体、70年产权住宅房、民用水电气。,此房面积是56平方米。契税；首套、第二套都是1%。第三套都是3%.、,,,,紧靠快速公交、中国银行、菜场、3公里到城市外环高架、高速公路。,,,,,,,,,
2973,此小区新 环境好 此房 楼层好,88万,18334,新北区三井,绿都万和城七区,1室1厅1厨1卫,中楼层 (共34层),48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2023-06-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此小区新 环境好 此房 楼层好,小区地理位置好，芳龄新，居民素质高 配套：有健身器材，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,亲和力爆棚的业主，诚心出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘,,,,,,,,
2974,新北万达金街，业主原购买价出售，两层，诚心买可谈价,360万,44478,新北区三井,新北万达广场,2室0厅0厨1卫,低楼层 (共2层),80.94㎡,跃层,暂无数据,板塔结合,西,钢混结构,简装,暂无数据,无,暂无数据,2021-07-10,商品房,暂无数据,商业,暂无数据,非共有,无抵押,未上传房本照片,此房位于万达金街的旺铺，两层，面宽3.8米，进深10.5米层高5米,,,,比较适合想要自己做生意或者想投稳定固定资产的朋友，欢迎各位老板实地勘察,,新北区繁华地段，人流量集中，汇聚各种美食，服装，是年轻人休闲的时候必经打卡的地方。,业主是企业主，实在没有时间精力搭理铺子，特原价出手，此房没有抵押，产权清晰。,,,,,,,,
2975,新城府翰苑东区 1室0厅 南,42万,7854,新北区三井,新城府翰苑东区,1室0厅1厨1卫,高楼层 (共8层),53.48㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四十一户,有,暂无数据,2023-05-03,商品房,暂无数据,商业,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2976,配套齐全 开发商精装修，配套设施齐全,75万,10136,天宁区红梅,常州融御华庭,1室2厅1厨1卫,高楼层 (共9层),74㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯二十八户,有,暂无数据,2021-11-02,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,配套齐全 开发商精装修，配套设施齐全,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6％； 
3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,通江中路 香缇湾旁 开发商精装 户型好，朝南，居住舒适， 中。央空调 小区安静舒适,,,小区安静优雅，环境优美，绿化较好，带有休闲设施，交通便利，出门道路宽敞，四通八达，不易拥堵，主干道，次主干道公交站台众多，多路公交车通往各处，出门金百广场，购物，餐饮方便。,,,,,民水,商电,
2977,楼层好，视野宽阔，配套设施齐全，交通便利的,58万,9263,新北区三井,新北万达广场,1室1厅1厨1卫,高楼层 (共27层),62.62㎡,平层,暂无数据,塔楼,北,钢混结构,精装,四梯二十四户,有,暂无数据,2022-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好，视野宽阔，配套设施齐全，交通便利的,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,生活配套齐全，医院，菜场，银行 都有，而且夜半风景优美，灯火通明赏心悦目，人流量很大，生活方便，，现场体验效果更加明显,,坐落在交通枢纽位置，各种交通皆为便利的，出门就有公共交通的···········,,,,,,,
2978,万达楼上，交通便利，购物方便，,56万,9181,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共31层),61㎡,平层,暂无数据,塔楼,北,钢混结构,简装,三梯二十四户,有,暂无数据,2022-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"新北万达广场外围小区林立,整体人流量大",品牌公寓，管家细微服务，大厅宽敞明亮、安保严谨、24小时执勤、保洁到位,,,,,新北万达广场楼下就有商场、银行、影院，吃喝玩乐一条街，医院、菜场近在咫尺,,新北万达广场处城市大动脉通江大道旁，楼下就是BRT公交站，多条公交线路，交通便利,,,,,,,
2979,大名城西区 精装修2房 户型方正采光好 满两年诚心卖！,115万,16833,新北区三井,大名城西区,2室2厅1厨1卫,低楼层 (共33层),68.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"卖点：
此房源户型方正，房东诚心出售可谈价，楼层不错光..",,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%","：
此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同",,,,"售房详情：
业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈",,,,,,,,
2980,新北万达广场精装朝南1室出售 民用电带燃气 欢迎看房,88万,15612,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共31层),56.37㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新北万达广场精装朝南1室出售 民用电带燃气 欢迎看房,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,此房产权清晰，房源真实，业主诚心出售，看房提前联系，过户全程陪同,,,生活配套齐全。医院，商场，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显,,,,,,,,,
2981,新北万达广场 高层采光好 精装拎包住,100万,17980,新北区三井,新北万达广场,1室0厅1厨1卫,高楼层 (共31层),55.62㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2023-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新北万达广场 高层采光好 精装拎包住,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便 高层采光好 精装拎包住,,,,,,,,,
2982,楼层好，视野宽阔，配套设施齐全，交通便利的,54万,8916,新北区三井,新北万达广场,1室1厅1厨1卫,高楼层 (共27层),60.57㎡,平层,暂无数据,塔楼,北,钢混结构,精装,四梯二十四户,有,暂无数据,2022-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好，视野宽阔，配套设施齐全，交通便利的,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,生活配套齐全，医院，菜场，银行 都有，而且夜半风景优美，灯火通明赏心悦目，人流量很大，生活方便，，现场体验效果更加明显,,坐落在交通枢纽位置，各种交通皆为便利的，出门就有公共交通的············,,,,,,,
2983,环境舒适，很适合居住，商场旁边，交通便利,65万,9891,新北区三井,新北万达广场,1室1厅1厨1卫,高楼层 (共26层),65.72㎡,平层,暂无数据,塔楼,西北,混合结构,简装,四梯二十四户,有,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新小区，绿化面积大，楼间距宽，格局分明采光好，,,该房2024.8月满2年，业主诚心出，可以直接过户，业主交5.3%z值税,此房无抵押，无贷款。有产证可交易。产权清晰，是房东共同共有产权,,,,,地铁2号线，，红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站！,,,,,,,
