,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
303,虹亚亲亲家园 3室2厅 南,152.8万,12629,金坛区西城街道,虹亚亲亲家园,3室2厅1厨2卫,低楼层 (共18层),121㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-08-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,暂无数据,板塔结合,两梯四户,有,,,,,,,
304,房东人很热情，诚意出售，静待有缘人,55.8万,6066,金坛区西城街道,金城镇元巷小区,2室2厅1厨1卫,高楼层 (共11层),92㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,,,,,,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利
305,房子两室 房东自住，诚心出售，看房提前联系,46万,4694,金坛区西城街道,春风二村,2室2厅1厨1卫,高楼层 (共5层),98㎡,暂无数据,南,砖混结构,简装,,暂无数据,2022-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区配套齐全，菜场 购物，出行都便利,,房子是房东一直自住，现在不在这边住了，以变现为主，房子南北通风的两居室，通风效果好。看中房子价格可以谈。,首套90平以下1% ，首套90平以上1.5%，二套90平以下1%，二套90平以上2%，三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5年征1%,,暂无数据,塔楼,暂无数据,暂无数据,"小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行美食等人文素养好,居民乐于助人,相处和谐",,,,,,
306,上庄小区 1楼带院子 精装修  拎包入住  2室2厅1厨1卫,49.8万,6822,金坛区西城街道,上庄小区,2室2厅1厨1卫,低楼层 (共4层),73㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-06-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好，交通便利","房子格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",现业主诚心出售，证件齐全，看房需提起前预约，随时可签！价格可谈,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
307,文化二村 3室2厅1卫 82平 中楼层 适合养老过度 精装修,45.8万,5586,金坛区西城街道,文化二村,3室2厅1厨1卫,中楼层 (共5层),82㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,文化二村 3室2厅1卫 82平 中楼层 适合养老过度 精装修 此房格..,,"房东现诚心出售,证件齐全,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
308,景阳花园    三室   两厅   一卫,73.8万,6834,金坛区西城街道,景阳花园,3室2厅1厨1卫,中楼层 (共6层),108㎡,暂无数据,西 北,框架结构,精装,,暂无数据,2023-03-24,商品房,2023-07-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满五唯一，装修保养很好，可以拎包入住,,房东搬去和孩子一起住，这套房子空置，想把他卖掉。。。。。。。。。。。,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,房子没有任何抵押和贷款，随时可以过户贷款，产权明晰。。。。。。。。。。。,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
309,美地蓝庭 2室1厅 南,51.8万,5756,金坛区西城街道,美地蓝庭,2室1厅1厨2卫,高楼层 (共6层),90㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,暂无数据,平房,暂无数据,暂无数据,,,,,,,
310,宝昌大院 3室2厅 南 北,56万,5600,金坛区西城街道,宝昌大院,3室2厅1厨1卫,中楼层 (共4层),100㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2023-11-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
311,好得家商务公馆朝南 一室一厅电梯5楼采光好拎包入住,22.8万,4560,金坛区西城街道,好得家商务公馆,1室1厅1厨1卫,中楼层 (共7层),50㎡,暂无数据,南,框架结构,简装,,暂无数据,2023-09-07,商品房,2014-09-05,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房是好得家商务公馆朝南精装 一室一厅电梯5楼采光好拎包入住,,业主几年前买了 多套房子 现资产置换 要买大一点的别墅一家人住一起,此房是40年产权的住宅 买方购买时需要支付增值税 水电也是的比普通住宅贵一点,,暂无数据,板塔结合,两梯五十二户,有,,,,,,,此房适合 年轻人刚需 过度 老人养老 外来工人员 经常出差偶尔居住
312,精装带车库楼层采光良好环境通透,79.8万,9993,金坛区西城街道,虹亚亲亲家园,2室2厅1厨1卫,中楼层 (共11层),79.86㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局好，业主诚心出售，户型方正视野好,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,"此房产权清晰,没有抵押 房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,"楼层较低带电梯直达车库方便老人孩子居住
方便孩子走读
夫妻自住装修方便"
313,"此房满五唯一南北通风户型全天采光,户型方正视野好。",76.8万,6565,金坛区西城街道,凤凰城,2室2厅1厨1卫,高楼层 (共5层),117㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五唯一，格局好,南北通风户型,全天采光,户型方正视野好。",,"业主现诚心出售,可以过来实地看房，证件齐,欢迎看房,随时恭候,","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,平房,暂无数据,暂无数据,,,,,,,
314,茅山颐园2-2-1-2 一层合院，院子朝南，北入户,358万,37122,金坛区西城街道,茅山颐园,2室2厅1厨2卫,低楼层 (共1层),96.44㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-09-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好.","格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
315,文荟苑南区新上一套4楼房子，看房方便,57.8万,6352,金坛区西城街道,文荟苑南区,2室2厅1厨1卫,中楼层 (共5层),91㎡,暂无数据,南,砖混结构,简装,,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子是4楼，没车库，老小区，配套成熟，生活环境良好,房子是老的精装，目前里面没有家具家电，两个房间，采光好，朝南，带阳台,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
316,凤凰城 精装两室两厅 诚意出售 采光好,85万,7328,金坛区西城街道,凤凰城,2室2厅1厨1卫,中楼层 (共6层),116㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-01-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五唯一，格局好,南北通风户型,全天采光,户型方正视野好。",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,平房,暂无数据,暂无数据,,,,,,,
317,文昌花园路上三楼好房等你来约哦,73.8万,6474,金坛区西城街道,文昌花园,2室2厅1厨1卫,中楼层 (共5层),114㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-11-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","契税:A首套90平以下1%；B首套90平以上1.5%；C二套90平以下1%；D二套90平以上 2%；E三套都是3%；
增值税:满两年免征，不满2年，全额征收5.3%；个人所得税:不满5 年征1%",,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
318,元巷小区 两室两厅一厨一卫 精装修 拎包入住 方便看房,54万,6137,金坛区西城街道,金城镇元巷小区,2室2厅1厨1卫,中楼层 (共6层),88㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
319,茅山医院养生度假社区，97平合院两居室精装修拎包入住,299万,30825,金坛区西城街道,茅山颐园,2室1厅1厨2卫,低楼层 (共1层),97㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-01-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可以商量。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
320,山湖城花园湖畔小院3-2-1-2 109.35m²  洋房,140万,12803,金坛区西城街道,山湖城花园湖畔小院,3室2厅1厨2卫,中楼层 (共5层),109.35㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2022-05-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 55万元 农业银行,未上传房本照片,山湖城花园湖畔小院洋房中间楼层，精装修，南北通透户型。,,,首套房90平方以下成交价的1%，90平方以上1.5%； 二套房90平方以下1%，90平方以上2%； 三套房及以上不论大小3%； 增值税：产证满二年免收增值税，未满二年征收5.3%； 个税：产证满五年且是唯一住房免个税，未满五年成交价的1%,些房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,暂无数据,暂无数据,暂无数据,暂无数据,茅山旅游景区优质资源，绿化覆盖率高，酒店式管理，开发商精装交付。,,,,,,
321,"此房格局好,南北通风户型,全天采光,户型方正视野好",86.8万,8428,金坛区西城街道,金城花园,2室2厅1厨1卫,低楼层 (共6层),103㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2022-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","：
业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
322,五星家园2-2-1-1 100.00m² 62.8 万,62.8万,6280,金坛区西城街道,五星家园,2室2厅1厨1卫,低楼层 (共2层),100㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2022-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,五星家园电梯房 精装修 配套设施齐全 拎包入住,"房格局好,南北通风户型,全天采光,户型方正视野好，干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
323,此房满五 户型方正 南北格局好 视野开阔 采光无遮挡,56.8万,6860,金坛区西城街道,城北小区,2室2厅1厨1卫,低楼层 (共5层),82.8㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2022-11-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五 户型方正 南北格局好 视野开阔 采光无遮挡,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,小区位置好。看房子方便。价格美丽。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,暂无数据,塔楼,暂无数据,暂无数据,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
324,"此房格局好,南北通风户型,全天采光,户型方正视野好",59.8万,5806,金坛区西城街道,文化二村,3室2厅1厨1卫,中楼层 (共5层),103㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2022-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
325,阳光花园(金坛)2-2-1-1 99.00m² 62.8 万,60万,6061,金坛区西城街道,阳光花园(金坛),2室2厅1厨1卫,中楼层 (共5层),99㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好",,"房东买了新房，现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
326,五星家园3-2-1-1 102.00m² 59.8 万,59.8万,5863,金坛区西城街道,五星家园,3室2厅1厨1卫,中楼层 (共6层),102㎡,暂无数据,南,框架结构,简装,,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好",,"房东买了新房，现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,无,,,,,,,
327,电梯房  东边户 房东诚心出售 看中可谈,79.8万,6187,金坛区西城街道,五星家园,3室2厅1厨1卫,中楼层 (共11层),129㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2022-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子 有钥匙 随时看房",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
328,阳光花园 库上一楼 2室2厅1厨1卫 带车库12平 拎包入住,66.8万,6817,金坛区西城街道,阳光花园(金坛),2室2厅1厨1卫,低楼层 (共5层),98㎡,暂无数据,南 北,框架结构,简装,,暂无数据,2023-06-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好",,"房东买了新房，现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
329,满五唯一  精装修   拎包入住,75.8万,7619,金坛区西城街道,凤凰城,3室2厅1厨1卫,中楼层 (共5层),99.5㎡,暂无数据,南 北,框架结构,精装,,暂无数据,2023-05-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%",,暂无数据,平房,暂无数据,暂无数据,,,,,,,
330,亲亲家园电梯房，格局好，户型方正。。。,130.8万,10722,金坛区西城街道,虹亚亲亲家园,3室2厅2厨1卫,中楼层 (共18层),122㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局好业主诚心出售户型方正视野好,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,"此房产权清晰,没有抵押 房源真实,业主诚心出售,看房方便,过户全程陪同",暂无数据,板塔结合,两梯四户,有,,,,,使用的装修材料上乘，全程亲自参与装修，细节都很用心。装修了5年，保养的好，品牌家电，拎包入住。,,
331,一楼带院子，干净舒适，方便不爬楼,39.8万,8123,金坛区西城街道,文化二村,2室1厅1厨1卫,低楼层 (共5层),49㎡,暂无数据,南,砖混结构,简装,,暂无数据,2023-06-23,商品房,2020-01-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,一楼带院子，干净舒适，方便不爬楼；感兴趣可随时看房,,,"增值税分析:产证满2年免收增值 税,未满2年征收5.3%;
个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%；
契税：首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;",,暂无数据,塔楼,暂无数据,暂无数据,,,,,业主新装修，干净明亮，对装修要求不是很高的话买进自信添置家具家电即可入住，省下来的时间安心工作赚钱养家,,适宜养老以及刚需带孩子不想爬楼的人群买进自住，如果你有时间可随时陪您看房
332,金城镇元巷小区2-1-1-1 74.00m²电梯精装，8平车库,46万,6217,金坛区西城街道,金城镇元巷小区,2室1厅1厨1卫,高楼层 (共11层),74㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,低层低密度舒适住宅小区，电梯精装二室，实用性强，楼层好。,电梯中上楼层，精装二居室，全天采光，南北通风，明厨明卫，户型方正视野好。,"业主现诚心售房,单独产权，证件齐全,原贷款业主自还，随约可看房，过户全程陪同。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,,
333,文化二村两室一厅一厨一卫 52平 23万,23万,4424,金坛区西城街道,文化二村,2室1厅1厨1卫,高楼层 (共5层),52㎡,暂无数据,南,砖混结构,简装,,暂无数据,2023-03-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光好，无遮挡，朝向南，拎包入住，价格便宜,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",暂无数据,塔楼,暂无数据,无,,,,,,,"：
房子是房东精心选购，房间朝南，采光好，视野好，随时看房，.。。。。"
334,好得家公寓电梯5楼朝南一室一厅精装拎包入住22.8万,22.8万,5429,金坛区西城街道,好得家商务公馆,1室1厅1厨1卫,中楼层 (共7层),42㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-09-10,商品房,2017-09-04,普通住宅,未满两年,共有,无抵押,已上传房本照片,好得家公寓电梯5楼朝南一室一厅精装拎包入住22.8万 交通便利,好得家公寓电梯  朝南采光好楼层好 一室一厅一厨一卫 精装拎包入住,,,,暂无数据,板塔结合,两梯五十二户,有,,好得家公寓 交通便利  高速路口 茅山旅游大道 公寓南边是农田 空气好,,,,,此房适合孕婴老幼 单间套房 老人养老 年轻人刚需过度 面积小好打理
335,茅山旁山湖城湖畔小院洋房91平精装修,115万,12638,金坛区西城街道,山湖城花园湖畔小院,2室2厅1厨2卫,中楼层 (共5层),91㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-05-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,交通便捷，有钥匙，看房子方便。房东诚心出售，,,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜。,,,,,,本房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利！
336,好房推荐，精品电梯小户，适合养老，单身，情侣居住,20.8万,4177,金坛区西城街道,好得家商务公馆,1室1厅1厨1卫,低楼层 (共7层),49.8㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-01-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"格局好,南北通风户型,全天采光,户型方正视野好",,,"套房90平以下成交价的1%,90平米以上1.5%，二套房90平米以下1%，90平米以上2%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,暂无数据,板塔结合,两梯五十二户,有,,,,,,出行方便 小区门口菜场便利 小区门口有公交车 距离购物广场100米,
337,城北小区，多层，95平，两居室，简单装修,44.5万,4660,金坛区西城街道,城北小区,2室2厅1厨1卫,高楼层 (共5层),95.5㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2021-10-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,暂无数据,塔楼,暂无数据,暂无数据,,,,,,,
338,金坛城西元巷小区旁，两室两厅，看房方便,38.8万,5389,金坛区西城街道,邮堂庙新苑,2室2厅1厨1卫,中楼层 (共6层),72㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,
