,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
1925,靠地铁站，靠菜场，靠汉江路国际街区，随时看房,140万,11239,新北区河海,燕兴新村东区,3室2厅1厨1卫,中楼层 (共6层),124.57㎡,暂无数据,暂无数据,暂无数据,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置好，交通方便，出门公交、地铁。旁边菜场、新区公园,,靠地铁站，靠菜场，靠汉江路国际街区，生活出行很便利，随时看房,,,,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小保安巡逻,,,,,,
1926,佳源悦府 毛坯四房 视野好 价格可谈,278万,20442,新北区河海,佳源悦府,4室2厅1厨2卫,高楼层 (共17层),136㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,通透性强，采光好 、户型方正，布局合理,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子随时过户,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%,,,,,,,
1927,满二！！万达旁纯毛坯小高层，一梯一户大阳台,298万,21896,新北区河海,佳源悦府,4室2厅1厨2卫,高楼层 (共18层),136.1㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,万达旁纯毛坯小高层，一梯一户大阳台，得房率高,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经快满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1928,景粼天著空中墅，纯毛坯空间灵活，诚心出售,500万,25262,新北区河海,龙湖景粼天著,4室2厅1厨2卫,低楼层 (共18层),197.93㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,景粼天著200平空中墅，纯毛坯空间灵活，诚心出售,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,,,
1929,国宾花园  繁华里 边户 纯毛坯 有钥匙 看房方便,200万,16950,新北区河海,繁華里,3室1厅1厨2卫,高楼层 (共33层),118㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,业主诚心出售，看中可议  有钥匙,,小区楼下自带商铺 出门就是恐龙园 一路之隔就是龙小 向西500米有地铁,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,"税费低 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",小区由香港九龙仓开发建设 目前本小区也是恐龙园片区综合评分靠前的小区 小区绿化好 基础设施齐全 整体居住人群素质高 是刚改和改善的好选择,,,,,,
1930,朗诗新北绿郡，恒温科技系统精装修，中高楼层,208万,24249,新北区河海,朗诗绿郡花园,2室2厅1厨1卫,高楼层 (共34层),85.78㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-09-16,商品房,2022-01-25,普通住宅,满两年,非共有,无抵押,已上传房本照片,朗诗新北绿郡，恒温科技系统精装修，中高楼层,,小区离万达步行可以到达 大概500米 离江南环球港800米 小区边上有大型公园 新北万达公园,,,房子是精装修交付的 需要自己再添置一些家具家电 可以规划自己喜欢的软装,,,,朗诗绿郡是南京朗诗置业在新北开发的小区秉承科技理念打造恒湿恒温恒氧生态环,,,,,,
1931,景粼天著次新小区，景观房，纯毛坯好楼层,380万,27143,新北区河海,龙湖景粼天著,4室2厅1厨2卫,中楼层 (共27层),140㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,景粼天著140平纯毛坯四室两卫 次新小区绿化覆。盖率高,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1932,景粼天著140平，纯毛坯四房 价格美 采光好,279万,19929,新北区河海,龙湖景粼天著,4室2厅1厨2卫,低楼层 (共27层),140㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2022-11-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,景粼天著纯毛坯四房，次新小区，绿化高,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1933,长江公寓 采光好 满五唯一 诚心想卖,148万,11529,新北区河海,长江公寓小区,3室2厅1厨1卫,低楼层 (共6层),128.38㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-03-03,商品房,2023-03-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满五唯一，低楼层，精装拎包住,,东边教育基地，北边吃喝玩乐一条街，西边地铁万达环球港高速交通方便,,,,,业主以前精装自住房，产权清晰，卖掉置换大房，有户口无贷款，随时可以签约。现在租给韩国人。随时租客可迁走。,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场 保安：小区内24小时保安巡逻,,,,,,
1934,成本售景粼天著168大平层 三阳台格局好 小区河景,485万,28978,新北区河海,龙湖景粼天著,5室2厅1厨3卫,高楼层 (共27层),167.37㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-03,商品房,2022-08-12,普通住宅,未满两年,共有,无抵押,已上传房本照片,成本售景粼天著168大平层 三阳台格局好 小区河景房,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1935,新北区 万达商圈 交通便利 精装入住,456万,31762,新北区河海,新城樾隽中央,4室2厅1厨2卫,中楼层 (共26层),143.57㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,配套齐全 万达商圈 诚心出售 看房方便,,本小区位于新北万达商圈，有三个菜场解决你做饭之忧，还有沃尔玛和乐购2个大型生活用品店 生活便利,,,开发商精装交付保养好，中（央）空调地暖新风齐全，节省预算和装修时间，拎包入住,,,,开发商为本地老牌房企 小区体量不大，人员密度不大，生活舒适便捷 出入方便,,,,,,
1936,次新小区 东边户 中层景观房 全天采光,325万,23177,新北区河海,龙湖景粼天著,3室2厅1厨2卫,中楼层 (共27层),140.23㎡,暂无数据,暂无数据,暂无数据,北 南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,2022-05-24,普通住宅,未满两年,非共有,无抵押,已上传房本照片,次新小区 恐龙园板块次新房  东边户 中层景观房 全天采光,小区多面就是龙小和龙中，东海菜场、美食街就在小区北侧正后方，陪读较好,,北侧就是汉江路主干道、距离晋陵路汉江路交叉口的新区公园地铁口也就500米不到的距离，沪蓉高速的青龙收费站也是3公里的距离,,,,,,龙湖开发，2022年年初才交付的次新房，小区环境优美、有篮球场、塑胶跑道，儿童游乐场等公共设施齐全,,,,,,
1937,大平层，大露台，环境好，交通方便，房东诚心出售.,690万,28750,新北区河海,九龙仓国宾1号,4室2厅1厨3卫,低楼层 (共7层),240㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2023-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
1938,景粼天著次新小区140平四房，中楼层纯毛坯,330万,23572,新北区河海,龙湖景粼天著,4室2厅1厨2卫,高楼层 (共23层),140㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-30,商品房,2022-08-30,普通住宅,未满两年,共有,有抵押,已上传房本照片,楼层好，视野旷阔，采光充足，交通便利,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,,,
1939,金田雅居门面房出售  交通便利  环球港边,550万,9938,新北区河海,金田雅居,8室4厅2厨2卫,低楼层 (共12层),553.46㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,四梯四十六户,有,暂无数据,2022-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,红本在手，中高楼层..户型方、配套全、停车方便,,小区所处位置繁华，楼下就是银行金融 餐饮酒店 教育培训健身会所休闲娱乐和万达广场都在200米商圈范围以内！距离环球港和山姆会员店在1000米内,地铁 交通设施齐全 公交车方向众多，外部道路宽阔，交通出..小区所处位置繁华，楼下就是银行金融 餐饮酒店 教育培训健身会所休闲娱乐和万达广场都在200米商圈范围以内！距离环球港和山姆会员店在1000米内。,,,,,税费解析：房子为非住宅性质， 买方应交纳：契税和印花税 卖方应交纳：土地增值税 增值税、附加税、个人所得税。,,,,,,,
1940,长兴好日子家园 3室2厅 南,90万,6379,新北区河海,长兴好日子家园,3室2厅1厨1卫,中楼层 (共6层),141.1㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2022-09-07,商品房,2022-02-16,商住两用,满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,民水,民电,2.45元/m3,
1941,富都小区，配套成熟，全天采光户型，前面无遮挡,108万,11104,新北区河海,富都花苑北村东区,3室1厅1厨1卫,低楼层 (共6层),97.27㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-09-30,商品房,2023-11-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套完善,,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州三三六医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店,,,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧地处繁华地带，江南环球港近在咫尺，交通便利，配套完善,,,,,,,
1942,景粼天著新交付纯毛坯，小区环境优美，品质高,450万,32143,新北区河海,龙湖景粼天著,3室2厅1厨2卫,低楼层 (共27层),140㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,景粼天著新交付纯毛坯，小区环境优美，品质高,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1943,景粼天著168平横厅户型，一期景观房，纯毛坯,420万,25000,新北区河海,龙湖景粼天著,5室2厅1厨2卫,低楼层 (共27层),168㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,景粼天著168平横厅户型，一期景观房，纯毛坯,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,,,
1944,熙华雅园新出精装四房 楼层好 视野开阔，居住舒适,508万,30431,新北区河海,熙华雅园,4室2厅1厨3卫,中楼层 (共17层),166.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,2022-09-22,普通住宅,未满两年,非共有,有抵押 100万元 农行 客户偿还,已上传房本照片,通透格局，楼层好，视野宽阔，采光充足，配套设施齐全,,熙华雅园小区北面就是艺术公园可以满足日常的运动健身需要，距离环球港山姆会员商店只有1.5公里（数据来源百度地图）生活便利。,熙华雅园距离高铁常州北站只有2.5公里的距离，主要城市主干道也近。可以满足日常的交通出行需求。,,,,,,熙华雅园是人车分流小区，绿化环境优，物业管理好，24小时安保。,,,,,,
1945,景粼天著168平大平层，纯毛坯5房2卫大客厅大阳台,430万,25602,新北区河海,龙湖景粼天著,5室2厅1厨2卫,低楼层 (共27层),167.96㎡,暂无数据,167.96㎡,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-22,商品房,2022-09-08,普通住宅,未满两年,共有,无抵押,已上传房本照片,景粼天著168平大平层，纯毛坯5房2卫大客厅大阳台,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1946,牡丹和府 纯毛坯 中上楼层 价格可谈 诚心出售,230万,20354,新北区河海,牡丹和府,3室2厅1厨2卫,高楼层 (共25层),113㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 14万元 农行,未上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套齐全,,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州三三六医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,,,,,,,
1947,龙湖景粼天著 200平空中墅 纯新毛坯 好楼层,580万,29000,新北区河海,龙湖景粼天著,4室3厅1厨2卫,高楼层 (共6层),200㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,一梯一户,有,暂无数据,2023-05-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,纯毛坯，可以根据自己的喜爱装修，好楼层，全款房，随时能过户。,,,,,房子是纯毛坯，可以根据自己的喜爱装修，装修成自己喜爱的风格。,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%","位置：小区地理位置佳，绿化多，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24小时保安巡逻",,,,,,
1948,景粼天著200平复式大平层 纯毛坯挑空大落地窗 采,550万,27500,新北区河海,龙湖景粼天著,5室2厅1厨3卫,中楼层 (共27层),200㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,景粼天著200平复式大平层 纯毛坯挑空大落地窗 采光好,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,,,,,
1949,新北万达旁纯精装社区樾隽花园诚意出售,600万,31915,新北区河海,新城樾隽中央,4室2厅1厨3卫,高楼层 (共26层),188㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-04-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高品质的纯精装社区，新城优质的物业服务,,本小区位于新北万达商圈，河海菜场，汇丰菜场都比较近，还有沃尔玛和乐购2个大型生活用品店 生活便利,,,开发商精装交付保养好，中（央）空调地暖新风齐全，节省预算和装修时间，拎包入住,,,,本地实力开发商新城品质纯精装社区，物业服务好，人员密度不高，居住舒适度高,,,,,,
1950,熙华雅园新出精装四房 楼层好 视野开阔，居住舒适,508万,30431,新北区河海,熙华雅园,4室2厅1厨3卫,中楼层 (共17层),166.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,2022-09-22,普通住宅,未满两年,非共有,有抵押 100万元 农行 客户偿还,已上传房本照片,通透格局，楼层好，视野宽阔，采光充足，配套设施齐全,,熙华雅园小区北面就是艺术公园可以满足日常的运动健身需要，距离环球港山姆会员商店只有1.5公里（数据来源百度地图）生活便利。,熙华雅园距离高铁常州北站只有2.5公里的距离，主要城市主干道也近。可以满足日常的交通出行需求。,,,,,,熙华雅园是人车分流小区，绿化环境优，物业管理好，24小时安保。,,,,,,
1951,景粼天著168平横厅户型，一期景观房，纯毛坯,420万,25000,新北区河海,龙湖景粼天著,5室2厅1厨2卫,低楼层 (共27层),168㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,景粼天著168平横厅户型，一期景观房，纯毛坯,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,该房是纯商品房，已经满两年，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,,,
1952,环球港旁  牡丹和府  户型方正  交通便利,268万,23713,新北区河海,牡丹和府,3室2厅1厨2卫,高楼层 (共25层),113.02㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-16,商品房,2020-01-01,普通住宅,满两年,非共有,无抵押,已上传房本照片,地处繁华地带，江南环球港近在咫尺，交通便利，配套齐全,,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州三三六医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店、燕阳便利店,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,,,,,,,
1953,建设大厦147平大平层房东急售价格可谈65万出售,65万,4397,新北区河海,建设大厦,5室2厅0厨0卫,中楼层 (共13层),147.83㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,2015-08-05,写字楼,满五年,非共有,无抵押,已上传房本照片,建设大厦纯办公平层  随时看房 楼层好,汉江路纯办公楼，户型方正，位置佳楼层好，看房方便，业主急售。,,地铁1号线，万达广场，环球港，丰臣广场，市政府，华山医院，奥体，常发广场,,,,,,新区公园平时可以散步散心楼下小吃餐馆齐全出门有公交站台出行便利小区是封闭式小区设置安保，24小时巡逻更安全放心小区设有水系景观公共健身区域和儿童游乐区,,,,,,
1954,简装修未设施齐全一房一卫看房有房有钥匙,32.8万,9940,新北区河海,朗诗绿郡花园,1室0厅1厨1卫,中楼层 (共30层),33㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,四梯二十四户,有,暂无数据,2023-08-17,商品房,2020-11-17,商住两用,满两年,非共有,有抵押 13万元 建设银行 客户偿还,已上传房本照片,朗诗绿郡户型方正格局分布合理通透性强 舒适,,"此小区地理位置优越,商场医院银行等公共设施齐全,配套都基本上齐全",,"一个房间,一个卫生间,户型方正,全新装修,设施齐全,交通方便可领执照",,"此小区地理位置优越,商场医院银行等公共设施齐全,配套都基本上齐全，有贷款抵押",,,,,,未知,未知,,
1955,景粼天著次新小区140平四房，中楼层，河景,330万,23533,新北区河海,龙湖景粼天著,4室2厅1厨2卫,低楼层 (共27层),140.23㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-07-14,商品房,2021-10-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,景粼天著次新小区140平四房，中楼层，河景，房东全款购入此房,,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,该房是纯商品房，快满两年，可等满两年过户，税少，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,,,,,,
1956,河海街道 成熟小区 侨光苑 中间楼层 精装修 诚心出售,125万,9616,新北区河海,侨光苑,3室2厅1厨1卫,高楼层 (共18层),130㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-07,商品房,2018-06-06,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房满二，精装70年产权，看房联系，小区安静,,,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3的增值税。,人车分流，该房子环境好，位置佳，四周配套全，老少皆适宜居住    。。。。。。。。。。。。。。。。,,,,,,
1957,燕兴新村交通便捷！出行方便！！,80.2万,11214,新北区河海,燕兴新村东区,2室1厅1厨1卫,高楼层 (共6层),71.52㎡,暂无数据,71.52㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-26,商品房,2019-11-26,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,
1958,富都北村 上下独立两层 买一层得两层  得房率高,90万,8863,新北区河海,富都花苑北村西区,4室2厅1厨2卫,高楼层 (共6层),101.55㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-07-03,商品房,2017-07-03,普通住宅,满五年,非共有,有抵押 40万元,已上传房本照片,房子是上下两层   买一层得两层   面积 130平 上下格局,,综合商场: 五星电器新北卖场、国美金太阳电器新北区店 医院: 常州九悦医院、华山医院 银行/ATM: 建设银行、中国工商银行、农业信用社 邮局/快递: 长江路邮政支局、中国邮政(黄河路) 其他: 锦江大酒店、中发酒家、顺天源面食富都店,公交：11路、13路、36路、18路 地铁一号线 小区周 边有很多共享单车，出行方便,,,,,,,,,,,,
1959,兰翔二村新区公园旁 地铁口 兰翔二村舒适朝南房,69.8万,11311,新北区河海,兰翔二村北区,2室1厅1厨1卫,高楼层 (共6层),61.71㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-09-04,商品房,2017-09-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,兰翔二村新区公园旁 地铁口 兰翔二村舒适朝南房,,,,,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收....,兰翔二村位于新区公园旁，地铁口，拥揽春华秋实四季人生景致；阳光、清风自对流，园林风光前呼后拥，居家生活处处有景。,,,,,,
