,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
692,祥龙苑 2室2厅 南,105万,10986,新北区龙虎塘,祥龙苑,2室2厅1厨1卫,低楼层 (共17层),95.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,无,暂无数据,2022-09-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
693,三江公馆洋房 采光刺眼 视野开阔,325万,23050,新北区龙虎塘,牡丹三江公馆,4室2厅1厨1卫,高楼层 (共6层),141㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
694,九洲花园北区 3室1厅 南,139万,13114,新北区龙虎塘,九洲花园北区,3室1厅1厨1卫,高楼层 (共18层),106㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
695,牡丹水岸国际 中上楼层 纯毛坯 三房两卫 诚心出售,258万,20157,新北区龙虎塘,牡丹·水岸国际,3室1厅1厨2卫,高楼层 (共18层),128㎡,暂无数据,暂无数据,暂无数据,南,框架结构,毛坯,两梯四户,有,暂无数据,2023-03-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型正，交通便捷，设施齐全，门口就是地铁口，BRT。,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，总层高18层的小高层，得房率高。",,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,
696,盘龙苑东区  五个房间 二层 精装修 173平方,168万,9687,新北区龙虎塘,盘龙苑东区,5室2厅1厨2卫,高楼层 (共6层),173.44㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,盘龙苑，精装修，五室两厅两卫，有大露台，得房率高..,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。此房源值得推荐。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,
697,环球港盘龙苑三房两厅两卫精装修拎包入住,135万,10630,新北区龙虎塘,盘龙苑东区,3室2厅1厨2卫,高楼层 (共5层),127㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-01,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房楼层好 视野开阔 采光充足 配套设施齐全 交通便利,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学,,,,,,,,
698,精装拎包入住，户型好，楼层好.视野开阔,135万,13495,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,中楼层 (共25层),100.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,精装拎包入住户型好，楼层好.视野开阔,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,出行方便，小区门口环保自行车、公交站，邻近地铁站、高铁站，高速口,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,
699,九洲花园南区 婚房装修 房东外地置换 看房方便,218万,15798,新北区龙虎塘,九洲花园南区,4室2厅1厨2卫,低楼层 (共27层),138㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2022-11-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区环境好 绿化高 生活配套全 出行也方便,此房精装修，发现生活温度，适合刚需、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；",,,,,小区地理位置佳，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,
700,盘龙苑东区  纯毛坯大三房 户型好,144万,12000,新北区龙虎塘,盘龙苑东区,3室2厅1厨2卫,高楼层 (共9层),120㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房纯毛坯 户型方正 诚心出售,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。此房源值得推荐,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,
701,急售！！！九洲花园精装三房，不靠高架楼层好,150万,12000,新北区龙虎塘,九洲花园南区,3室2厅1厨2卫,高楼层 (共27层),125㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-04-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 18万元,未上传房本照片,此房屋满五唯一，不靠高铁，楼层好位置佳，里面有租客,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
702,常州产权 九洲花园 毛坯房   视野开阔 随时看房,190万,14775,新北区龙虎塘,九洲花园南区,4室2厅1厨2卫,高楼层 (共27层),128.6㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野宽阔，采光充足，配套设施齐全，交通便利,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五而且是一套住房，免收个税，未满5年成交价1个点",,,,,小区自带荷花池，中 心湖广场，景色宜人，运动器材设施组成的景观休闲花园，环境优美，居住安逸；,楼下商铺餐饮全都有，北门出去右拐500，到达玲珑菜场，南门出发2公里即江南环球港；,,,,,,
703,美林湖别墅区，联排毛坯，看房方便,800万,24616,新北区龙虎塘,美林湖一区,4室2厅1厨3卫,低楼层 (共3层),325㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-06-10,商品房,暂无数据,别墅,暂无数据,共有,有抵押 业主自还,未上传房本照片,视野宽阔，采光充足，门前间距大，随时可以看房,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,南入户，无遮挡，采光好。不靠马路，下沉式花园，地上边户带院子,近的菜场距离2百米就有，出门交通快，南边就是恐龙园，距离2百米左右，地铁直到环球港，拥有常州富人之区之称,,,,,,,暂无数据,
704,美林湖别墅，毛坯随时看房，位置好，南入户。,800万,21221,新北区龙虎塘,美林湖一区,4室2厅1厨3卫,低楼层 (共3层),377㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-11-22,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,位置好，南入户，采光无遮挡，视野宽阔。,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,暂无数据,
705,美的阳光城江山樾洋房 纯毛坯 户型方正 诚心出售,310万,22143,新北区龙虎塘,江山樾花园,4室2厅1厨2卫,低楼层 (共11层),140㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方地理位置优越，交通",,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯一户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻正视野好,,,,,,,,
706,牡丹水岸国际 精装四房两卫 一梯一户 诚心出售,255万,18346,新北区龙虎塘,牡丹·水岸国际,4室2厅1厨2卫,低楼层 (共18层),139㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型正，交通便捷，设施齐全，门口就是地铁口，BRT。,,,税费解析： 存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税..,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，总层高18层的小高层，得房率高。",,小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,
707,锦珑湾别墅中间户，北入户有停车场，毛坯随时看房,720万,25131,新北区龙虎塘,锦珑湾花园,5室2厅1厨3卫,低楼层 (共3层),286.5㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-09-27,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,视野宽阔，采光充足，门口有停车位，配套 设 施 齐 全,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"央企 中海物业 小区生活方便，出小区800米到玲珑菜场跟信特 卖 场 龙虎塘   到 幼 儿 园出小区100米就能到 平常带孩子步行即可
小区地理位置佳，绿化多，居民素质高 配套：停车位充足，建有地上停车场和地下..",,,,,,联排,
708,锦龙湾联排别墅中户前后带院纯毛坯,695万,24132,新北区龙虎塘,锦珑湾花园,5室2厅1厨2卫,低楼层 (共3层),288㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-09-10,商品房,暂无数据,别墅,暂无数据,非共有,有抵押 180万元,未上传房本照片,此房满两年，视野开阔，采光充足 纯毛坯,,业主一手房，满五年，人在苏州，故出售此房，产权清晰.....,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,此房北进户南花园，地上三层毛坯可以自行改造设计装修 ，，，，，,,,,,,,,联排,
709,户型方正环境优美纯毛坯中间楼层采光充足,180万,14635,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共18层),123㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,临环球港，恐龙园，繁华地段，户型方正 采光十足 环境优美,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、龙湖物业，小区内24小时保安巡逻,环球港、万达、丰臣国际、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
710,次新小区 全新毛坯 中间楼层采光好 诚意出售,210万,16667,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共15层),126㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 90万元,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,小区在新北区龙虎塘，这两年刚交付的新小区，已经满2少税，旁边公园菜场商场都有,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
711,三江公园 毛坯大三房 户型佳 采光好 诚心出售,190万,14985,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共17层),126.8㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,临环球港，繁华地段，户型方正，南北双向对流，采光佳,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车..",环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4 S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
712,三江公园临环球港 户型方正 纯毛坯,180万,14400,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共18层),125㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-11-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,临环球港，繁华地段，户型方正，南北双向对流，采光佳,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车..",环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4 S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,,,,,,
713,牡丹三江公馆洋房挑高复式带大露台 边户带车位 有钥匙,380万,19494,新北区龙虎塘,牡丹三江公馆,5室2厅1厨3卫,高楼层 (共6层),194.94㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%",,,,,,"1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,,
714,房东帅帅男孩子 很阳光 目前单身,178万,15214,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,中楼层 (共18层),117㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,临环球港，繁华地段，毛坯洋房 户型方正，采光好,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
715,紫阳美地山庄 三房二厅一卫 126平方,90万,7143,新北区龙虎塘,紫阳美地山庄,3室2厅1厨1卫,低楼层 (共27层),126㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元 工行 业主自还,未上传房本照片,紫阳美地山庄，三室两厅一卫，楼层好，户型方正，满五唯一,,,满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％，个 人所得税1%,,,小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便，旁边就是五洲国际广场！满足生活需要,,,,,,
716,牡丹·三江公园 3室2厅 南,165万,14602,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共18层),113㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,,,,,,,,,,,,,,,,
717,三江花园   全明户型   户型方正  看房方便,135万,12163,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共16层),111㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,临环球港，繁华地段，毛坯洋房 户型方正，采光好,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
718,锦珑湾花园 3室2厅 南,130万,11239,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,低楼层 (共18层),115.67㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-07-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
719,恐龙园，世茂香槟湖旁，美林湖别墅出售,980万,25950,新北区龙虎塘,美林湖一区,5室2厅1厨3卫,低楼层 (共3层),377.65㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2023-03-10,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",,,,,联排,
720,牡丹三江公馆 生活设施配套齐全 交通便利,255万,18086,新北区龙虎塘,牡丹三江公馆,4室2厅1厨2卫,中楼层 (共8层),141㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,2022-12-09,普通住宅,未满两年,共有,有抵押 60万元 商业银行 业主自还,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,,,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,,,
721,恐龙园旁 中海锦珑湾 联排别墅 好位置 前后院子,750万,26224,新北区龙虎塘,锦珑湾花园,4室2厅1厨3卫,低楼层 (共3层),286㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-07-09,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,位置安静 联排别墅、小区中间位置 南北双花园,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,央企中海开发，中海物业、小区环境、物业管理都还挺不错的 南侧一河之隔的就是常州的级景区中华恐龙园,,,,,,联排,
722,装修一年多，电梯房，总高8层采光好,165万,12407,新北区龙虎塘,藏龙苑西区,3室2厅1厨2卫,中楼层 (共8层),133㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,电梯房  新装修    总高低,,,房子已经满2年了没有增值税，交易的时候有一个个人所得税，和契税,,,,,,有个大公园三江口公园，大的购物广场环球港，地铁口1号线都在1公里,,,,房子是两年前买的，后来重新装修了 花了20多万  家具家电全留诚心卖,,
723,牡丹三江公馆    毛坯大四房两卫   诚心出售,260万,18436,新北区龙虎塘,牡丹三江公馆,4室2厅1厨2卫,高楼层 (共6层),141.03㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-03,商品房,2023-06-06,普通住宅,未满两年,共有,有抵押 70万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,,,
724,环球港牡丹三江公园 三面采光 无遮挡 一梯一户 户型好,165万,14162,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,高楼层 (共18层),116.51㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,临环球港，繁华地段，毛坯洋房 户型方正，采光好,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
