,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
518,新景花苑二期 2室2厅 南,93万,10980,新北区小新桥,新景花苑二期,2室2厅1厨1卫,中楼层 (共18层),84.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
519,滨江明珠城 3室2厅 南,140万,11501,新北区小新桥,滨江明珠城,3室2厅1厨1卫,中楼层 (共22层),121.73㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元 客户偿还,未上传房本照片,,,,,,,,,,,,,,,
520,房东诚心出售，看房方便，价格可议,82万,6838,新北区小新桥,新魏花园,3室2厅1厨2卫,高楼层 (共6层),119.92㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,无,暂无数据,2024-02-17,商品房,2013-01-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房南北通风 楼层好 户型方正有钥匙 随时可看,,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,1、 小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房价每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静！,,,,,,,,,
521,新桥新欣嘉园 毛坯 视野开阔 户型方正,62万,7401,新北区小新桥,新桥新欣嘉园,2室1厅1厨1卫,高楼层 (共20层),83.78㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新桥新欣嘉园 毛坯 视野开阔 户型方正,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,,,,,,,,,,
522,房东诚心出售，看房方便，价格可议,105万,7721,新北区小新桥,长宏苑,3室2厅1厨1卫,低楼层 (共3层),136㎡,平层,暂无数据,塔楼,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房南北通风 楼层好 户型方正 随时可看,,,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,1、 小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房价每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静！,,,,,,,,
523,新桥新欣嘉园 边户 户型方正 采光好 看房方便,98万,7947,新北区小新桥,新桥新欣嘉园,3室2厅1厨2卫,高楼层 (共32层),123.32㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新桥新欣嘉园 边户 户型方正 采光好 看房方便  有钥匙,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,,,,,,,,,,
524,百馨西苑三期有产权 楼层好，楼栋位置好,78万,9018,新北区小新桥,百馨西苑三期,2室2厅1厨2卫,中楼层 (共27层),86.5㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野宽阔，采光充足，配套设施齐全,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,"：
发现生活温度，适合刚需、改善、婚房等需求，。论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
525,锦海星城，出行便利，生活配套齐全,140万,11392,新北区小新桥,锦海星城,3室2厅1厨1卫,低楼层 (共15层),122.9㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-01-14,商品房,2019-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房源户型方正，公摊少，房东诚心出售可谈价，楼层采光棒！,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是家庭（夫妻双方及未成年子女加起来）唯一套住房，免收个税，未满5年成交价的1%",,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，BRT还是比较近的，交通比较方便。,,本房无抵押，无户口，无异议登记，无债权债务纠纷，产权清晰，可放心入手。,,,,,
526,房东诚心出售 价格可谈 楼层好 采光好,70万,7955,新北区小新桥,百馨西苑三期,2室2厅1厨2卫,低楼层 (共27层),88㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-12-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野好，采光刺眼，通风通气都很好,业主现诚心置换，，欢迎看房，随时恭候，如看中房子，价格可谈，楼层好 视野开阔 户型好,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",此房虽然是安置房 但是有产权证 那边政策是可以正常交易 放心购买 这个价格适合刚需人群,,,,,,,,,,
527,房东诚心出售 价格可议 中间楼层 采光无遮挡,47万,5281,新北区小新桥,百馨西苑四期,2室2厅1厨1卫,中楼层 (共24层),89㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
此房满二不唯一 小区地理位置优越 交通便捷 配套辐射广 ...",业主诚意出售，手续齐全，价格公道，看房方便，随时恭候有缘人的到来！,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
528,锦海尚城 2室2厅 南,103万,11761,新北区小新桥,锦海尚城,2室2厅1厨1卫,低楼层 (共22层),87.58㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-22,商品房,2020-04-10,普通住宅,满两年,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
529,房东诚心出售，价格可谈，不唯一，采光好,63万,7341,新北区小新桥,长宏公寓,2室2厅1厨1卫,中楼层 (共11层),85.83㎡,暂无数据,71.14㎡,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-14,商品房,2012-11-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满二不唯一， 小区地理位置优越 ，交通便捷,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候有缘人的到来！,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
530,春江人家 2室2厅 南,118万,11457,新北区小新桥,春江人家,2室2厅1厨1卫,中楼层 (共15层),103㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
531,滨江明珠城一期   精装两房   业主自住   诚心出售,79万,9503,新北区小新桥,滨江明珠城,2室2厅1厨1卫,高楼层 (共22层),83.14㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-09,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
532,房东诚心出售 中间楼层 户型通透 采光好  精装,93万,10000,新北区小新桥,春江人家,2室2厅1厨1卫,中楼层 (共17层),93㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,两梯四户,有,暂无数据,2024-01-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，如看中房子,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
533,清水湾三期   两房  精装修    看房方便,90万,10574,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共30层),85.12㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明设计，居住舒适，空间设计利用合理，随时可看,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯商品房住宅，居住舒适环境优雅！,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,,,,
534,房东诚心出售，户型通透，采光好,200万,10363,新北区小新桥,滨江豪园,4室3厅1厨2卫,低楼层 (共18层),193㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-12-03,商品房,2020-05-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,视野好，采光好，通风通气都很好,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.3％",,,,,,此房产权清晰，业主诚心出售，看房方便，过户全程陪同，有产证，,,,,,
535,滨江豪园  四室两厅两卫  193平  160万,160万,8401,新北区小新桥,滨江豪园,4室2厅1厨2卫,中楼层 (共18层),190.47㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-27,商品房,2020-05-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满二不唯一 小区地理位置优越 交通便捷 配套辐射广 ...,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候有缘人的到来！,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
536,天禄西阆苑 3室2厅 南 北,150万,12802,新北区小新桥,天禄西阆苑,3室2厅1厨2卫,低楼层 (共15层),117.17㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-13,商品房,2021-09-22,普通住宅,暂无数据,共有,有抵押 100万元,已上传房本照片,,,,,,,,,,,,,,,
537,房东诚心出售 楼层好 户型通透 采光好,68万,7641,新北区小新桥,百馨西苑三期,2室2厅1厨1卫,中楼层 (共27层),89㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务,,,,,,,,,,
538,滨江明珠城 出行方便 户型方正 精装修 随时可看,128万,11086,新北区小新桥,滨江明珠城,2室2厅1厨2卫,低楼层 (共11层),115.47㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2017-02-17,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房出行方便 接地气 户型方正 精装修 拎包可住 随时可看,,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收取,此房适宜一家人居住，小巢卫浴，出行方便，业主诚心置换，期待有缘人接盘,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,,,,
539,房东诚心出售的房子 看中价格可以谈,62万,7381,新北区小新桥,百馨苑北区,2室2厅1厨1卫,中楼层 (共6层),84㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,发现生活温度适合刚需改善婚房等需求便拎包入住即买即享受自我修养此房源值得,,,,,,,,,,
540,新景花苑二室二厅好楼层房东诚卖,95万,11441,新北区小新桥,新景花苑二期,2室2厅1厨1卫,中楼层 (共18层),83.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-12-28,商品房,2020-06-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房楼层好 采光好户型好 随时可看业主诚心出售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,"：
环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园",小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有停车场,,,,,,,,
541,百馨西苑四期 2室2厅 南,65万,7304,新北区小新桥,百馨西苑四期,2室2厅1厨1卫,低楼层 (共24层),89㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-01-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
542,新景花苑西区 2室2厅 南,90万,10844,新北区小新桥,新景花苑西区,2室2厅1厨1卫,中楼层 (共15层),83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
543,房东诚心出售，看房方便，价格可议,75万,7732,新北区小新桥,长宏苑,2室2厅1厨1卫,中楼层 (共6层),97㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房南北通风 楼层好 户型方正，随时可看,,,,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,1、 小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房价每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静！,,,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,
544,新桥新欣嘉园 2室2厅 南,66万,7796,新北区小新桥,新桥新欣嘉园,2室2厅1厨1卫,中楼层 (共32层),84.66㎡,暂无数据,暂无数据,板楼,南,框架结构,毛坯,三梯两户,有,暂无数据,2024-01-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
545,新园花苑 3室2厅 南,70万,4667,新北区小新桥,新园花苑,3室2厅1厨2卫,高楼层 (共6层),150㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
546,百馨西苑三期 2室2厅 南,75万,8427,新北区小新桥,百馨西苑三期,2室2厅1厨1卫,高楼层 (共27层),89㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
547,滨江明珠城 2室2厅 南 北,90万,10229,新北区小新桥,滨江明珠城,2室2厅1厨1卫,中楼层 (共18层),87.99㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
548,房东诚心出售，有证满二，交通方便,71万,5726,新北区小新桥,圩塘新村五村,3室2厅1厨2卫,高楼层 (共6层),124㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2024-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置好，视野宽阔，采光充足无遮挡，配 套 齐 全,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，坐 谈 来 去,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上充足停车场，,,,,,,,,,
549,满五唯一  新魏花园 3室2厅  南北通透,90万,7593,新北区小新桥,新魏花园,3室2厅1厨2卫,低楼层 (共6层),118.54㎡,暂无数据,107.57㎡,暂无数据,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-01-14,商品房,2013-08-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,,户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,,
550,清水湾花园三期 2室2厅 南 北,110万,11925,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共26层),92.25㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,,,,,,,,,,,,,,,
551,房东诚心出售 楼层好 户型通透 采光好,68万,7641,新北区小新桥,百馨西苑三期,2室2厅1厨1卫,中楼层 (共27层),89㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野开阔，采光充足，配套设施齐全，交通便利,比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，都是自住,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务,,,,,,,,,,
552,春江人家 此房满五唯一 精装 楼层好 房东诚售,118.8万,11534,新北区小新桥,春江人家,2室2厅1厨1卫,中楼层 (共15层),103㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-03,商品房,2017-02-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一 楼层好 视野宽阔 采光充足,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，如看中房子,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
553,房东诚心出售，看房提前联系，价格可议,80万,8081,新北区小新桥,长宏公寓,2室2厅1厨1卫,高楼层 (共17层),99㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房南北通风 楼层好 户型方正  随时可看,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,1、 小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺、生活方便； 2、 小区绿化面积大 楼间距开 房间格局分明 采光足 使得房价每个角落都能享受阳光； 3、 地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静！,经典户型，采光好，稀有房源！配套设施齐全，成熟社区，环境优美，物业不错,,,,,,,,
554,清水湾花园三期 2室1厅 南,125万,15433,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,中楼层 (共34层),81㎡,平层,暂无数据,塔楼,南,钢混结构,简装,一梯三户,有,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,,,,,,,,,,,,,,,
555,小新桥 新欣嘉园 户型好 三朝南户型 85.57平方,68万,7947,新北区小新桥,新桥新欣嘉园,2室2厅1厨1卫,中楼层 (共20层),85.57㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新桥新欣嘉园 低价出售 钥匙在手 随时看房,诚心置换故此出售，忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,全明户型，南北通空间， 惬意悠享假日生活；方正通透 没有浪费面积 功能实用,存量房需要缴纳个人所得税1%。契税若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。不满两年需缴纳5.3%增值税,,,,,,,,,,,
556,滨江明珠城 2室2厅 南 北,95万,9840,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共18层),96.55㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-02-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,
