,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
591,高铁新城   碧桂园壹号天禧   精装大三房  诚心出售,210万,17276,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,低楼层 (共19层),121.56㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-14,商品房,2021-03-15,普通住宅,暂无数据,共有,有抵押 120万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
592,高铁新城   凤凰名城毛坯三房   诚心出售,130万,10618,新北区新桥,凤凰名城,3室2厅1厨2卫,中楼层 (共34层),122.44㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-11,商品房,2014-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
593,阳台已封好，全新无入住  灯具更换过  房东急卖,185万,15572,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共20层),118.81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-25,商品房,2021-05-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区位置好，边户三房两卫，中上楼层   阳台已封好，开发商装修全新无入住  灯具更换过  房东急卖 看房子方便,,,,阳台已封好，开发商装修全新无入住  灯具更换过  房东急卖 看房子方便,112492007093,阳台已封好，开发商装修全新无入住  灯具更换过  房东急卖,,,,边户三房两卫，中上楼层   阳台已封好，开发商装修全新无入住  灯具更换过  房东急卖 看房子方便,,,,,
594,全明户型，南北通空间，惬意悠享假日生活，方正通透。,115万,11162,新北区新桥,凤凰名城,3室2厅1厨1卫,低楼层 (共8层),103.03㎡,暂无数据,88.09㎡,塔楼,南,钢混结构,简装,一梯两户,有,暂无数据,2023-07-01,商品房,2009-08-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,112483779838,全明户型，南北通空间，惬意悠享假日生活，方正通透。,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,,
595,高铁新城 壹号天禧 精装修未入住 随时可看 业主诚售,185万,19474,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,高楼层 (共20层),95㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,三梯六户,有,暂无数据,2022-08-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 90万元 工商 客户偿还,未上传房本照片,此房为小区的景观楼栋，可俯瞰高铁新城，采光视野好,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,交通方便，出门既是公交站台，29路到达北直街，3公里可以到达青龙高速口，公交自驾出行都很方便,1：优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕 间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,,,,,,
596,此房 楼层好 户型好 业主诚售 随时可看,186万,18059,新北区新桥,碧桂园·翡丽都会,3室2厅1厨1卫,高楼层 (共27层),103㎡,暂无数据,暂无数据,暂无数据,南,混合结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 / 业主自还,未上传房本照片,此房 楼层好 户型好 业主诚售 随时可看,,首套房90平以下1%90平以上契税是1.5%，二套90平以下1%90平以上是2%，三套及以上无论大小是3%，如不满两年增加5.3的增值税。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。高架、高铁、高速三位一体，出行方便,,,,"孕婴老幼：本房是业主多房，人车分流，人文环境好 
首付不高：贷款方式不限，适合首付不多的小两口
家有老人：楼层较低，配套齐全，有菜市场、公园、带电梯、不临街、距离医院近",采光无遮挡， 户型方正， 纯毛坯 可根据自己的风格装修，打造自己的温馨港湾,,,,,,,
597,高铁新城，礼韵世家花园，集中供暖,206万,19149,新北区新桥,礼韵世家花园,3室2厅1厨2卫,低楼层 (共25层),107.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-25,商品房,2021-03-08,普通住宅,暂无数据,共有,有抵押 107万元 工商银行 业主自还,已上传房本照片,此房满二，户型方正南北通采光好，看房方便,"亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主
家庭和睦，等待有缘人接盘","存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
598,出门地铁口北郊旁，精装23万婚房！,192万,20015,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,中楼层 (共20层),95.93㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2023-05-19,商品房,2020-05-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，设施齐全，生活便利,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,小区生活设施齐全 ，菜市场、银行、，交通便捷；地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，，视野开阔，采光透亮,,,,,,,,,,,
599,地铁一号线口 腾龙苑西区 顶楼复式 居住舒适 采光刺眼,105万,7554,新北区新桥,腾龙苑西区,3室2厅1厨2卫,高楼层 (共6层),139㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-03,商品房,2014-06-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房楼层好 精装修 保养好 楼层好 采光刺眼 业主诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产腾龙苑店经纪人，房屋买卖交易问 题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。此房源值得推荐。,,,,,,,
600,南北通，楼层好采光好，交通便利,110万,9021,新北区新桥,新盛花苑,3室2厅1厨2卫,中楼层 (共5层),121.95㎡,暂无数据,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-03-30,商品房,2009-04-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房位置好，户型方正，满五不唯一，随时可看，业主诚售,"亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主
家庭和睦，等待有缘人接盘","存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,,"发现生活的温度，适合刚需，改善，房屋维护较好，看房子方便，需
要提前预约。",,,,,,,
601,高铁新城 金科礼韵世家 楼层好 户型好 精装交付 诚售,195万,15235,新北区新桥,礼韵世家花园,3室2厅1厨2卫,高楼层 (共25层),128㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-07,商品房,2021-04-02,普通住宅,暂无数据,共有,有抵押 100万元 中国建设银行 客户偿还,已上传房本照片,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,：存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收..,112452578745,楼层好，视野开阔，采光充足，交通便利,,,,,,,,,
602,房产权清晰，户型方正，楼层全天采光，小区交付2-3年,220万,15371,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,高楼层 (共18层),143.13㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房产权清晰，户型方正，楼层全天采光，小区也是交付2-3年的,,,小区楼下直通一号线地铁口北郊中 学站 出行方便 地面也有BRT站台 距离龙江路高架1200米 距离常州北站800米 距离沪宁高速入口1.2公里 出行方便,,,,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受 。,,生活设施齐，地铁、恐龙园、公园、银行、商场、酒店，饮食近在咫尺，生活起居很方便,,,,,,
603,高铁新城  碧玥和鸣   精装三房   诚心出售,194万,17963,新北区新桥,碧桂园光明·碧玥和鸣,3室2厅1厨2卫,中楼层 (共27层),108㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,：全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
604,高铁新城 馨都苑 楼层好 户型好 精装修带地暖业主诚售,145万,15651,新北区新桥,馨都苑,2室2厅1厨1卫,高楼层 (共33层),92.65㎡,暂无数据,75.33㎡,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2023-04-18,商品房,2020-07-03,普通住宅,暂无数据,非共有,有抵押 80万元 邮政 业主自还,已上传房本照片,此房精装修 楼层好  户型好 精装修未入住 中?央空调地暖 随时看,,A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套都是3% 2.个人所得税：不满5年征1% 不满两年征5.3%增值税,,,,,,此房精装修 业主基本未住，中?央空调、地暖、硅藻泥。品牌家具家电全留 可直接拎包入住,"1、小区生活设施齐全,shopping mall、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻",,,,,,
605,高铁新城 金科保利 精装三房 配套成熟 交通便利,210万,21650,新北区新桥,金科·保利北郡花园,3室2厅1厨1卫,高楼层 (共27层),97㎡,暂无数据,暂无数据,板塔结合,南 北,砖混结构,精装,两梯四户,有,暂无数据,2023-07-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,,,高铁新城纯商品房社区，因为这个小区是纯住宅，租金比较高，都是自住，管理比较好，小区的安保完善,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,
606,新北区政府  高铁站旁  清水湾一期  精装一室 63万,61万,10254,新北区新桥,清水湾花园一期,1室1厅1厨1卫,低楼层 (共11层),59.49㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足.交通便利.配套齐全,,存量房需要缴纳个人所得税1%。契税若买方首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下1%，90㎡以上将收取2%。三套房不论面积大小契税 3%收取,"交通方便，有地铁一号线，有公交b1，b13,19.等路公交车经过，还有共享单车方便出行",,,,,,,。小区保安内24巡逻，小区地理位置佳，绿化好 居民素质高 配套：有健身器材  可供小区居民使用,,,,,
607,腾龙南苑 采光好 楼层佳 房东诚心出售,90万,10458,新北区新桥,腾龙南苑,2室2厅1厨1卫,中楼层 (共11层),86.06㎡,平层,暂无数据,暂无数据,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-10-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,腾龙南苑 吃住宅，楼层好，视野佳，精装修，出门就是公园,房东诚心出售， 楼层好，视野开阔，随时看房，产权清晰，随时交易过户，交房,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,此房户型好，视野开阔，采光好，房间和卧室都是朝南.适合居住.,,,,,,,,,,,
608,新上房源，业主诚心出售  ......,115万,13079,新北区新桥,凤凰名城,2室1厅1厨1卫,低楼层 (共30层),87.93㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯三户,有,暂无数据,2023-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,近地铁 楼层好 采光刺眼 业主诚售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度适合刚需改善婚房等需求便拎包入住 楼层适中 居住舒适,,,,,,,,
609,礼韵世家 大三房 好楼层 看房方便有钥匙,225万,17573,新北区新桥,礼韵世家花园,3室2厅1厨2卫,中楼层 (共25层),128.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-31,商品房,2021-06-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
610,清水湾花园一期 4室3厅 南,165万,19160,新北区新桥,清水湾花园一期,4室3厅1厨2卫,高楼层 (共32层),86.12㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-01-14,商品房,2019-10-14,普通住宅,暂无数据,非共有,有抵押 80万元,已上传房本照片,,,,,,,,,,,,,,,,
611,小新桥 滨江明珠城  两房 简单装修 房东  急售,268万,21321,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,高楼层 (共18层),125.7㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-11-25,商品房,2021-07-26,普通住宅,暂无数据,共有,有抵押 150万元 建行 业主自还,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
612,高铁新城 礼韵世家 三房 精装修 房东急售,265万,20720,新北区新桥,礼韵世家花园,3室2厅1厨2卫,高楼层 (共25层),127.9㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-07,商品房,2021-01-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好，视野开阔，采光充足，交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
613,新立名园 3室2厅 南,150万,16234,新北区新桥,新立名园,3室2厅1厨1卫,低楼层 (共18层),92.4㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-23,商品房,2010-01-08,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,,,,,,,,,,,,,,,,
614,金科保利北郡 精装 四房房东诚心出售 看房方便有钥匙,258万,20560,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,高楼层 (共18层),125.49㎡,暂无数据,暂无数据,板塔结合,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-13,商品房,2020-11-11,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%",,,,,,,"1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,,
615,金科保利北郡 一梯一户精装大四房 房东诚心 看房方便,239万,19014,新北区新桥,金科·保利北郡花园,4室2厅1厨2卫,低楼层 (共18层),125.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-03,商品房,2021-04-21,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%",,,,,,,"1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,,
616,高铁新城板块 礼韵世家 大三房 精装修 房东 诚售,220万,15435,新北区新桥,礼韵世家花园,3室2厅1厨2卫,低楼层 (共18层),142.54㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-30,商品房,2021-07-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区第 一排，视野开阔，采光充足，交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
617,北郡花园，中高楼层，采光充足。,180万,15487,新北区新桥,金科·保利北郡花园,3室2厅1厨2卫,中楼层 (共27层),116.23㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-25,商品房,2021-09-24,普通住宅,暂无数据,共有,有抵押 108万元 建行,已上传房本照片,楼栋位置好，视野开阔，采光充足，交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
618,高铁新城 全能三房 朝南双阳台双卧室,260万,18375,新北区新桥,礼韵世家花园,3室2厅1厨2卫,中楼层 (共18层),141.5㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二不唯一，中间楼层采光好户型方正采光充足。,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，,,,,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。","开发商精装交付，品牌厨具卫具如果您不想经历新房期房的漫长等待，那么这一套次新小区的精装房，将会是无二
选择，灵动自由的改装空间等待热情四溢的您来改变",,,,,,,
619,高铁新城 弘阳云峯 楼层好 精装修 随时可看 业主诚售,225万,15625,新北区新桥,弘阳上坤云峯,4室2厅1厨2卫,高楼层 (共33层),144㎡,暂无数据,暂无数据,板塔结合,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好 户型方正 精装修交付 随时可看 业主诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,,,,,,,,
620,腾龙苑东区 电梯房 户型好 楼层好 随时可看 业主诚售,165万,13415,新北区新桥,腾龙苑东区,3室1厅1厨2卫,高楼层 (共15层),123㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-12-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房纯毛坯 有钥匙  随时可看 业主诚售,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！,,,,,,,,
621,精装四房，业主诚心出售，价格可谈,230万,18827,新北区新桥,碧桂园光明·碧玥和鸣,4室2厅1厨2卫,高楼层 (共11层),122.17㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,一梯六户,有,暂无数据,2023-03-11,商品房,2022-11-16,普通住宅,未满两年,共有,有抵押 160万元 江南银行,已上传房本照片,此房全新装修 楼层好 户型方正 视野看阔 业主诚售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,‘’常工院东门站”（ 528路、529路）、“常州北站”（13路、26路、35路、44A路、44路、529路、90路、B10路、B1路、）。 轨交：地铁 1 号线新桥站1000米内， 自驾：可走龙江路高架至新龙二路与红云路交汇处。,,,,,,,小区环境优美 绿化多 ，配套成熟，交通便利，舒适。人文素养好，乐于助人，相处和谐,,,,,
