,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
881,大三房  拎包入住 欢迎预约看房,200万,16619,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,高楼层 (共18层),120.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房子到6月满二  拎包入住 欢迎预约看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
882,伊顿小镇联排东边户纯毛坯业主诚售看房方便,355万,21006,新北区薛家,伊顿小镇,4室2厅1厨2卫,低楼层 (共4层),169㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2024-03-03,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,此房联排别墅，视野好，业主诚心卖,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,联排,,,,,,,,,
883,业户诚心出售，自住保养很好，看房方便,102万,8778,新北区薛家,丽园社区顺园八村二期,3室2厅1厨2卫,高楼层 (共32层),116.2㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2020-05-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,菜场，商场，小区有健身场所，生活配套方便 小区位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,,,,,,,,,,
884,新上雅居乐凤凰台挑高  地段好户视野好,40万,9303,新北区薛家,雅居乐凤凰湖北苑,1室1厅1厨1卫,低楼层 (共18层),43㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,毛坯,两梯一户,有,暂无数据,2023-12-12,商品房,暂无数据,商业办公类,暂无数据,共有,有抵押,未上传房本照片,此小区位于新北区薛家位置繁华地段楼层 通风采光好,,菜场  大型购物广场  休闲娱乐 餐饮 银行金融一条街  方便你的工作,薛家广场天宇购物广场薛家农贸市场家乐卖场新怡华银行金融一条街方便你的工作,,,,,,图片 为室内   真实图片   业主诚心出售    恭候来电,,,,未知,未知,3.01元/m3
885,东渡海派青城东边户带侧边可两套一起卖价格可谈,330万,24100,新北区薛家,东渡海派青城,3室2厅1厨3卫,高楼层 (共4层),136.93㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2024-01-11,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房联排别墅东边户，院子约80平，两套一起100多平,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,暂无数据,,,,,,,,,
886,九龙仓荣华里 4室2厅 南,175万,13462,新北区薛家,九龙仓荣华里,4室2厅1厨2卫,低楼层 (共31层),130㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2024-01-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
887,挑高一楼  精装修 采光无遮挡 看房方便,85万,10652,新北区薛家,顺园八村一期北区,2室2厅1厨1卫,低楼层 (共5层),79.8㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-12-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型周正，格局分布合理。空间感好通透性强，居住舒适,,小区地理位置优越，交通便利，配套辐射广，设施齐全，生活方便。,公交车43、47、21、45均可直线到达，公交车总站就在几百米内，驾车有丽园路主干道及其他道路,小区环境优美，绿化覆盖面积高，干净整洁，有健身器和娱乐广场，物业服务态度好，地理位置优越,,,,,,,,,,,
888,顺园八村黄J in3层不临街精装大两房目前自住看房方便,75万,9497,新北区薛家,顺园八村一期北区,2室2厅1厨1卫,中楼层 (共6层),78.98㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，中间楼层，不临街，业主诚心置换,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
889,天逸城北区 3室2厅 南 北,148万,11057,新北区薛家,天逸城北区,3室2厅1厨2卫,中楼层 (共34层),133.86㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯三户,有,暂无数据,2024-01-04,商品房,2016-05-13,普通住宅,暂无数据,共有,有抵押 5万元 交通银行 业主自还,已上传房本照片,,,,,,,,,,,,,,,,
890,白马公馆两房朝南大两房毛坯目前业主自住看房方便,113万,12215,新北区薛家,白马公馆,2室2厅1厨1卫,低楼层 (共34层),92.51㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,次房楼层好视野好，业主自住看房提前约,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
891,白马公馆毛坯一楼 南北通价格可聊 有需要的看过来,100万,9974,新北区薛家,白马公馆,3室2厅1厨1卫,低楼层 (共34层),100.27㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯四户,有,暂无数据,2024-03-11,商品房,2020-10-31,普通住宅,暂无数据,共有,有抵押 54万元,已上传房本照片,此房满二年小区楼网楼栋远离高架户型方正,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区楼下马路旁有公交，南面有龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，向南到钟楼区和武进区，向西到奔牛机场，向北到薛家和沪蓉高速出入口,,1、 地理位置优越 2、 公交地铁 方便。出行方便，上下班方便 3、 购物方便，节省您的宝贵时间 4、 小区绿化高。环境优美。宁静和谐，好环境总会给人带来好心情 5、 房干净整洁，温馨舒适，窗明几净，就等着您的拎包入住 6、 宽敞明亮，布局大方，采光,,,,,,,,,,,
892,小区地理位置优越，交通便捷，配套辐射广，生活便利,95万,8627,新北区薛家,橄榄城,3室2厅1厨1卫,高楼层 (共17层),110.12㎡,暂无数据,90.98㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-07,商品房,2012-12-04,普通住宅,满五年,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用；,,,,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
893,天逸城前排全天采光毛坯三房目前出租中业主诚售,120万,11112,新北区薛家,天逸城,3室2厅1厨1卫,高楼层 (共34层),108㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-12-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，前排视野好，业主诚售价格好谈,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
894,东渡海派青城毛坯西边户单独车位带侧边院子有钥匙,368万,26878,新北区薛家,东渡海派青城,4室2厅1厨3卫,低楼层 (共4层),136.92㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2023-12-09,商品房,2020-07-08,别墅,满两年,共有,有抵押,已上传房本照片,此房东渡海派青城纯别墅区西边户，大院子，有钥匙看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,联排,,,,,,,,,
895,天宇购物广场 2室1厅 南 北,75万,13158,新北区薛家,天宇购物广场,2室1厅1厨1卫,高楼层 (共19层),57㎡,暂无数据,暂无数据,平房,南 北,框架结构,其他,四梯十八户,有,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
896,天宇购物广场 1室1厅 南 北,70万,13208,新北区薛家,天宇购物广场,1室1厅1厨1卫,高楼层 (共19层),53㎡,暂无数据,暂无数据,平房,南 北,框架结构,其他,四梯十八户,有,暂无数据,2024-03-15,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
897,凤凰台 低总价 四朝南户型  毛坯  看房提前联系,150万,12147,新北区薛家,雅居乐凤凰湖北苑,3室2厅1厨2卫,低楼层 (共18层),123.49㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,三梯三户,有,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房子是全明格局，落地窗采光好，房子小区位置好,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,1、小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,,,,,,,,,,
898,怡枫苑 3室2厅 南,125万,12500,新北区薛家,怡枫苑,3室2厅1厨1卫,中楼层 (共30层),100㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
899,东渡海派青城精装南入户北院目前空置中看房方便,268万,22932,新北区薛家,东渡海派青城,3室2厅1厨3卫,高楼层 (共4层),116.87㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2024-02-28,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,此房联排别墅，精装，空置中，看房方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,联排,,,,,,,,,
900,怡枫苑 3室2厅 南,125万,12500,新北区薛家,怡枫苑,3室2厅1厨1卫,中楼层 (共30层),100㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-01-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
901,橄榄城 3室2厅 南,110万,9990,新北区薛家,橄榄城,3室2厅1厨1卫,低楼层 (共18层),110.12㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2024-02-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
902,荣华里一梯一户东边户毛坯四房满五省税不临马路,175万,13452,新北区薛家,九龙仓荣华里,4室2厅1厨2卫,低楼层 (共31层),130.1㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一省税，纯毛坯四房双阳台，东边户，有钥匙看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
903,荣华里新上小三房 房东诚心出售 可随时看房,110万,12489,新北区薛家,九龙仓荣华里,3室2厅1厨1卫,低楼层 (共28层),88.08㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 房东诚心出售 看房方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,1，户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,,,,,,,
904,此房不靠高架，中间楼层，边户采光好,155万,13427,新北区薛家,白马公馆,3室2厅1厨2卫,中楼层 (共34层),115.44㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2024-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房不靠高架，中间楼层，边户采光好,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,"小区楼下有共享单车车，47，528,1111，公交车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口",白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。,,,,,,,,,,,
905,大三房  拎包入住 欢迎预约看房,200万,16619,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,高楼层 (共18层),120.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2024-02-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,房子到6月满二  拎包入住 欢迎预约看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
906,香槟广场 3室2厅 南,98万,9703,新北区薛家,香槟广场,3室2厅1厨2卫,高楼层 (共11层),101㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯两户,有,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
907,凤凰湖北苑 大四房洋房楼层佳 纯毛坯房东诚心 有钥匙,210万,18208,新北区薛家,雅居乐凤凰湖北苑,4室2厅1厨2卫,中楼层 (共8层),115.34㎡,暂无数据,暂无数据,板楼,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
908,顺园新村三村 3室2厅 南,120万,9864,新北区薛家,顺园新村三村,3室2厅1厨2卫,中楼层 (共6层),121.66㎡,平层,暂无数据,板楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
909,荣华里中上楼层西边户纯毛坯四房一梯一户有钥匙看房,170万,13067,新北区薛家,九龙仓荣华里,4室2厅1厨2卫,中楼层 (共31层),130.1㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-12-23,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房满五唯一省税，毛坯双阳台四房，西边户，空置中,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
910,业户诚心出售，自住保养很好，看房方便,102万,8778,新北区薛家,丽园社区顺园八村二期,3室2厅1厨2卫,高楼层 (共32层),116.2㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-08,商品房,2020-05-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,菜场，商场，小区有健身场所，生活配套方便 小区位置优越，交通便捷，配套辐射广，设施齐全，生活便利,,,,,,,,,,,
911,聚怡花园南区 3室2厅 南,120万,11765,新北区薛家,聚怡花园南区,3室2厅1厨1卫,中楼层 (共18层),102㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
912,顺园九村南区 纯毛坯 边户两房两厅 有钥匙看房方便,78万,8534,新北区薛家,顺园九村玉龙社区南区,2室2厅1厨1卫,中楼层 (共22层),91.4㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%",,"1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
913,聚怡花园北区纯毛坯西边户满五唯一省税有钥匙看房,116万,10196,新北区薛家,聚怡花园南区,3室2厅1厨1卫,低楼层 (共16层),113.78㎡,暂无数据,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 38万元,未上传房本照片,此房楼层好，西边户，有钥匙看房，有产权车位一个,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
914,万科SOHO公寓 1室1厅 西,40万,8889,新北区薛家,万科SOHO公寓,1室1厅1厨1卫,高楼层 (共18层),45㎡,暂无数据,暂无数据,平房,西,钢混结构,毛坯,三梯十九户,有,暂无数据,2024-03-09,商品房,暂无数据,商业,暂无数据,非共有,有抵押 20万元,未上传房本照片,,,,,,,,,,,,,,,,
915,全明户型，南北通空间，精装修业主急售。,113.8万,10353,新北区薛家,香槟广场,3室2厅1厨2卫,低楼层 (共16层),109.92㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-24,商品房,2019-04-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,
916,顺园八村一期北区 2室2厅 南,72万,9231,新北区薛家,顺园八村一期北区,2室2厅1厨1卫,高楼层 (共5层),78㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
