,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
2051,万士新村 2室2厅 南,68万,6733,金坛区东城街道,万士新村,2室2厅1厨1卫,中楼层 (共6层),101㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
2052,东方新都苑二区 2室2厅 东,42.8万,4368,金坛区东城街道,东方新都苑二区,2室2厅1厨0卫,高楼层 (共26层),98㎡,暂无数据,暂无数据,暂无数据,东,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
2053,钱塘印象115平毛坯3房2卫139.8万,139.8万,12190,金坛区东城街道,钱塘映象花园,3室2厅1厨2卫,中楼层 (共27层),114.69㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-31,商品房,2022-12-15,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"此房格局好,通透户型,全天采光,户型方正视野好","房格局好,通透全明户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
2054,岸头家园电梯16楼全新精装三房两卫 带个车库78.8万,78.8万,6460,金坛区东城街道,岸头佳园二区,3室2厅1厨2卫,高楼层 (共18层),122㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,岸头家园北区 电梯16楼全新精装三房两卫 带个车库78.8万,,此房是业主婚房 现在因工作调动去外地发展 故出售此房置换去外地买房,此房是70年产权的商品房 买方首套房是1.5的税 二套是2个点的税 3套及以上是3个点的税,,,,,房在16层全天采光 户型好 装修好  适合孕婴老幼 地理位置好 出行便利 刚需 改善都适合,,,,,,,
2055,此房 三室两厅两卫 电梯高层 采光好,100万,8689,金坛区东城街道,融创融熙诚园,3室2厅1厨2卫,高楼层 (共34层),115.1㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2024-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,此房毛坯 三室两厅两卫 电梯高层 采光好 满2两年,,,"首套房90平米以下1%,90平米以上1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年评估价的1%。 权属",,,,新小区 人车分流 有24小时安保系统 有健身锻炼场地 小区有快递站 商店 小吃店,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2056,吾悦旁 金城尚品前排 精装修 品牌家电家具 有车库18平,98万,8991,金坛区东城街道,金城尚品花苑,2室2厅1厨1卫,低楼层 (共17层),109㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局好，业主诚心出售，户型方正视野好,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,,,"此房产权清晰,没有抵押 房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2057,九洲里花园 112平3房2厅1卫 户型方正,82万,7322,金坛区东城街道,九洲里花园,3室2厅1厨1卫,低楼层 (共11层),112㎡,暂无数据,暂无数据,板塔结合,东 西,钢混结构,简装,暂无数据,暂无数据,暂无数据,2024-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,,,"此房无抵押产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2058,万达一期现房！洋房一楼带院子！毛坯3室2厅2卫,123.8万,10999,金坛区东城街道,万达光语未来,3室2厅1厨2卫,低楼层 (共11层),112.56㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-01-09,商品房,2023-04-12,普通住宅,未满两年,共有,无抵押,已上传房本照片,户型毛坯3室2厅2卫朝南院子大可随时过户,,房东因工作原因要去外地，故此房要出售，房子看房方便有密码，房东愿意包增值税过户，全款更佳,,,,,,此房交付一年，小区很新，一楼洋房带院子适合各种人群，院子可养花种草，适合一家人以及老人一起居住！,,毛坯3室2厅2卫，主卧＋客厅＋次卧三开间朝南，一次卧朝北，客卫，厨房，餐厅朝北，餐厅以北有3平面积可外拓。,,,,,
2059,中梁金坛壹号院 3室2厅 南,126.8万,10622,金坛区东城街道,中梁金坛壹号院,3室2厅1厨2卫,高楼层 (共27层),119.38㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
2060,新城东苑一区 3室2厅 南,101万,8064,金坛区东城街道,新城东苑一区,3室2厅1厨1卫,中楼层 (共6层),125.25㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-19,商品房,2013-08-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
2061,金江苑精装修复式，拎包入住，看房方便,88万,6617,金坛区东城街道,金江苑一村,4室2厅0厨3卫,高楼层 (共5层),133㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-20,商品房,2015-12-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满2年，南北通透，复式户型，环保精装修，拎包入住，,此房是复式户型，南北通透，方方正正，使用率高，有94平米不算面积，有一个露台，,,,,,,,,此房贷款已经还清，现在没有抵押，没有贷款，产权清晰，随时可以过户，,2016年的精装修，房东一直自己住的，材料挺好，保持的很好，装修花了60万，,,,,,
2062,金玉华府2-2-1-1 95.00m² 80 万,80万,8422,金坛区东城街道,金玉华府,2室2厅1厨1卫,低楼层 (共26层),95㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,两梯三户,有,暂无数据,2024-02-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
2063,徐塘新村 东上首 128平精装有地暖 98.8万出售,82.8万,6510,金坛区东城街道,徐塘新村,4室2厅1厨2卫,中楼层 (共5层),127.19㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2024-02-26,商品房,2021-02-08,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房四室两厅双卫，房东加装了地暖，含自行车库出售。,,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%。,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜。,适合多人口家庭居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都良好。,,,,,,,
2064,凯尔尚群三室两厅一厨两卫房东诚心出售,107万,8333,金坛区东城街道,凯尔尚郡花园一期,3室2厅1厨2卫,低楼层 (共33层),128.41㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,四梯四户,有,暂无数据,2023-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下1%,90平米以上1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年评估价的1%。",,,,,,,,,,,,
2065,玉山花园 2室2厅 南,69.8万,8051,金坛区东城街道,玉山花园,2室2厅1厨1卫,高楼层 (共25层),86.7㎡,暂无数据,暂无数据,板塔结合,南,框架结构,其他,两梯三户,有,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
2066,老大统华旁 精装电梯三房两厅两卫拎包入住,129.8万,10302,金坛区东城街道,新安花园,3室2厅1厨1卫,高楼层 (共22层),126㎡,暂无数据,暂无数据,暂无数据,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"位置好 南北通风户型,全天采光,户型方正视野好",,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒，,看房方便","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2067,红星·铂悦风华 4室2厅 南,132.8万,9577,金坛区东城街道,红星·铂悦风华,4室2厅1厨2卫,高楼层 (共27层),138.68㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2068,吾悦华府次顶楼产证105平精装三室两厅带车位126.8万,126.8万,12077,金坛区东城街道,吾悦华府,3室2厅1厨2卫,高楼层 (共32层),105㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五 吾悦华府次顶楼产证105平精装三室两厅带车位126.8万,此房 户型方正 采光好三开间朝南 南北通风户型 明厨明卫 干湿分离,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,90平以上2%,三套房不论大小均为3%; 增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,此房房东全款房 没有贷款 随时可以过户贷款 交易流程全程陪同,,,,,,
2069,朱庄花苑B区 5室3厅 南,79.8万,4371,金坛区东城街道,朱庄花苑B区,5室3厅1厨2卫,高楼层 (共6层),182.6㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
2070,中梁壹号院金玺天郡3-2-1-2 127.83m² 129.8 万,129.8万,10155,金坛区东城街道,中梁壹号院金玺天郡,3室2厅1厨2卫,低楼层 (共27层),127.83㎡,暂无数据,暂无数据,塔楼,南,框架结构,毛坯,两梯四户,有,暂无数据,2024-03-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候 户型棒,",,,,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利,"：
首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%",,,,,,
2071,万科 四季雅苑1区 三室一卫 电梯低层 毛坯房 户型方正,82万,8784,金坛区东城街道,四季雅苑1区,2室1厅1厨1卫,低楼层 (共20层),93.36㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,两梯五户,有,暂无数据,2024-02-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二 可以直接过户贷款 电梯低层 毛坯房 户型方正 采光好..,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房是房东全款房  产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2072,金源福地 3室2厅 南,99.8万,7737,金坛区东城街道,金源福地,3室2厅1厨1卫,低楼层 (共18层),129㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-01-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2073,融创融熙诚园 4室2厅 南,125万,9988,金坛区东城街道,融创融熙诚园,4室2厅1厨2卫,中楼层 (共11层),125.16㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
2074,弘化新村 3室2厅 南 北,58万,6905,金坛区东城街道,弘化新村,3室2厅1厨1卫,中楼层 (共5层),84㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,其他,暂无数据,暂无数据,暂无数据,2024-01-02,商品房,2008-01-03,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
2075,东方新都苑二区 2室2厅 南,54.8万,4951,金坛区东城街道,东方新都苑二区,2室2厅1厨1卫,高楼层 (共26层),110.7㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2076,景浦华苑电梯顶楼，有挑空，126平，毛坯,158.8万,12604,金坛区东城街道,中景·尚海城,3室2厅1厨2卫,高楼层 (共20层),126㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2024-02-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
2077,翠堤湾花园纯二楼 113平三开间朝南户型,89.8万,7905,金坛区东城街道,翠堤湾花园,3室2厅1厨1卫,低楼层 (共6层),113.6㎡,暂无数据,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,无,暂无数据,2023-12-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，南北通透，三开间朝南，全天采光，户型方正,此房格局好，南北通透，三开间朝南，户型方正视野好，全天采光，明厨明卫。,现业主诚心出售，证件齐全，看房需提起前预约，随时可签！价格可谈！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
2078,万士新村 2室2厅 南,68万,6733,金坛区东城街道,万士新村,2室2厅1厨1卫,中楼层 (共6层),101㎡,暂无数据,暂无数据,塔楼,南,钢混结构,其他,暂无数据,暂无数据,暂无数据,2024-03-06,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,,
2079,新城逸隽一梯一户洋房 飞机户型 三开间朝南,119.8万,10080,金坛区东城街道,新城逸隽,3室2厅1厨2卫,高楼层 (共11层),118.86㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,一梯两户,有,暂无数据,2024-02-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,洋房，楼层好，视野开阔一梯一户，前排无遮挡。靠金武快速,三开间朝南，客餐厅一体。洋房得房率高。朝南两房带卫生间。落地窗,,,,,,花园式洋房小区，绿化百分之35%靠吾悦商圈，门口商便利近在咫尺,适合东边上班的小年轻，金武快速路。交通便利。刚需的一家三口。,,,,,,,
2080,南洲花园2-2-1-1 79.40m²,58.8万,7406,金坛区东城街道,南洲花园,2室2厅1厨1卫,中楼层 (共6层),79.4㎡,暂无数据,暂无数据,平房,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,2021-02-03,普通住宅,暂无数据,非共有,有抵押 客户偿还,已上传房本照片,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,",,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，医院，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利,,,,,,,
2081,金禧园 复式楼 有露台 适合家里人多的居住,63.8万,3911,金坛区东城街道,金禧园(金坛市),4室2厅1厨2卫,高楼层 (共5层),163.14㎡,暂无数据,暂无数据,板塔结合,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2024-02-26,商品房,2011-02-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局好，东上首，纯边户，全天采光无遮挡，此房配套设施齐全,,业主置换了新房，这边用不到了，也是诚心出售，看中可以聊一聊价格,,房子三公里内医院、上学、公园、菜场都有，生活配套完善，出行方便便捷,,,,,,房东精心保养，家里干净整洁，做到了拎包入住，家具家电齐全！！,,,,,
2082,保利紫荆公馆4-2-1-2 124.79m² 149.8 万,136万,10899,金坛区东城街道,保利紫荆公馆,4室2厅1厨2卫,中楼层 (共20层),124.79㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,一梯四户,有,暂无数据,2023-11-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,吾悦旁 保利 电梯 好楼层 四室两厅两卫 三开间朝南,小区房龄新，此房位置好，户型南北通风，三开间朝南 ，户型设计合理 ，利用空间大,业主处理闲置单纯出售！ 房屋现状：随时可以看房，业主随时可以回来签约！ 特殊要求：无特殊要求！,首套房90平以下 1%，90平以上 1.5%。 二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,,,,,,,,,
2083,中梁金坛壹号院 金禧天郡  三层联排别墅  采光通风好,428万,18878,金坛区东城街道,中梁金坛壹号院,7室2厅1厨4卫,低楼层 (共3层),226.73㎡,,暂无数据,,南 北,未知结构,毛坯,,,暂无数据,2024-02-27,商品房,2022-11-19,别墅,未满两年,共有,无抵押,已上传房本照片,稀有城中别墅，前后左右无遮挡，带前后院子，户型方正，采光好,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",滨湖新城中芯 版块 吾悦广场旁 交通出行 生活方便 商圈成熟,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜,,,,,暂无数据,,,
2084,万科四季雅苑四区 电梯洋房 三室两卫 视野开阔采光好,130万,11126,金坛区东城街道,四季雅苑4区,3室2厅1厨2卫,高楼层 (共9层),116.85㎡,暂无数据,暂无数据,板楼,南 北,框架结构,毛坯,一梯两户,有,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85,未上传房本照片,此房满二 南北通风格局 洋房顶楼 三室两卫 毛坯房 可以自由发..,此房 三 开间朝南双阳台全天采光   南北通风 明厨明卫 干湿分离,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房还有85万贷款 产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2085,万科四季雅苑一区 电梯高层  精装修 视野开阔采光好,149万,11040,金坛区东城街道,四季雅苑1区,3室2厅1厨2卫,高楼层 (共24层),134.97㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,有,暂无数据,2024-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 95万元,未上传房本照片,此房满二 南北通风格局 房子精装修 三室两卫 大横厅 视野开阔..,此房是20年底的房子 四室两卫的户型 房东精装修做了三室两卫 大横厅 采光好,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,小区是次新小区 万科的物业 有24小时安保系统 人车分流 有儿童游乐设施 健身锻炼场地,,,,,,,,
2086,城南花园 步梯顶楼复式 195平 精装 带车库13平,118.8万,5938,金坛区东城街道,城南花园,5室2厅1厨2卫,高楼层 (共6层),200.09㎡,暂无数据,暂无数据,塔楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-16,商品房,2024-03-18,普通住宅,未满两年,非共有,无抵押,已上传房本照片,城南花园 段玉裁 大面积 顶复 带车库一起出售,"格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;
增值税分析:产证满2年免收增值 税,未满2年征收5.3%;
个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
2087,万科四季雅苑一区 电梯中层 三室一卫 毛坯房 户型方正,69.8万,7471,金坛区东城街道,四季雅苑1区,3室2厅1厨1卫,低楼层 (共27层),93.43㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2024-03-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二 户型方正 南北通风格局 楼层好 采光好 配套设施齐全,此房电梯中层 三开间朝南 南北通风 户型方正 干湿分离 明厨明卫,,契税：首套房90平以下 1%，90平以上 1.5%。 二套房90平以下1%，90平以上2%。 三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,小区物业是万科物业  有24小时的安保系统 人车分流 有儿童游乐设施 和健身锻炼场所,,,,,,,,
2088,此房格局好，户型好，全天采光，户型方正视野好,80万,8603,金坛区东城街道,四季雅苑4区,3室2厅1厨1卫,中楼层 (共32层),93㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2024-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局好，户型好，全天采光，户型方正视野好,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
2089,此房格局好，户型好，全天采光，户型方正视野好,81万,8710,金坛区东城街道,万科公园大道,3室2厅1厨1卫,低楼层 (共29层),93㎡,暂无数据,暂无数据,板塔结合,南,框架结构,毛坯,两梯六户,有,暂无数据,2024-01-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房格局好，户型好，全天采光，户型方正视野好,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
2090,金江南苑  两室两厅一卫 93.00m²,71.8万,7947,金坛区东城街道,金江南苑,2室2厅1厨1卫,中楼层 (共10层),90.35㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-17,商品房,2024-03-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房满二 房东精装修三室两厅一卫 南北通风格局 视野开阔 ..,户型介绍 此房 两室一卫 客厅朝南 南北通风格局 明厨明卫干湿分离,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,,,,房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，有大型菜市场，公园，出门即是公交站，出行方便！管理以及卫生情况都不错，近小区里有购物点，周末早上小区门口有卖菜的早市，生活便利。,,,,,,,
